eRenyi2,VarRet,ESSClassic,AvgDiscRet,MinVanillaIw,VarNormIw,ESSRenyi,AvgRet,AvgNormIw,VarDiscRet,VarVanillaIw,MinNormIw,VarJ,BatchSize,AvgVanillaIw,J,Bound,MaxNormIw,MaxVanillaIw,AvgEpLen
186978.53,12414.200999294342,1.000014958482844,-1.0587086762825493e-14,,0.009999852,0.000534820759000908,79.74702847706696,0.01,12414.200999294342,106939540.0,,0.091583654,100,1034.1238,949.8594,981472.75,0.99999255,103411.61,8.98
19704.104,1975813.5005628592,1.2660323330389964,-1.148237060988322e-13,,0.007877468,0.0050750849903271065,1153.5596506701067,0.01,1975813.500562859,15469359.0,,0.7938869,100,443.14197,3845.969,1701433.1,0.8807028,39027.637,116.3
1.0980119,84756.90513179431,94.75186696176375,-3.5925040720030667e-13,0.26227674,5.594752e-06,91.07369823069484,4970.5932033486615,0.01,84756.90513179428,0.06112233,0.0025092864,134.84819,100,1.0452244,15.661286,-232.82874,0.014777662,1.5445973,497.1
1.0830868,35411.5960330276,92.81600126120362,2.7284841053187846e-13,0.06023911,7.818227e-06,92.32869936584203,4980.881653575035,0.01,35411.5960330276,0.08601178,0.0005743197,44.568947,100,1.0488776,14.4193945,-147.62225,0.01396106,1.4643444,498.13
1.0714289,302422.3035599079,92.95370667585838,6.821210263296962e-14,0.08080081,7.657012e-06,93.3333051469676,4926.3460926242815,0.01,302422.3035599079,0.08147311,0.00078331813,48.4958,100,1.0315197,66.729904,-361.20618,0.013706898,1.4138936,492.68
1.074322,111754.67259250063,92.71186374230848,2.7284841053187846e-13,0.209203,7.940494e-06,93.08196366959585,4955.0508388127855,0.01,111754.67259250066,0.0757931,0.0021412964,130.32483,100,0.97699225,29.023756,-249.29095,0.014473431,1.414043,495.57
2.130215,0.08417202123318178,52.14784682490596,2.1827872842550277e-13,0.00040070515,9.268939e-05,46.943619918992866,4999.782897150521,0.01,0.08417202123318179,1.2902899,3.3962237e-06,0.16481268,100,1.179855,0.100190476,-0.05900605,0.03856644,4.5502806,500.0
1.5292662,0.05238709956285164,67.58041514107981,-3.2741809263825415e-13,0.016838804,4.845642e-05,65.39083744952124,4999.824727115875,0.010000002,0.05238709956285163,0.547616,0.0001583977,0.142535,100,1.0630713,0.0536988,-0.080084,0.031240197,3.3210557,500.0
599876600.0,0.014428192323236205,1.0,-7.275957614183426e-14,,0.010000003,1.667009492725544e-07,4999.878972896133,0.01,0.014428192323236208,1.619137e+16,,,100,12724531.0,0.10890915,1385817.5,1.0,1272453100.0,500.0
1356481500.0,0.004816264462983106,1.0,2.5465851649641993e-13,,0.010000003,7.372013355587614e-08,4999.926695209773,0.01,0.004816264462983105,1.5290444e+17,,,100,39102990.0,0.07203385,2816739.0,1.0,3910299100.0,500.0
1.0690277,249993.36507492216,94.61229026771086,-8.731149137020111e-13,0.3152435,5.7520165e-06,93.5429489139523,4949.934269645011,0.010000002,249993.36507492213,0.057225753,0.003160534,183.1134,100,0.99743754,31.717892,-396.65762,0.0142919365,1.4255314,495.01
inf,0.004175825108862879,22.45903029582846,4.5474735088646414e-14,8.482842e-09,0.00034874264,,4999.929878853518,0.01,0.004175825108862878,3.7652326,8.1639064e-11,0.062065423,100,1.0390666,0.03504185,0.0031122528,0.0887742,9.22423,500.0
nan,248997.42847759806,97.51725493252137,3.637978807091713e-14,0.57032263,2.571657e-06,nan,4950.04483449724,0.01,248997.42847759806,0.026481407,0.0056202626,385.71545,100,1.0147614,11.225752,-409.63416,0.015550969,1.5780525,495.02
nan,0.0036263468414645117,1.0,1.8189894035458565e-14,,0.010000002,nan,4999.934717715966,0.01,0.0036263468414645117,5.3389575e+22,,,100,23106185000.0,0.061018717,1409909800.0,1.0,2310618500000.0,500.0
