MinNormIw,J,VarRet,eRenyi2,MaxVanillaIw,AvgVanillaIw,AvgRet,BatchSize,ESSRenyi,VarNormIw,VarDiscRet,MaxNormIw,MinVanillaIw,Bound,AvgNormIw,VarVanillaIw,AvgEpLen,AvgDiscRet,VarJ,ESSClassic
,4052.7532,4392402.075036766,10330.5205,11091.373,110.91373,-4066.23450637783,100,0.009680054351992678,0.010000003,4392402.075036766,1.0,,414723.38,0.01,1230185.8,200.0,9.094947017729283e-14,,1.0
0.007832948,0.10454453,53.871315269329266,1.0884517,3.2618494,1.0133903,-7.988309687739011,100,91.87361831293579,1.1065541e-05,53.871315269329266,0.03218749,0.7937834,-1.306771,0.01,0.113638684,200.0,-9.769962616701378e-17,7.4280453,90.12672641136687
,5.4969015,58.99450454587816,23.794945,32.626553,1.2517514,-8.532513365227592,100,4.202573319469253,0.0018787441,58.99450454587816,0.2606472,,0.46222067,0.01,29.4377,200.0,1.580957587066223e-15,25.299923,5.102153909612025
0.009491809,0.010761932,47.450373807550235,1.0065668,1.4815181,0.9949929,-7.364567460235371,100,99.34760781241006,6.125542e-07,47.45037380755024,0.014889736,0.9444282,-1.3572818,0.01,0.006064354,200.0,-7.815970093361102e-16,6.952433,99.39722888512439
0.0069651734,0.61160886,51.939911586314054,1.5104599,5.308709,0.9863644,-7.958652779796998,100,66.20500154056744,4.257256e-05,51.939911586314054,0.05382097,0.68701994,-1.0325243,0.01,0.4141947,200.0,-1.2256862191861727e-15,8.372458,70.34978271029195
,6.2276096,54.826282956554955,277768370000000.0,392825020000000.0,3928250000000.0,-6.833518937350363,100,3.6001219340806603e-13,0.010000003,54.826282956554955,1.0,,24463586000000.0,0.01,1.5431152e+27,200.0,,,1.0
0.01,-3.7252903e-08,46.86863469705472,1.0,1.0,1.0,-7.179408905918276,100,100.0,3.5044917e-18,46.86863469705472,0.01,1.0,-1.3249974,0.009999998,,200.0,-6.394884621840901e-16,6.811751,100.0
0.01,,50.757925396901754,1.0,1.0,1.0,-7.108787716435919,100,100.0,3.5044917e-18,50.757925396901754,0.01,1.0,-1.421197,0.009999998,,200.0,3.552713678800501e-17,7.088748,100.0
0.01,-1.1175871e-07,48.42469462261021,1.0,1.0,1.0,-8.187048918995007,100,100.0,3.5044917e-18,48.42469462261021,0.01,1.0,-1.3266826,0.009999998,,200.0,-8.437694987151189e-16,6.923904,100.0
0.01,-3.3527613e-08,55.66116110568855,1.0,1.0,1.0,-8.38523037230244,100,100.0,3.5044917e-18,55.66116110568854,0.01,1.0,-1.3257215,0.009999998,,200.0,-1.056932319443149e-15,7.423244,100.0
0.01,-8.940697e-08,46.15573575637698,1.0,1.0,1.0,-7.857517456516349,100,100.0,3.5044917e-18,46.15573575637698,0.01,1.0,-1.3389677,0.009999998,,200.0,8.437694987151189e-16,6.759747,100.0
0.01,2.9802322e-08,59.17110350484432,1.0,1.0,1.0,-8.277808727532676,100,100.0,3.5044917e-18,59.17110350484432,0.01,1.0,-1.3292305,0.009999998,,200.0,7.105427357601002e-16,7.6537175,100.0
0.01,-4.4703484e-08,58.87691750045003,1.0,1.0,1.0,-9.30833082494914,100,100.0,3.5044917e-18,58.87691750045003,0.01,1.0,-1.2245123,0.009999998,,200.0,-5.506706202140776e-16,7.6346674,100.0
0.01,1.4901161e-08,57.9927690194588,1.0,1.0,1.0,-8.886676976564251,100,100.0,3.5044917e-18,57.992769019458805,0.01,1.0,-1.245934,0.009999998,,200.0,9.769962616701378e-16,7.5771265,100.0
0.01,2.9802322e-08,44.70701687047187,1.0,1.0,1.0,-7.215645784774658,100,100.0,3.5044917e-18,44.70701687047187,0.01,1.0,-1.2588245,0.009999998,,200.0,8.881784197001253e-17,6.652815,100.0
0.01,1.4901161e-08,62.40406139263927,1.0,1.0,1.0,-8.928029755433856,100,100.0,3.5044917e-18,62.40406139263927,0.01,1.0,-1.230189,0.009999998,,200.0,-5.950795411990839e-16,7.8600264,100.0
0.01,8.195639e-08,59.241033647701265,1.0,1.0,1.0,-8.747340103999631,100,100.0,3.5044917e-18,59.241033647701265,0.01,1.0,-1.2954608,0.009999998,,200.0,-9.769962616701378e-16,7.6582394,100.0
0.01,-3.5390258e-08,56.61173061462083,1.0,1.0,1.0,-9.105618961442712,100,100.0,3.5044917e-18,56.61173061462083,0.01,1.0,-1.2137882,0.009999998,,200.0,-1.4654943925052066e-15,7.486362,100.0
0.01,1.1920929e-07,57.73133641973666,1.0,1.0,1.0,-7.939111596227297,100,100.0,3.5044917e-18,57.73133641973666,0.01,1.0,-1.3559291,0.009999998,,200.0,7.993605777301127e-17,7.5600276,100.0
0.01,-2.9802322e-08,54.595758029161075,1.0,1.0,1.0,-7.726958467430808,100,100.0,3.5044917e-18,54.595758029161075,0.01,1.0,-1.3462272,0.009999998,,200.0,-2.9309887850104134e-16,7.351857,100.0
0.01,7.4505806e-08,50.705775858217784,1.0,1.0,1.0,-8.818903034498842,100,100.0,3.5044917e-18,50.705775858217784,0.01,1.0,-1.2240131,0.009999998,,200.0,-8.881784197001253e-17,7.085105,100.0
0.01,-2.9802322e-08,43.323560688426085,1.0,1.0,1.0,-7.08276362589835,100,100.0,3.5044917e-18,43.323560688426085,0.01,1.0,-1.4331782,0.009999998,,200.0,-1.0480505352461477e-15,6.5490704,100.0
0.01,-1.3411045e-07,52.333904671104165,1.0,1.0,1.0,-8.228223609281383,100,100.0,3.5044917e-18,52.333904671104165,0.01,1.0,-1.3130478,0.009999998,,200.0,-3.730349362740526e-16,7.1979556,100.0
0.01,4.4703484e-08,46.8593346904598,1.0,1.0,1.0,-7.172960567548997,100,100.0,3.5044917e-18,46.8593346904598,0.01,1.0,-1.4157027,0.009999998,,200.0,3.907985046680551e-16,6.811075,100.0
0.01,1.4901161e-08,50.10304926566359,1.0,1.0,1.0,-9.03525650298942,100,100.0,3.5044917e-18,50.10304926566359,0.01,1.0,-1.2741609,0.009999998,,200.0,-6.927791673660977e-16,7.04287,100.0
0.01,-4.4703484e-08,53.767577108035866,1.0,1.0,1.0,-7.192775451687169,100,100.0,3.5044917e-18,53.767577108035866,0.01,1.0,-1.3865371,0.009999998,,200.0,-2.842170943040401e-16,7.295882,100.0
0.01,-4.4703484e-08,46.73678126512911,1.0,1.0,1.0,-7.76893948018937,100,100.0,3.5044917e-18,46.73678126512911,0.01,1.0,-1.3772333,0.009999998,,200.0,5.861977570020827e-16,6.802162,100.0
0.01,1.1175871e-07,64.35917148317054,1.0,1.0,1.0,-8.441408843830759,100,100.0,3.5044917e-18,64.35917148317054,0.01,1.0,-1.3127708,0.009999998,,200.0,1.0125233984581427e-15,7.982204,100.0
0.01,-4.4703484e-08,61.546326122015046,1.0,1.0,1.0,-8.428721238768205,100,100.0,3.5044917e-18,61.546326122015046,0.01,1.0,-1.3134606,0.009999998,,200.0,-4.618527782440651e-16,7.8058224,100.0
0.01,,52.380512933832385,1.0,1.0,1.0,-8.166190682717648,100,100.0,3.5044917e-18,52.380512933832385,0.01,1.0,-1.3270963,0.009999998,,200.0,-3.375077994860476e-16,7.2011604,100.0
0.01,7.4505806e-08,52.25319019766176,1.0,1.0,1.0,-7.849378539355796,100,100.0,3.5044917e-18,52.25319019766177,0.01,1.0,-1.3085887,0.009999998,,200.0,-5.773159728050814e-16,7.192403,100.0
0.01,5.9604645e-08,48.21688852395543,1.0,1.0,1.0,-7.873822601771178,100,100.0,3.5044917e-18,48.21688852395543,0.01,1.0,-1.3366371,0.009999998,,200.0,1.758593271006248e-15,6.909032,100.0
0.01,4.8428774e-08,53.005342872779735,1.0,1.0,1.0,-7.192251161006628,100,100.0,3.5044917e-18,53.005342872779735,0.01,1.0,-1.4032463,0.009999998,,200.0,1.2256862191861727e-15,7.2439833,100.0
0.01,-2.9802322e-08,52.80963812741678,1.0,1.0,1.0,-7.55735118402824,100,100.0,3.5044917e-18,52.80963812741678,0.01,1.0,-1.3343331,0.009999998,,200.0,7.01660951563099e-16,7.2305975,100.0
0.01,-1.3411045e-07,46.80925547236332,1.0,1.0,1.0,-9.282662933723886,100,100.0,3.5044917e-18,46.80925547236332,0.01,1.0,-1.2171913,0.009999998,,200.0,-1.971756091734278e-15,6.8074346,100.0
0.01,3.7252903e-09,52.45410947858454,1.0,1.0,1.0,-8.919348639270329,100,100.0,3.5044917e-18,52.45410947858454,0.01,1.0,-1.2635465,0.009999998,,200.0,6.217248937900877e-17,7.206217,100.0
0.01,2.9802322e-08,49.155473000646474,1.0,1.0,1.0,-7.580194269535269,100,100.0,3.5044917e-18,49.155473000646474,0.01,1.0,-1.2946562,0.009999998,,200.0,7.993605777301127e-17,6.9759526,100.0
0.01,1.4901161e-08,60.9085504258678,1.0,1.0,1.0,-8.287632375279378,100,100.0,3.5044917e-18,60.9085504258678,0.01,1.0,-1.3118329,0.009999998,,200.0,-7.460698725481052e-16,7.7652726,100.0
0.01,-7.450581e-09,51.059701134783694,1.0,1.0,1.0,-7.143283926034346,100,100.0,3.5044917e-18,51.05970113478368,0.01,1.0,-1.4162966,0.009999998,,200.0,-2.9309887850104134e-16,7.1097894,100.0
0.01,-5.9604645e-08,52.65540115517323,1.0,1.0,1.0,-7.921791648607041,100,100.0,3.5044917e-18,52.65540115517323,0.01,1.0,-1.3274804,0.009999998,,200.0,6.039613253960852e-16,7.2200313,100.0
0.01,-2.9802322e-08,52.00903067254857,1.0,1.0,1.0,-8.19325752136113,100,100.0,3.5044917e-18,52.00903067254857,0.01,1.0,-1.3279883,0.009999998,,200.0,-2.1316282072803005e-16,7.175579,100.0
0.01,-5.9604645e-08,61.394567745936826,1.0,1.0,1.0,-8.483485059658344,100,100.0,3.5044917e-18,61.394567745936826,0.01,1.0,-1.2716151,0.009999998,,200.0,3.375077994860476e-16,7.7961926,100.0
0.01,-5.9604645e-08,51.05400407297477,1.0,1.0,1.0,-8.036278607084311,100,100.0,3.5044917e-18,51.05400407297477,0.01,1.0,-1.2801124,0.009999998,,200.0,-3.730349362740526e-16,7.1093926,100.0
0.01,-3.7252903e-08,59.19582711829302,1.0,1.0,1.0,-8.010576455478429,100,100.0,3.5044917e-18,59.19582711829302,0.01,1.0,-1.3372267,0.009999998,,200.0,7.01660951563099e-16,7.6553164,100.0
0.01,5.9604645e-08,57.068613436841815,1.0,1.0,1.0,-9.04766251823208,100,100.0,3.5044917e-18,57.068613436841815,0.01,1.0,-1.2609706,0.009999998,,200.0,-9.059419880941278e-16,7.51651,100.0
0.01,-2.9802322e-08,48.785585029461394,1.0,1.0,1.0,-7.919104200498842,100,100.0,3.5044917e-18,48.785585029461394,0.01,1.0,-1.3641853,0.009999998,,200.0,-3.552713678800501e-16,6.9496565,100.0
0.01,4.4703484e-08,53.84071134065453,1.0,1.0,1.0,-8.409000144762059,100,100.0,3.5044917e-18,53.84071134065453,0.01,1.0,-1.2521527,0.009999998,,200.0,5.773159728050814e-16,7.3008432,100.0
0.01,2.9802322e-08,51.67916567642385,1.0,1.0,1.0,-8.913300681703369,100,100.0,3.5044917e-18,51.67916567642385,0.01,1.0,-1.2811356,0.009999998,,200.0,-5.329070518200751e-16,7.1527877,100.0
0.01,,51.40399529404595,1.0,1.0,1.0,-9.292872488220077,100,100.0,3.5044917e-18,51.40399529404595,0.01,1.0,-1.2354813,0.009999998,,200.0,-3.1974423109204507e-16,7.13372,100.0
0.01,1.3411045e-07,44.53833028237492,1.0,1.0,1.0,-6.915711806514081,100,100.0,3.5044917e-18,44.53833028237492,0.01,1.0,-1.3303244,0.009999998,,200.0,-2.9309887850104134e-16,6.640252,100.0
0.01,4.4703484e-08,47.05728152359388,1.0,1.0,1.0,-7.660694684047446,100,100.0,3.5044917e-18,47.057281523593886,0.01,1.0,-1.3677418,0.009999998,,200.0,-5.684341886080802e-16,6.8254457,100.0
0.01,4.4703484e-08,54.014773853199024,1.0,1.0,1.0,-8.693465275512095,100,100.0,3.5044917e-18,54.014773853199024,0.01,1.0,-1.2732918,0.009999998,,200.0,-8.881784197001253e-17,7.312635,100.0
0.01,-7.450581e-09,46.77977164670095,1.0,1.0,1.0,-7.735753581702807,100,100.0,3.5044917e-18,46.779771646700944,0.01,1.0,-1.3096049,0.009999998,,200.0,-6.838973831690964e-16,6.80529,100.0
0.01,-2.9802322e-08,56.81363215883286,1.0,1.0,1.0,-8.868973291517898,100,100.0,3.5044917e-18,56.81363215883286,0.01,1.0,-1.2535827,0.009999998,,200.0,2.1316282072803005e-16,7.4996996,100.0
0.01,-5.9604645e-08,53.17954877403971,1.0,1.0,1.0,-7.99929440819771,100,100.0,3.5044917e-18,53.17954877403971,0.01,1.0,-1.3258983,0.009999998,,200.0,8.171241461241152e-16,7.2558775,100.0
0.01,-1.7508864e-07,54.844141374163385,1.0,1.0,1.0,-8.923719362540002,100,100.0,3.5044917e-18,54.844141374163385,0.01,1.0,-1.278261,0.009999998,,200.0,-2.6645352591003756e-16,7.3685617,100.0
0.01,3.7252903e-08,53.15519610375883,1.0,1.0,1.0,-7.292707716969191,100,100.0,3.5044917e-18,53.15519610375883,0.01,1.0,-1.4169165,0.009999998,,200.0,-1.5010215292932116e-15,7.2542152,100.0
0.01,,46.36989657289818,1.0,1.0,1.0,-7.62598786496553,100,100.0,3.5044917e-18,46.36989657289818,0.01,1.0,-1.3066118,0.009999998,,200.0,1.4210854715202004e-16,6.775411,100.0
