MinVanillaIw,IterType,AvgDiscRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgEpLen,MinNormIw,SamplesThisIter,BatchSize,J,MaxNormIw,AvgRet,ESSRenyi,VarNormIw,EpsThisIter,VanillaAvgRet,delta,VarJ,AvgVanillaIw,Bound,ESSClassic,VarRet,renyi2,VarDiscRet
,1,47.7300496898,6.41741e-07,5.83504e+21,1.949e+13,5.77567286589,,50000,100,nan,0.0313181,47.7300496898,nan,1.50665e-08,8657,47.7300496898,0.8,nan,3.99371e+08,nan,18.4232010782,3132.39537236,nan,3132.39537236
,1,54.0783941352,7.12068e-07,1.69349e+11,1.06385e+08,6.40861317611,,50000,100,24488.1,0.0448593,54.0783941352,nan,3.01111e-08,7802,54.0783941352,0.8,13562.3,1688.69,454.339,21.0174655347,4262.93450574,nan,4262.93450574
,1,46.849551527,6.31744e-07,1.61515e+22,3.89835e+13,5.6856947919,,50000,100,nan,0.0475374,46.849551527,nan,2.40173e-08,8794,46.849551527,0.8,nan,5.18067e+08,nan,15.2192443049,3332.76660549,nan,3332.76660549
,1,53.6074563962,7.06814e-07,4.26949e+26,5.99085e+15,6.36132315522,,50000,100,45472.4,0.0502687,53.6074563962,nan,3.00603e-08,7860,53.6074563962,0.8,5176.35,8.42356e+10,628.726,15.9979555373,5053.07219286,nan,5053.07219286
,1,27.1299691865,4.12592e-07,inf,6.76787e+23,3.71333085778,,50000,100,23972.3,0.0625,27.1299691865,nan,2.57868e-08,13465,27.1299691865,0.8,4021.51,4.46779e+18,316.718,16.000003407,812.01376514,nan,812.01376514
,1,49.777814342,6.64302e-07,2.40732e+25,1.50493e+15,5.97871577185,,50000,100,39762.2,0.0620959,49.777814342,nan,4.0985e-08,8363,49.777814342,0.8,4109.49,1.60998e+10,491.94,15.9993379098,3467.43913287,nan,3467.43913287
,1,69.4550496191,8.83236e-07,6.7703e+26,1.18141e+16,7.94912559618,,50000,100,72063.7,0.1503,69.4550496191,nan,1.09578e-07,6290,69.4550496191,0.8,11843.7,6.94256e+10,1063.25,4.55241569442,9139.6828141,nan,9139.6828141
,1,92.5695174548,1.13983e-06,3.32032e+09,1.33296e+07,10.2585145671,,50000,100,44317.8,0.0462148,92.5695174548,nan,3.99126e-08,4874,92.5695174548,0.8,13641.4,328.758,970.883,15.791903888,14292.5797773,nan,14292.5797773
,1,121.558838325,1.46199e-06,1.93468e+22,5.14457e+13,13.1578947368,,50000,100,88474.2,0.199755,121.558838325,nan,2.9168e-07,3800,121.558838325,0.8,9225.14,3.76527e+08,729.668,4.99999969443,21661.3525472,nan,21661.3525472
,1,142.27159794,1.69222e-06,2.83485e+28,3.22182e+16,15.229972586,,50000,100,140298.0,0.0515551,142.27159794,nan,7.25894e-08,3283,142.27159794,0.8,13939.6,1.05751e+12,1941.94,15.8617450777,38843.698022,nan,38843.698022
