meankl,entropy,DiscEpRewMean,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpLenMean,surrgain,Var_J,optimgain,EpThisIter,EpRewMean,entloss,J_hat,EpisodesSoFar
0.00739165,8.4315,-106.332594398,10.413764238357544,0.00363081693649,5000,500.0,0.0239519,129594.515625,0.0239519,10,-310.098656298,,-187.03347778320312,10
0.00707267,8.36666,-101.675256437,18.23562788963318,0.16371434927,10000,500.0,0.0243281,317983808.0,0.0243281,10,-300.008170211,,-6232.7705078125,20
0.00688529,8.30131,-94.5479057214,26.203505277633667,0.174811601639,15000,500.0,0.0231509,292738.4375,0.0231509,10,-274.548551981,,-326.5364990234375,30
0.00702984,8.26659,-100.362358225,33.87521457672119,0.250888943672,20000,500.0,0.0255541,40900.7890625,0.0255541,10,-260.585058393,,-181.51107788085938,40
0.00722018,8.21308,-84.9836798802,41.497711420059204,0.317094862461,25000,500.0,0.0244429,113470.75,0.0244429,10,-243.983452923,,-124.01566314697266,50
0.0073088,8.1434,-100.43865393,49.545846939086914,0.307392001152,30000,500.0,0.025544,7080.9609375,0.025544,10,-275.962282705,,-106.92626953125,60
0.00633064,8.10357,-85.52331381,55.60631561279297,0.390543401241,35000,500.0,0.0266677,30777.48046875,0.0266677,10,-239.475861642,,-96.64054870605469,70
0.00678638,8.09112,-75.3364263144,64.24095463752747,0.383621633053,40000,500.0,0.0258825,11095.4970703125,0.0258825,10,-225.64674495,,-55.96015167236328,80
0.00693,8.01041,-75.2773578246,74.75496506690979,0.451695084572,45000,500.0,0.0272947,379118.5,0.0272947,10,-242.239277937,,-298.6029357910156,90
0.00578461,7.98583,-89.0435149936,85.83986020088196,0.484446585178,50000,500.0,0.0232164,7279.42822265625,0.0232164,10,-251.88171756,,-67.54341125488281,100
0.00600593,7.94561,-81.6439568775,96.31527614593506,0.40676766634,55000,500.0,0.0276074,1783.6195068359375,0.0276074,10,-232.352238459,,-49.344661712646484,110
0.00649529,7.88863,-70.7571956369,106.60511136054993,0.644698351622,60000,500.0,0.0275305,6611325.0,0.0275305,10,-221.389866805,,665.815673828125,120
0.00619299,7.85298,-85.6602924416,118.36629939079285,0.568220615387,65000,500.0,0.0249771,32370.96484375,0.0249771,10,-227.493732852,,-120.82894134521484,130
0.00609906,7.85015,-80.0870179912,130.40151238441467,0.48027998209,70000,500.0,0.0260615,217206.59375,0.0260615,10,-209.005590779,,-210.52609252929688,140
0.00626662,7.80254,-73.8920125595,142.17920994758606,0.636419951916,75000,500.0,0.0267104,3051.094970703125,0.0267104,10,-206.865766134,,-46.403968811035156,150
0.00698175,7.74247,-79.1829579182,153.20166063308716,0.443976044655,80000,500.0,0.0301375,1746.5006103515625,0.0301375,10,-218.921371115,,-36.66231918334961,160
