J,VarNormIw,ESSClassic,MaxNormIw,VarDiscRet,AvgNormIw,VarVanillaIw,Delta,AvgDiscRet,MinVanillaIw,VanillaAvgRet,MinNormIw,AvgEpLen,Bound,EpsThisIter,MaxVanillaIw,IterType,eRenyi2,VarJ,VarRet,ESSRenyi,AvgRet,AvgVanillaIw,BatchSize
246.07191,0.00013054948,43.621646233533156,0.052567244,27085.56038992746,0.01,1.3490218,0.15,108.8423725164873,0.054737005,108.8423725164873,0.0005384671,11.89,-47.045822,100,5.343639,1,2.0508242,523.3153,27085.56038992746,48.760884375094456,108.8423725164873,1.016534,100
315.40466,1.631949e-05,86.09089552958544,0.029135335,305336.1494731763,0.01,0.17335258,0.15,221.27978984095756,0.20955585,221.27978984095756,0.002033237,23.13,-925.3983,100,3.0028377,1,1.0881659,937.0899,305336.1494731763,91.89775374041555,221.27978984095756,1.0306515,100
455.4177,2.0609754e-05,83.05397427904508,0.024358975,363034.09571138746,0.009999999,0.21928,0.15,302.37929693932585,0.11275413,302.37929693932585,0.0010931238,31.24,-824.15344,100,2.5125928,1,1.1565695,1148.0328,363034.09571138746,86.46259619658116,302.37929693932585,1.0314854,100
2574.8162,0.0005758522,14.923286878141315,0.17406715,1011180.6445226966,0.01,8.68521,0.15,517.3781898575753,0.0007250147,517.3781898575753,5.9035356e-06,52.71,242.27051,100,21.377232,1,3.8405452,6071.297,1011180.6445226966,26.03796997022798,517.3781898575753,1.2281026,100
3447.4592,0.00047942018,17.402623220263155,0.13693504,2183143.9059677636,0.01,5.7558565,0.15,1091.0773012728816,1.3600722e-06,1091.0773012728816,1.2412669e-08,110.05,1011.54346,100,15.004149,1,4.1884856,3847.729,2183143.9059677636,23.874977501428468,1091.0773012728816,1.095713,100
4347.023,0.00022850532,30.65413772019607,0.060273804,3660968.32629091,0.009999999,1.9120979,0.15,2522.878970383745,6.1486816e-09,2522.878970383745,6.721638e-11,253.02,2395.106,100,5.513603,1,2.689398,1532.7881,3660968.32629091,37.18304175484145,2522.878970383745,0.91475946,100
4767.829,3.914523e-05,72.0701027999237,0.0236344,2692683.8771814136,0.010000002,0.4206248,0.15,4104.775261365436,0.029484916,4104.775261365436,0.00028444082,410.76,3367.7551,100,2.4499238,1,1.3836756,582.4615,2692683.8771814136,72.27127643810105,4104.775261365436,1.0365924,100
4908.0225,6.3506086e-06,94.08477942886555,0.013891486,685023.0733192536,0.010000002,0.06571557,0.15,4796.855617427385,0.14265072,4796.855617427385,0.0014023213,479.78,3677.6768,100,1.4131074,1,1.0685301,383.36472,685023.0733192536,93.5865088113099,4796.855617427385,1.0172471,100
4921.507,4.085627e-06,96.11246351508952,0.013432519,463870.755099472,0.01,0.041977674,0.15,4851.190597666869,0.31130788,4851.190597666869,0.003071215,485.21,3703.9138,100,1.3615617,1,1.0464938,342.2631,463870.755099472,95.55718628404946,4851.190597666869,1.013631,100
4970.4956,5.6599188e-06,94.69399123067224,0.012268772,213389.53669756898,0.01,0.05559916,0.15,4899.972019362167,0.20264682,4899.972019362167,0.0020446114,490.06,3756.5996,100,1.2159903,1,1.0401486,144.98651,213389.53669756898,96.14010774750817,4899.972019362167,0.9911263,100
