Delta,MaxNormIw,EpsThisIter,AvgRet,ESSRenyi,Bound,ESSClassic,VarRet,VarNormIw,J,AvgVanillaIw,MinVanillaIw,MinNormIw,eRenyi2,VarVanillaIw,AvgEpLen,AvgNormIw,MaxVanillaIw,VanillaAvgRet,AvgDiscRet,IterType,VarJ,VarDiscRet,BatchSize
0.2,0.19338737,100,148.23435896617477,24.086861701357886,36.414368,13.643099527272895,83958.67826312238,0.0006393648,761.6483,1.2988307,0.002842612,2.1885931e-05,4.151641,10.785838,15.83,0.010000002,25.117746,148.23435896617477,148.23435896617477,1,2426.3699,83958.67826312238,100
0.2,0.2355597,100,272.9969157459806,38.650418571940136,-180.72546,15.412335446263649,319587.30772871943,0.00055437465,1427.7518,1.134496,0.041529126,0.00036605794,2.587294,7.135252,28.3,0.01,26.724154,272.9969157459806,272.9969157459806,1,8477.483,319587.30772871943,100
0.2,0.14244501,100,665.2307143847584,16.7432914126713,640.0149,13.341955322656075,1508669.3149035536,0.00065607607,3083.893,1.1584783,2.192334e-07,1.8924255e-09,5.9725413,8.805013,67.49,0.01,16.501945,665.2307143847584,665.2307143847584,1,4708.366,1508669.3149035536,100
0.2,0.08995509,100,2019.817433438771,29.268302213999842,2291.6987,30.53383048088381,3674198.7196835834,0.00022980358,4140.121,0.9742979,1.125319e-06,1.1550052e-08,3.4166656,2.181425,202.77,0.01,8.764305,2019.817433438771,2019.817433438771,1,1834.7957,3674198.7196835834,100
0.2,0.032923955,100,3892.795784568851,60.62465902004321,3491.035,52.517626045402,2864988.281525459,9.132547e-05,4775.361,0.9473583,0.0060772365,6.414929e-05,1.6494938,0.81963503,389.68,0.01,3.1190782,3892.795784568851,3892.795784568851,1,516.6704,2864988.281525459,100
0.2,0.011555549,100,4938.581908139073,98.90290344107167,3944.229,99.0796881883821,77680.8261051077,9.382412e-07,4949.76,1.0066508,0.69499826,0.006904065,1.0110927,0.009507628,493.95,0.01,1.1632402,4938.581908139073,4938.581908139073,1,225.13477,77680.8261051077,100
0.2,0.0148897115,100,4833.407334546322,93.2733319871873,3902.022,93.55008028299754,497046.8835593817,6.9642533e-06,4937.453,1.0390279,0.15742838,0.0015151507,1.0721178,0.07518461,483.45,0.01,1.5470827,4833.407334546322,4833.407334546322,1,246.35693,497046.8835593817,100
0.2,0.012795663,100,4915.1598943569215,97.24073335620821,3931.9614,97.53187802391157,255348.40332537502,2.5561442e-06,4946.05,1.0063502,0.54536223,0.0054192096,1.0283756,0.025887106,491.58,0.01,1.2876918,4915.1598943569215,4915.1598943569215,1,297.77066,255348.40332537502,100
0.2,0.012701612,100,4897.480705081573,96.02343223174998,3951.7734,95.27176590098895,352598.8306476224,5.0130143e-06,4972.2695,0.9871861,0.08218712,0.00083253934,1.0414125,0.048853643,489.79,0.01,1.2538854,4897.480705081573,4897.480705081573,1,181.62625,352598.8306476224,100
0.2,0.012265004,100,4921.395686426324,96.92220361638735,3957.231,96.82082684275461,270272.08414531266,3.3167344e-06,4972.9844,1.0099013,0.20618665,0.0020416516,1.0317553,0.033827398,492.18,0.01,1.2386444,4921.395686426324,4921.395686426324,1,158.13333,270272.08414531266,100
