Bound,MaxVanillaIw,AvgDiscRet,MaxNormIw,ESSRenyi,AvgVanillaIw,eRenyi2,IterType,MinVanillaIw,MinNormIw,AvgRet,ESSClassic,BatchSize,VarDiscRet,AvgEpLen,AvgNormIw,VarJ,VanillaAvgRet,EpsThisIter,VarNormIw,Delta,VarRet,J,VarVanillaIw
-3767.23,3.41157,-5471.45392954,0.0410653,40.9427712499,0.830769,2.44243,1,4.59563e-12,5.53178e-14,-5471.45392954,37.5285337393,100,32969851.4102,500.0,0.01,851.867,-5471.45392954,100,0.000168145,0.3,32969851.4102,-329.64,1.1605
-1439.54,1.34375,-392.249841883,0.0133477,89.5041957119,1.00672,1.11727,1,0.0817665,0.000812203,-392.249841883,89.2983635397,100,2814230.22038,500.0,0.01,211.648,-392.249841883,100,1.21052e-05,0.3,2814230.22038,-54.1314,0.122686
-11.9007,1.68163,-8.01481296407,0.0159332,76.8006023485,1.05542,1.30207,1,0.00648532,6.14476e-05,-8.01481296407,78.0770223501,100,70.9736691467,500.0,0.01,8.85579,-8.01481296407,100,2.83623e-05,0.3,70.9736691467,-7.02769,0.315933
-12.4727,2.12649,-8.7326488613,0.0212314,95.771177819,1.00158,1.04416,1,0.840717,0.00839393,-8.7326488613,96.2992957837,100,60.1198065943,500.0,0.01,7.75173,-8.7326488613,100,3.88172e-06,0.3,60.1198065943,-8.58208,0.0389398
-14.8293,1.15781,-7.77022719442,0.0113648,96.7250987821,1.01877,1.03386,1,0.309346,0.00303648,-7.77022719442,97.0176709111,100,70.20712801,500.0,0.01,7.55007,-7.77022719442,100,3.10505e-06,0.3,70.20712801,-7.52106,0.0322268
-13.2825,2.27778,-8.33769993954,0.0222363,88.9422984659,1.02435,1.12432,1,0.319993,0.00312386,-8.33769993954,90.8501416167,100,65.2217429549,500.0,0.01,7.71245,-8.33769993954,100,1.01731e-05,0.3,65.2217429549,-7.68302,0.106746
-13.8697,1.20403,-9.82751420385,0.0116897,95.5752700392,1.02999,1.0463,1,0.435501,0.0042282,-9.82751420385,96.848334721,100,54.1087667177,500.0,0.01,7.1878,-9.82751420385,100,3.2871e-06,0.3,54.1087667177,-9.64053,0.0348722
-11.3177,1.24862,-7.64318033004,0.0125711,93.3596890996,0.993252,1.07113,1,0.164279,0.00165396,-7.64318033004,93.8736353217,100,53.1284145194,500.0,0.01,7.33004,-7.64318033004,100,6.59209e-06,0.3,53.1284145194,-7.4039,0.0650342
-13.794,1.10643,-9.48529613626,0.0112436,98.5667496927,0.984054,1.01454,1,0.480194,0.00487975,-9.48529613626,98.328520662,100,56.9779763689,500.0,0.01,7.35532,-9.48529613626,100,1.71708e-06,0.3,56.9779763689,-9.41117,0.0166275
-11.8551,1.41866,-8.49818618912,0.0138157,91.4897571182,1.02685,1.09302,1,0.239877,0.00233605,-8.49818618912,93.1502376448,100,50.0842192696,500.0,0.01,6.98595,-8.49818618912,100,7.42776e-06,0.3,50.0842192696,-8.14263,0.0783197
-13.419,1.27605,-9.99183017821,0.0128209,92.2550625805,0.995286,1.08395,1,0.0307784,0.000309242,-9.99183017821,91.7591274534,100,56.0738840712,500.0,0.01,7.78807,-9.99183017821,100,9.07172e-06,0.3,56.0738840712,-9.61318,0.0898639
-11.8305,1.1259,-8.15629275905,0.0114049,97.7514598731,0.987207,1.023,1,0.448055,0.00453861,-8.15629275905,97.3665116304,100,52.7648190702,500.0,0.01,7.04928,-8.15629275905,100,2.73205e-06,0.3,52.7648190702,-8.01974,0.026626
-10.9337,1.38086,-7.53001855635,0.0141107,88.1460739802,0.978595,1.13448,1,0.136056,0.00139032,-7.53001855635,84.9364600023,100,50.3965039192,500.0,0.01,6.77785,-7.53001855635,100,1.79142e-05,0.3,50.3965039192,-7.02262,0.171555
-11.0518,1.19246,-7.5029982452,0.012027,98.677896718,0.991486,1.0134,1,0.713979,0.0072011,-7.5029982452,98.9994351949,100,47.2848801354,500.0,0.01,6.87668,-7.5029982452,100,1.02091e-06,0.3,47.2848801354,-7.45509,0.010036
-10.235,2.22308,-7.15802720802,0.0239855,60.2609278591,0.926841,1.65945,1,9.67703e-06,1.04409e-07,-7.15802720802,58.1543585035,100,42.0377463445,500.0,0.01,6.83279,-7.15802720802,100,7.2683e-05,0.3,42.0377463445,-5.67701,0.624372
-11.1515,1.31719,-7.7897100155,0.0131517,99.699781361,1.00154,1.00301,1,0.963392,0.00961913,-7.7897100155,99.726474461,100,40.0393203164,500.0,0.01,6.31301,-7.7897100155,100,2.77039e-07,0.3,40.0393203164,-7.78235,0.00277892
-10.1938,1.59321,-6.89134613874,0.0162823,88.7813035131,0.978492,1.12636,1,0.19374,0.00197999,-6.89134613874,88.3065795405,100,35.2426686369,500.0,0.01,6.16476,-6.89134613874,100,1.33756e-05,0.3,35.2426686369,-6.45841,0.128064
-11.1771,1.63379,-7.82567771978,0.0163504,96.1617197256,0.999234,1.03991,1,0.885825,0.00886504,-7.82567771978,97.2218662661,100,47.1986841638,500.0,0.01,6.88521,-7.82567771978,100,2.88636e-06,0.3,47.1986841638,-7.66925,0.0288195
