VanillaAvgRet,AvgVanillaIw,IterType,J,MinNormIw,ESSClassic,Delta,VarRet,MaxVanillaIw,AvgDiscRet,VarVanillaIw,Bound,MinVanillaIw,VarJ,MaxNormIw,AvgRet,eRenyi2,EpsThisIter,VarNormIw,BatchSize,AvgNormIw,ESSRenyi,AvgEpLen,VarDiscRet
108.8423725164873,1.2365017,1,525.11194,9.373599e-18,2.184363940969611,0.55,27085.56038992746,82.7107,108.8423725164873,69.15721,223.1427,1.1590472e-15,1036.1205,0.6689089,108.8423725164873,15.074658,100,0.0045232233,100,0.009999998,6.633649492232044,11.89,27085.56038992746
440.07917743685243,1.3960415,1,4579.0864,,2.629503595185301,0.55,765140.1362713226,65.9541,440.07917743685243,72.89791,2539.5813,,2938.076,0.47243652,440.07917743685243,20.335773,100,0.003740404,100,0.01,4.917442661193671,45.0,765140.1362713226
440.07917743685243,inf,,nan,nan,nan,0.55,765140.1362713226,inf,1996.6454467554067,nan,nan,0.015162058,nan,nan,440.07917743685243,nan,100,nan,200,nan,nan,45.0,3995039.9041665727
434.582498358569,1.136739,1,4419.8325,,3.961591276718441,0.55,669967.87206862,97.81598,434.582498358569,64.26433,2710.8423,,4487.0503,0.43024817,434.582498358569,28.5575,100,0.0012433358,200,0.005,7.003413958592352,44.45,669967.87206862
2137.319660956431,1.0,2,2137.3198,0.01,100.0,0.55,3642654.181699626,1.0,2137.319660956431,,1685.0529,1.0,1899.0071,0.01,2137.319660956431,1.0,100,3.5044917e-18,200,0.009999998,200.0,214.52,3642654.181699626
434.582498358569,inf,,nan,nan,nan,0.55,669967.87206862,inf,2010.0893059558841,nan,nan,0.010223279,nan,nan,434.582498358569,0.00013435107,100,nan,300,nan,2232955.848074229,44.45,3577484.9717329727
343.6854984722537,1.1252602,1,4492.7046,,3.929597566837151,0.55,318068.9799192958,151.66182,343.6854984722537,95.72005,2754.2778,,4870.9766,0.44926444,343.6854984722537,44.324635,100,0.00083995203,300,0.003333333,6.768245311713468,35.37,318068.9799192958
2348.9930398201413,1.0,2,2348.993,0.01,100.0,0.55,3652925.574231526,1.0,2348.9930398201413,,1896.726,1.0,1901.6825,0.01,2348.9930398201413,1.0,100,3.5044917e-18,300,0.009999998,300.0,235.63,3652925.574231526
2334.7118912119695,1.0,2,2341.8525,0.005,200.00000010221265,0.55,3824565.8780431394,1.0,2334.7118912119695,,2022.0515,1.0,1923.9048,0.005,2334.7118912119695,1.0,100,2.179301e-19,300,0.0049999994,300.0,234.19,3824565.8780431394
343.6854984722537,inf,,nan,nan,nan,0.55,318068.9799192958,inf,2389.954414803771,nan,nan,0.006593617,nan,nan,343.6854984722537,5.162681e-05,100,nan,400,nan,7747912.632769244,35.37,3820286.2225258676
299.0692047266007,0.8061575,1,4375.108,,2.6145947680436983,0.55,173349.1736250279,191.73761,299.0692047266007,99.022606,2569.2173,,8549.418,0.5946034,299.0692047266007,63.775513,100,0.0009523019,400,0.0025,6.271999755000009,30.92,173349.1736250279
2255.4984068381605,1.0,2,2255.4985,0.01,100.0,0.55,3791696.5833082073,1.0,2255.4984068381605,,1803.2316,1.0,1937.4674,0.01,2255.4984068381605,1.0,100,3.5044917e-18,400,0.009999998,400.0,226.28,3791696.5833082073
1705.9761871051942,1.0,2,1980.7375,0.005,200.00000010221265,0.55,2605000.9769015326,1.0,1705.9761871051942,,1660.9365,1.0,1800.5162,0.005,1705.9761871051942,1.0,100,2.179301e-19,400,0.0049999994,400.0,171.46,2605000.9769015326
1871.0365735437185,1.0,2,1944.1704,0.0033333334,299.999969473632,0.55,3191174.154131303,1.0,1871.0365735437185,,1683.054,1.0,1793.6,0.0033333334,1871.0365735437185,1.0,100,5.4391416e-20,400,0.0033333336,400.0,187.91,3191174.154131303
299.0692047266007,inf,,nan,nan,nan,0.55,173349.1736250279,inf,2074.3094157589353,nan,nan,0.0052154604,nan,nan,299.0692047266007,1.9501682e-05,100,nan,500,nan,25638814.272667993,30.92,3281444.9497419703
426.1678988761518,1.0105209,1,4457.6357,,3.6366344630024656,0.55,659440.1044525781,224.02176,426.1678988761518,139.65619,2792.7559,,7140.556,0.44337875,426.1678988761518,67.75573,100,0.0005470531,500,0.0019999999,7.37944971438075,43.61,659440.1044525781
2206.0661082987426,1.0,2,2206.0662,0.01,100.0,0.55,3365099.114630821,1.0,2206.0661082987426,,1753.7993,1.0,1825.2255,0.01,2206.0661082987426,1.0,100,3.5044917e-18,500,0.009999998,500.0,221.39,3365099.114630821
2455.301100417996,1.0,2,2330.6836,0.005,200.00000010221265,0.55,3747859.3791175243,1.0,2455.301100417996,,2010.8826,1.0,1880.5435,0.005,2455.301100417996,1.0,100,2.179301e-19,500,0.0049999994,500.0,246.23,3747859.3791175243
2592.7562528397943,1.0,2,2418.0415,0.0033333334,299.999969473632,0.55,3977344.377191132,1.0,2592.7562528397943,,2156.925,1.0,1919.7437,0.0033333334,2592.7562528397943,1.0,100,5.4391416e-20,500,0.0033333336,500.0,259.94,3977344.377191132
2251.563253658895,1.0,2,2376.4219,0.0025,400.0,0.55,3321680.7257839004,1.0,2251.563253658895,,2150.2883,1.0,1895.0922,0.0025,2251.563253658895,1.0,100,5.434597e-20,500,0.0024999997,500.0,225.92,3321680.7257839004
2193.1841046830214,1.1494945,1,4877.398,3.9064407e-29,66.85562556252762,0.55,3651184.0227080355,21.823332,2193.1841046830214,8.57784,4302.294,2.2452162e-26,533.9833,0.037970312,2193.1841046830214,8.08487,100,2.5967141e-05,500,0.0020000003,61.84391079504685,220.06,3651184.0227080355
4861.747143549871,1.0,2,4861.7466,0.01,100.0,0.55,381854.45040015236,1.0,4861.747143549871,,4409.4795,1.0,614.84625,0.01,4861.747143549871,1.0,100,3.5044917e-18,500,0.009999998,500.0,486.25,381854.45040015236
4823.196071009855,1.0,2,4842.471,0.005,200.00000010221265,0.55,498817.3244269028,1.0,4823.196071009855,,4522.67,1.0,660.53314,0.005,4823.196071009855,1.0,100,2.179301e-19,500,0.0049999994,500.0,482.4,498817.3244269028
4880.029056283236,1.0,2,4854.9907,0.0033333334,299.999969473632,0.55,294765.5568514586,1.0,4880.029056283236,,4593.874,1.0,623.26196,0.0033333334,4880.029056283236,1.0,100,5.4391416e-20,500,0.0033333336,500.0,488.07,294765.5568514586
4920.480386290374,1.0,2,4871.363,0.0025,400.0,0.55,254924.10845617112,1.0,4920.480386290374,,4645.2295,1.0,596.01965,0.0025,4920.480386290374,1.0,100,5.434597e-20,500,0.0024999997,500.0,492.1,254924.10845617112
4947.202899011868,1.0158681,1,4982.5557,1.7205839e-05,414.1697372930159,0.55,214686.8735234749,1.8676634,4947.202899011868,0.21429205,4760.1377,0.008739431,105.30914,0.00367698,4947.202899011868,1.2092599,100,8.3059894e-07,500,0.0019999999,413.47605536944127,494.75,214686.8735234749
4963.19479103264,1.0,2,4963.1943,0.01,100.0,0.55,134694.44873953084,1.0,4963.19479103264,,4510.9272,1.0,365.16776,0.01,4963.19479103264,1.0,100,3.5044917e-18,500,0.009999998,500.0,496.34,134694.44873953084
4898.906419660762,1.0,2,4931.051,0.005,200.00000010221265,0.55,337839.7206193312,1.0,4898.906419660762,,4611.2495,1.0,484.7037,0.005,4898.906419660762,1.0,100,2.179301e-19,500,0.0049999994,500.0,489.94,337839.7206193312
4990.299304288708,1.0,2,4950.801,0.0033333334,299.999969473632,0.55,9215.585861474246,1.0,4990.299304288708,,4689.684,1.0,400.55756,0.0033333334,4990.299304288708,1.0,100,5.4391416e-20,500,0.0033333336,500.0,499.05,9215.585861474246
4999.874960130697,1.0,2,4963.069,0.0025,400.0,0.55,0.0630960821596779,1.0,4999.874960130697,,4736.9355,1.0,347.5433,0.0025,4999.874960130697,1.0,100,5.434597e-20,500,0.0024999997,500.0,500.0,0.0630960821596779
4980.721246419957,0.9964668,1,4991.0283,0.00014635656,460.9748771756443,0.55,36861.56228776968,1.4021755,4980.721246419957,0.08422917,4781.442,0.07291973,101.67024,0.0028142945,4980.721246419957,1.0737582,100,3.3931016e-07,500,0.002,465.65416615365893,498.09,36861.56228776968
4999.915492667916,1.0,2,4999.9155,0.01,100.0,0.55,0.0130916744357317,1.0,4999.915492667916,,4547.6484,1.0,0.11387416,0.01,4999.915492667916,1.0,100,3.5044917e-18,500,0.009999998,500.0,500.0,0.0130916744357317
4999.908129785223,1.0,2,4999.9116,0.005,200.00000010221265,0.55,0.009842502050759327,1.0,4999.908129785223,,4680.1104,1.0,0.106626175,0.005,4999.908129785223,1.0,100,2.179301e-19,500,0.0049999994,500.0,500.0,0.009842502050759327
