VarVanillaIw,MaxVanillaIw,AvgRet,EpsThisIter,MaxNormIw,MinVanillaIw,MinNormIw,VarDiscRet,Bound,IterType,VarNormIw,VarRet,VanillaAvgRet,AvgEpLen,ESSRenyi,eRenyi2,ESSClassic,AvgNormIw,Delta,BatchSize,AvgVanillaIw,AvgDiscRet,J,VarJ
1.837277,3.8770974,-1743.3246030328082,100,0.034498997,7.58097e-10,6.745661e-12,4510235.975432037,-525.00256,1,0.00014547024,4510235.975432037,-1743.3246030328082,200.0,36.07555328181171,2.7719603,40.980994355247546,0.010000002,0.8,100,1.123829,-1743.3246030328082,-45.587845,106.08663
0.2119364,1.434315,-91.69892036419144,100,0.015921535,0.02939316,0.0003262772,195442.7651749951,-166.97148,1,2.611478e-05,195442.7651749951,-91.69892036419144,200.0,85.81606616483388,1.165283,79.45738358023274,0.010000002,0.8,100,0.9008647,-91.69892036419144,-13.076008,25.08417
0.28730625,1.7238653,-9.651227372944538,100,0.016239988,0.03109493,0.00029293547,79.21034308674908,-11.510052,1,2.5498215e-05,79.21034308674908,-9.651227372944538,200.0,75.79613834557553,1.3193284,79.84462333891072,0.01,0.8,100,1.0614942,-9.651227372944538,-8.578714,7.7662463
3.2090745,6.175741,-8.661368773748352,100,0.06427198,,,61.36711905400554,-8.820908,1,0.00034757223,61.36711905400554,-8.661368773748352,200.0,22.60409877350664,4.4239764,22.5176333405878,0.01,0.8,100,0.96087617,-8.661368773748352,-5.854905,10.309332
26.834265,30.375814,-8.493512388781772,100,0.3235856,,,56.79910624934273,-6.657543,1,0.0030451748,56.79910624934273,-8.493512388781772,200.0,4.770234655788257,20.96333,3.2105581891765236,0.01,0.8,100,0.9387258,-8.493512388781772,-1.2044514,6.336057
nan,inf,-8.493512388781772,100,nan,0.032920927,nan,49.71967215420035,nan,,nan,56.79910624934273,-8.493512388781772,200.0,nan,nan,nan,nan,0.8,200,inf,-7.174552024184496,nan,nan
11.73131,22.73703,-6.928474693716802,100,0.17699078,,,40.24618866114066,-6.9886866,1,0.00071085396,40.24618866114066,-6.928474693716802,200.0,12.944089905094664,15.451067,6.827806466294639,0.005,0.8,200,0.6423225,-6.928474693716802,-3.6783142,23.963202
,1.0,-8.751382183199633,100,0.01,1.0,0.01,60.67160051954215,-9.975947,2,3.5044917e-18,60.67160051954215,-8.751382183199633,200.0,200.0,1.0,100.0,0.009999998,0.8,200,1.0,-8.751382183199633,-8.751382,7.7501535
nan,inf,-6.928474693716802,100,nan,0.04398112,nan,57.2441751421808,nan,,nan,40.24618866114066,-6.928474693716802,200.0,nan,nan,nan,nan,0.8,300,inf,-9.345225170524692,nan,nan
21.41837,37.144688,-7.309446750381411,100,0.13138695,3.9192455e-28,1.3863024e-30,53.61478362393772,-7.120075,1,0.00026797695,53.61478362393772,-7.309446750381411,200.0,13.454831356522526,22.296824,11.982011179299715,0.0033333334,0.8,300,0.9423739,-7.309446750381411,-3.8261697,21.119299
,1.0,-8.253344570239525,100,0.01,1.0,0.01,59.268623012405094,-9.484195,2,3.5044917e-18,59.268623012405094,-8.253344570239525,200.0,300.0,1.0,100.0,0.009999998,0.8,300,1.0,-8.253344570239525,-8.253345,7.6600213
,1.0,-8.183129030112271,100,0.005,1.0,0.005,54.71903790868045,-9.101942,2,2.179301e-19,54.71903790868045,-8.183129030112271,200.0,300.0,1.0,200.00000010221265,0.0049999994,0.8,300,1.0,-8.183129030112271,-8.218237,7.5116653
inf,2.5515114e+27,-7.309446750381411,100,0.99061143,0.026921751,1.0452234e-29,57.74686521074759,-inf,,0.0032710482,53.61478362393772,-7.309446750381411,200.0,nan,nan,,0.0033333336,0.8,400,8.585645e+24,-8.63070539146507,-2.5007868,4.141769
0.13088512,3.5287178,-7.465422371162809,100,0.009052622,0.7519655,0.0019291029,48.45207087342624,-8.054106,1,8.6140074e-07,48.45207087342624,-7.465422371162809,200.0,322.4991023118449,1.2403135,351.65467418084984,0.0025,0.8,400,0.97450155,-7.465422371162809,-7.381306,7.321781
,1.0,-8.69467368575854,100,0.01,1.0,0.01,55.164239675344426,-9.944536,2,3.5044917e-18,55.164239675344426,-8.69467368575854,200.0,400.0,1.0,100.0,0.009999998,0.8,400,1.0,-8.69467368575854,-8.694674,7.390033
,1.0,-8.345591211649866,100,0.005,1.0,0.005,53.361512932889624,-9.403918,2,2.179301e-19,53.361512932889624,-8.345591211649866,200.0,400.0,1.0,200.00000010221265,0.0049999994,0.8,400,1.0,-8.345591211649866,-8.520132,7.3314877
,1.0,-8.493592930586406,100,0.0033333334,1.0,0.0033333334,46.28730766663153,-9.232895,2,5.4391416e-20,46.28730766663153,-8.493592930586406,200.0,400.0,1.0,299.999969473632,0.0033333336,0.8,400,1.0,-8.493592930586406,-8.511286,7.1490397
0.056926526,1.3298483,-7.465422371162809,100,0.0030030457,0.28338906,0.0006399454,62.14574442161929,-9.203109,,2.9029152e-07,48.45207087342624,-7.465422371162809,200.0,456.4816954203534,1.0953342,382.28832625077257,0.0025,0.8,500,1.107083,-8.388841951686054,-8.549067,7.4693336
2.30197,7.5107746,-7.285605924228279,100,0.016067987,1.7176315e-05,3.6745718e-08,53.02057720262154,-7.791686,1,1.0535451e-05,53.02057720262154,-7.285605924228279,200.0,141.89809762070985,3.5236554,137.7943672224329,0.002,0.8,500,0.9348744,-7.285605924228279,-6.777396,12.302499
,1.0,-8.011655572696432,100,0.01,1.0,0.01,51.37090469562805,-9.210963,2,3.5044917e-18,51.37090469562805,-8.011655572696432,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.011655572696432,-8.011656,7.131423
,1.0,-7.909330062184222,100,0.005,1.0,0.005,60.54306856885251,-8.808531,2,2.179301e-19,60.54306856885251,-7.909330062184222,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-7.909330062184222,-7.9604926,7.443119
,1.0,-8.961382613768206,100,0.0033333334,1.0,0.0033333334,59.95528062880062,-9.004181,2,5.4391416e-20,59.95528062880062,-8.961382613768206,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-8.961382613768206,-8.294123,7.5459404
,1.0,-9.102083448324876,100,0.0025,1.0,0.0025,53.02489573234686,-9.111042,2,5.434597e-20,53.02489573234686,-9.102083448324876,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-9.102083448324876,-8.496113,7.480105
1.7194685,3.8472376,-6.968807753670226,100,0.007968654,1.2622093e-24,2.6143717e-27,48.86697335299843,-8.39219,1,7.3767683e-06,48.86697335299843,-6.968807753670226,200.0,180.66273521819454,2.767588,176.02511382151238,0.002,0.8,500,0.96559286,-6.968807753670226,-7.477191,12.479241
,1.0,-7.801278234685679,100,0.01,1.0,0.01,49.73013894446636,-9.00042,2,3.5044917e-18,49.73013894446636,-7.801278234685679,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-7.801278234685679,-7.801278,7.016611
,1.0,-8.627189178174136,100,0.005,1.0,0.005,49.000945841950276,-9.066827,2,2.179301e-19,49.000945841950276,-8.627189178174136,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.627189178174136,-8.214233,7.003029
,1.0,-9.109732696337101,100,0.0033333334,1.0,0.0033333334,63.94921677893729,-9.221649,2,5.4391416e-20,63.94921677893729,-9.109732696337101,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-9.109732696337101,-8.512733,7.346863
,1.0,-7.950472079828971,100,0.0025,1.0,0.0025,51.975990207121136,-8.986107,2,5.434597e-20,51.975990207121136,-7.950472079828971,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-7.950472079828971,-8.372168,7.307915
0.26213512,4.9883122,-6.559676802581782,100,0.010207819,0.5840513,0.0011951717,43.98580763804518,-8.5084095,1,1.0977004e-06,43.98580763804518,-6.559676802581782,200.0,376.8582328660534,1.3267589,392.5028538521805,0.0019999999,0.8,500,0.97735125,-6.559676802581782,-7.8759017,7.9699373
,1.0,-7.265590924662201,100,0.01,1.0,0.01,46.530946282655734,-8.472882,2,3.5044917e-18,46.530946282655734,-7.265590924662201,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-7.265590924662201,-7.2655907,6.787167
,1.0,-8.300589907536343,100,0.005,1.0,0.005,51.41102518546604,-8.636774,2,2.179301e-19,51.41102518546604,-8.300589907536343,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.300589907536343,-7.7830906,6.9820538
,1.0,-8.341829405635172,100,0.0033333334,1.0,0.0033333334,52.63151331077878,-8.666367,2,5.4391416e-20,52.63151331077878,-8.341829405635172,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-8.341829405635172,-7.969337,7.066623
,1.0,-8.33248172707398,100,0.0025,1.0,0.0025,53.330226762074155,-8.670608,2,5.434597e-20,53.330226762074155,-8.33248172707398,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.33248172707398,-8.0601225,7.118766
1.0499988,2.7776203,-8.747028769595554,100,0.0055473554,4.738092e-13,9.462733e-16,53.023833936005474,-8.395492,1,4.1880808e-06,53.023833936005474,-8.747028769595554,200.0,246.23153338643502,2.0306091,244.50763102280138,0.002,0.8,500,1.0014215,-8.747028769595554,-7.616212,9.725903
,1.0,-8.033887698036153,100,0.01,1.0,0.01,59.05889266805134,-9.213155,2,3.5044917e-18,59.05889266805134,-8.033887698036153,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.033887698036153,-8.033887,7.6464567
,1.0,-8.167892761256264,100,0.005,1.0,0.005,55.57098026485989,-8.963383,2,2.179301e-19,55.57098026485989,-8.167892761256264,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.167892761256264,-8.100891,7.533012
,1.0,-7.905569488587786,100,0.0033333334,1.0,0.0033333334,56.80977579404257,-8.740005,2,5.4391416e-20,56.80977579404257,-7.905569488587786,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.905569488587786,-8.035784,7.5224037
,1.0,-8.52316445757016,100,0.0025,1.0,0.0025,49.317717459109915,-8.767502,2,5.434597e-20,49.317717459109915,-8.52316445757016,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.52316445757016,-8.157628,7.3953085
25.595995,30.522255,-7.411758370448788,100,0.050886318,,,43.88977528748027,-7.460601,1,7.1144415e-05,43.88977528748027,-7.411758370448788,200.0,22.62393609400864,22.100487,26.665910603671946,0.002,0.8,500,1.1996253,-7.411758370448788,-4.896202,20.277365
,1.0,-8.150504492539097,100,0.01,1.0,0.01,53.266525748613645,-9.342784,2,3.5044917e-18,53.266525748613645,-8.150504492539097,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.150504492539097,-8.150504,7.2618084
,1.0,-8.041866773387351,100,0.005,1.0,0.005,58.678411732873585,-8.95423,2,2.179301e-19,58.678411732873585,-8.041866773387351,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.041866773387351,-8.096186,7.4441714
,1.0,-8.546657144893464,100,0.0033333334,1.0,0.0033333334,57.138782759154594,-8.946934,2,5.4391416e-20,57.138782759154594,-8.546657144893464,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-8.546657144893464,-8.246344,7.4729304
,1.0,-7.968619844924063,100,0.0025,1.0,0.0025,51.42081672316845,-8.783641,2,5.434597e-20,51.42081672316845,-7.968619844924063,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-7.968619844924063,-8.176912,7.3908477
8.936763,16.3929,-8.713645471897497,100,0.038146812,,,56.70836226410752,-7.4819093,1,4.839329e-05,56.70836226410752,-8.713645471897497,200.0,43.06472802231696,11.61043,38.24347971797949,0.002,0.8,500,0.85946375,-8.713645471897497,-5.628189,20.80833
,1.0,-8.502981523706218,100,0.01,1.0,0.01,52.46667805853298,-9.702567,2,3.5044917e-18,52.46667805853298,-8.502981523706218,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.502981523706218,-8.502981,7.207081
,1.0,-7.526122376658617,100,0.005,1.0,0.005,47.1056500606927,-8.876429,2,2.179301e-19,47.1056500606927,-7.526122376658617,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-7.526122376658617,-8.014551,7.0375323
,1.0,-7.810678492010793,100,0.0033333334,1.0,0.0033333334,52.39980515410484,-8.650312,2,5.4391416e-20,52.39980515410484,-7.810678492010793,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.810678492010793,-7.9465933,7.0935946
,1.0,-6.28772677250374,100,0.0025,1.0,0.0025,42.41581501887354,-8.141315,2,5.434597e-20,42.41581501887354,-6.28772677250374,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-6.28772677250374,-7.5318766,6.9823484
2.462688,5.1641464,-7.69043995115924,100,0.011145018,,,50.53593010902233,-7.796572,1,1.1470275e-05,50.53593010902233,-7.69043995115924,200.0,135.64220993460282,3.6861682,129.47215819040065,0.002,0.8,500,0.92671835,-7.69043995115924,-6.7500153,11.804148
,1.0,-8.314364618558637,100,0.01,1.0,0.01,58.227982846682316,-9.494471,2,3.5044917e-18,58.227982846682316,-8.314364618558637,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.314364618558637,-8.314364,7.592477
,1.0,-7.852256731621935,100,0.005,1.0,0.005,51.64109919636501,-8.947127,2,2.179301e-19,51.64109919636501,-7.852256731621935,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-7.852256731621935,-8.08331,7.3782506
,1.0,-7.957523860458959,100,0.0033333334,1.0,0.0033333334,52.13793742435763,-8.746685,2,5.4391416e-20,52.13793742435763,-7.957523860458959,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.957523860458959,-8.041382,7.3144665
,1.0,-7.059521263589496,100,0.0025,1.0,0.0025,45.187968352513565,-8.406727,2,5.434597e-20,45.187968352513565,-7.059521263589496,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-7.059521263589496,-7.7959166,7.175712
5.488356,10.754366,-8.694124110061592,100,0.025451515,,,62.412845211978315,-7.440321,1,3.0739724e-05,62.412845211978315,-8.694124110061592,200.0,65.52236725246354,7.630982,57.67304924638314,0.0020000003,0.8,500,0.8450865,-8.694124110061592,-5.9306817,19.782722
,1.0,-7.813423649034872,100,0.01,1.0,0.01,57.62450394629073,-9.033562,2,3.5044917e-18,57.62450394629073,-7.813423649034872,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-7.813423649034872,-7.813424,7.55303
,1.0,-8.473621366402826,100,0.005,1.0,0.005,56.296710181278904,-9.0062895,2,2.179301e-19,56.296710181278904,-8.473621366402826,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.473621366402826,-8.143522,7.5166464
,1.0,-7.124286101883291,100,0.0033333334,1.0,0.0033333334,48.14473789187607,-8.508224,2,5.4391416e-20,48.14473789187607,-7.124286101883291,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.124286101883291,-7.8037767,7.333843
,1.0,-8.12074503614512,100,0.0025,1.0,0.0025,50.757676776239194,-8.493088,2,5.434597e-20,50.757676776239194,-8.12074503614512,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.12074503614512,-7.883019,7.274635
2.4774919,7.239563,-8.51735124326002,100,0.015701301,6.2629972e-09,1.3583307e-11,61.59758192754179,-8.007305,1,1.1653565e-05,61.59758192754179,-8.51735124326002,200.0,132.25087604337085,3.7806933,127.95694849959887,0.002,0.8,500,0.92216086,-8.51735124326002,-6.94632,13.868412
,1.0,-8.317277085159994,100,0.01,1.0,0.01,51.13006179906121,-9.54084,2,3.5044917e-18,51.13006179906121,-8.317277085159994,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.317277085159994,-8.317277,7.1146865
,1.0,-7.7395768505378735,100,0.005,1.0,0.005,55.373892654454,-8.893617,2,2.179301e-19,55.373892654454,-7.7395768505378735,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-7.7395768505378735,-8.028427,7.26656
,1.0,-7.396330073739265,100,0.0033333334,1.0,0.0033333334,49.7471297700176,-8.524153,2,5.4391416e-20,49.7471297700176,-7.396330073739265,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.396330073739265,-7.817728,7.1907763
,1.0,-8.19492987114211,100,0.0025,1.0,0.0025,53.10472520890936,-8.523809,2,5.434597e-20,53.10472520890936,-8.19492987114211,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.19492987114211,-7.912028,7.207673
0.7082119,2.2993035,-7.5311825707892375,100,0.004603343,3.2048305e-08,6.416262e-11,47.12303159197014,-8.10225,1,2.8386858e-06,47.12303159197014,-7.5311825707892375,200.0,290.99694752867214,1.7182311,292.6968025096084,0.0020000003,0.8,500,0.99897116,-7.5311825707892375,-7.3849807,9.011907
,1.0,-7.63327637472307,100,0.01,1.0,0.01,43.9386125130827,-8.83177,2,3.5044917e-18,43.9386125130827,-7.63327637472307,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-7.63327637472307,-7.633277,6.595394
,1.0,-8.36600314796594,100,0.005,1.0,0.005,58.26380415963775,-8.862381,2,2.179301e-19,58.26380415963775,-8.36600314796594,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.36600314796594,-7.9996395,7.1221075
,1.0,-7.483373513794761,100,0.0033333334,1.0,0.0033333334,49.80470995015256,-8.531977,2,5.4391416e-20,49.80470995015256,-7.483373513794761,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.483373513794761,-7.827551,7.093029
,1.0,-7.806672270674269,100,0.0025,1.0,0.0025,47.34911236624406,-8.432382,2,5.434597e-20,47.34911236624406,-7.806672270674269,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-7.806672270674269,-7.822331,7.032232
4.1541796,12.849338,-8.050779861553119,100,0.028106807,1.1201319e-09,2.4501909e-12,47.51497346711219,-7.6878157,1,1.9876812e-05,47.51497346711219,-8.050779861553119,200.0,93.22236719464841,5.3635197,83.90296122545578,0.0019999999,0.8,500,0.91432214,-8.050779861553119,-6.42414,14.029647
,1.0,-8.738063163657971,100,0.01,1.0,0.01,63.113342872084296,-9.928156,2,3.5044917e-18,63.113342872084296,-8.738063163657971,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.738063163657971,-8.738063,7.904568
,1.0,-8.17670925748099,100,0.005,1.0,0.005,46.9989978531852,-9.29947,2,2.179301e-19,46.9989978531852,-8.17670925748099,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.17670925748099,-8.457386,7.3881245
,1.0,-7.084366798496078,100,0.0033333334,1.0,0.0033333334,48.37359340635947,-8.705354,2,5.4391416e-20,48.37359340635947,-7.084366798496078,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.084366798496078,-7.999713,7.2644205
,1.0,-8.19897881735439,100,0.0025,1.0,0.0025,53.27644732110988,-8.660632,2,5.434597e-20,53.27644732110988,-8.19897881735439,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.19897881735439,-8.049529,7.2644486
0.111756794,3.75862,-7.252090056937027,100,0.007551274,0.80431837,0.0016159198,51.294986758653195,-8.355062,1,4.5108405e-07,51.294986758653195,-7.252090056937027,200.0,418.9689894519166,1.1934057,449.4198063866098,0.0020000003,0.8,500,0.995493,-7.252090056937027,-7.757952,7.5098763
