IterType,MinVanillaIw,Bound,BatchSize,ESSClassic,AvgVanillaIw,VanillaAvgRet,J,ESSRenyi,VarDiscRet,AvgNormIw,MaxNormIw,AvgDiscRet,MinNormIw,MaxVanillaIw,EpsThisIter,VarVanillaIw,Delta,eRenyi2,AvgEpLen,AvgRet,VarJ,VarNormIw,VarRet
1,,370.9216,100,1.2158749860630678,5.9744735e-07,125.02885165204749,370.9216,,19627.149800525836,0.01,0.9031981,125.02885165204749,,5.3961332e-05,100,2.929291e-11,1.0,inf,13.51,125.02885165204749,109.37973,0.008206598,19627.149800525836
,18531.79,nan,200,nan,inf,125.02885165204749,nan,5.211323134145472e+23,21752.59145028822,nan,nan,217.8124800645054,nan,inf,100,nan,1.0,3.837797e-22,13.51,125.02885165204749,nan,nan,19627.149800525836
1,,381.22928,200,1.0748171747276904,2.8369663,123.43496274922597,381.22928,,17258.398164304563,0.005000001,0.9643746,123.43496274922597,,547.1796,100,1497.0647,1.0,inf,13.35,123.43496274922597,29.778057,0.0046502044,17258.398164304563
2,1.0,270.9888,200,100.0,1.0,270.9888188562381,270.9888,200.0,30853.950985640855,0.009999998,0.01,270.9888188562381,0.01,1.0,100,,1.0,1.0,28.12,270.9888188562381,174.77245,3.5044917e-18,30853.950985640855
,0.0018275534,nan,300,nan,inf,123.43496274922597,nan,nan,77549.51135058075,nan,nan,295.280598419817,nan,inf,100,nan,1.0,nan,13.35,123.43496274922597,nan,nan,17258.398164304563
1,,379.66287,300,inf,6.38607e-26,78.74896155484876,379.66287,2.155204122543412e-06,4083.8055960288757,0.0033333334,1.0,78.74896155484876,,1.915821e-23,100,,1.0,139197950.0,8.88,78.74896155484876,,0.0033333332,4083.8055960288757
2,1.0,276.5775,300,100.0,1.0,276.5775194653534,276.5775,300.0,21880.439791485656,0.009999998,0.01,276.5775194653534,0.01,1.0,100,,1.0,1.0,28.68,276.5775194653534,147.17892,3.5044917e-18,21880.439791485656
2,1.0,284.52588,300,200.00000010221265,1.0,292.474235219203,284.52588,300.0,23359.147990642676,0.0049999994,0.005,292.474235219203,0.005,1.0,100,,1.0,1.0,30.27,292.474235219203,149.85583,2.179301e-19,23359.147990642676
,5.2196945e+22,nan,400,nan,inf,78.74896155484876,nan,76595583137317.36,24486.75239714713,nan,nan,267.1785506109773,nan,inf,100,nan,1.0,5.2222332e-12,8.88,78.74896155484876,nan,nan,4083.8055960288757
1,,379.66287,400,inf,4.9838826e-33,111.53503641620937,379.66287,1.1691831893560762e-11,14812.214015443751,0.0025,1.0,111.53503641620937,,1.993553e-30,100,,1.0,34211919000000.0,12.16,111.53503641620937,,0.0025000004,14812.214015443751
2,1.0,339.37546,400,100.0,1.0,339.37545539031635,339.37546,400.0,30533.101793381706,0.009999998,0.01,339.37545539031635,0.01,1.0,100,,1.0,1.0,34.96,339.37545539031635,173.86136,3.5044917e-18,30533.101793381706
2,1.0,337.87024,400,200.00000010221265,1.0,336.36507095114814,337.87024,400.0,29528.235542051007,0.0049999994,0.005,336.36507095114814,0.005,1.0,100,,1.0,1.0,34.66,336.36507095114814,172.43152,2.179301e-19,29528.235542051007
2,1.0,344.39975,400,299.999969473632,1.0,357.4586305218501,344.39975,400.0,27175.36006150319,0.0033333336,0.0033333334,357.4586305218501,0.0033333334,1.0,100,,1.0,1.0,36.77,357.4586305218501,169.92613,5.4391416e-20,27175.36006150319
,5.0161695e+29,nan,500,nan,inf,111.53503641620937,nan,nan,18103.137763574243,nan,nan,398.25657529925826,nan,inf,100,nan,1.0,nan,12.16,111.53503641620937,nan,nan,14812.214015443751
1,,769.74506,500,1.0,8.171473e-06,120.63664206514062,769.74506,0.003615002667759,20324.99473574015,0.002,1.0,120.63664206514062,,0.004085737,100,3.33865e-08,1.0,138312.48,13.07,120.63664206514062,1.8300469e-09,0.002,20324.99473574015
2,1.0,640.2919,500,100.0,1.0,640.2918531804687,640.2919,500.0,56254.18954735734,0.009999998,0.01,640.2918531804687,0.01,1.0,100,,1.0,1.0,65.05,640.2918531804687,235.99078,3.5044917e-18,56254.18954735734
2,1.0,662.53735,500,200.00000010221265,1.0,684.7829257775296,662.53735,500.0,47138.14797119913,0.0049999994,0.005,684.7829257775296,0.005,1.0,100,,1.0,1.0,69.5,684.7829257775296,227.3193,2.179301e-19,47138.14797119913
2,1.0,666.1529,500,299.999969473632,1.0,673.3839436490581,666.1529,500.0,60245.942181789214,0.0033333336,0.0033333334,673.3839436490581,0.0033333334,1.0,100,,1.0,1.0,68.36,673.3839436490581,233.1452,5.4391416e-20,60245.942181789214
2,1.0,672.5593,500,400.0,1.0,691.7784891999512,672.5593,500.0,64173.50849726331,0.0024999997,0.0025,691.7784891999512,0.0025,1.0,100,,1.0,1.0,70.2,691.7784891999512,238.27208,5.434597e-20,64173.50849726331
1,,1246.88,500,1.0144170793072511,0.56235373,633.1838949608624,1246.88,,33361.188946612,0.0019999996,0.99285,633.1838949608624,,279.16647,100,155.86911,1.0,inf,64.34,633.1838949608624,87.88494,0.0019715189,33361.188946612
2,1.0,1245.8809,500,100.0,1.0,1245.8807948496365,1245.8809,500.0,246275.75739195492,0.009999998,0.01,1245.8807948496365,0.01,1.0,100,,1.0,1.0,125.61,1245.8807948496365,493.77423,3.5044917e-18,246275.75739195492
2,1.0,1242.2458,500,200.00000010221265,1.0,1238.6111804803472,1242.2458,500.0,116926.65522738424,0.0049999994,0.005,1238.6111804803472,0.005,1.0,100,,1.0,1.0,124.88,1238.6111804803472,424.02643,2.179301e-19,116926.65522738424
2,1.0,1277.7118,500,299.999969473632,1.0,1348.642841156366,1277.7118,500.0,270012.5771185395,0.0033333336,0.0033333334,1348.642841156366,0.0033333334,1.0,100,,1.0,1.0,135.88,1348.642841156366,459.8754,5.4391416e-20,270012.5771185395
2,1.0,1280.1885,500,400.0,1.0,1287.6195236614915,1280.1885,500.0,288458.9921395718,0.0024999997,0.0025,1287.6195236614915,0.0025,1.0,100,,1.0,1.0,129.78,1287.6195236614915,479.6103,5.434597e-20,288458.9921395718
