AvgDiscRet,MinNormIw,ESSClassic,AvgNormIw,VanillaAvgRet,VarRet,eRenyi2,AvgRet,VarNormIw,VarDiscRet,ESSRenyi,AvgEpLen,MinVanillaIw,BatchSize,Bound,VarJ,MaxVanillaIw,VarVanillaIw,Delta,IterType,J,MaxNormIw,EpsThisIter,AvgVanillaIw
-2380.1889555037224,,1.0,0.01,-2380.1889555037224,5627599.829885766,261.17004,-2380.1889555037224,0.0100000035,5627599.829885766,0.3828923045283839,200.0,,100,-0.6388636,,1.5657226e-18,2.4514881e-38,1.0,1,-0.6388636,1.0,100,1.5657227e-20
-7.69252290924665,nan,nan,nan,-2380.1889555037224,5627599.829885766,nan,-2380.1889555037224,nan,43.151926109232754,nan,200.0,6.386827e+17,200,nan,nan,inf,nan,1.0,,nan,nan,100,inf
-2190.7325847792713,,1.0,0.005,-2190.7325847792713,5005563.554638066,159.27359,-2190.7325847792713,0.004999999,5005563.554638066,1.2557009601506166,200.0,,200,-1.2570634,3.543197e-13,111.12155,61.73999,1.0,1,-1.2570634,1.0,100,0.55560774
-8.85476293058349,0.01,100.0,0.009999998,-8.85476293058349,63.19813408632324,1.0,-8.85476293058349,3.5044917e-18,63.19813408632324,200.0,200.0,1.0,200,-8.854763,7.909877,1.0,,1.0,2,-8.854763,0.01,100,1.0
-7.372793826017186,nan,nan,nan,-2190.7325847792713,5005563.554638066,nan,-2190.7325847792713,nan,47.08905425855056,nan,200.0,0.008999154,300,nan,nan,inf,nan,1.0,,nan,nan,100,inf
-2079.6846411374245,,1.0,0.0033333334,-2079.6846411374245,5365248.755356913,3586.5913,-2079.6846411374245,0.003333333,5365248.755356913,0.08364488010696307,200.0,,300,-0.268711,,943.27386,2965.8853,1.0,1,-0.268711,1.0,100,3.144246
-7.511903270623901,0.01,100.0,0.009999998,-7.511903270623901,47.294880335450834,1.0,-7.511903270623901,3.5044917e-18,47.294880335450834,300.0,200.0,1.0,300,-7.511903,6.842655,1.0,,1.0,2,-7.511903,0.01,100,1.0
-8.455121635443454,0.005,200.00000010221265,0.0049999994,-8.455121635443454,50.646650687702284,1.0,-8.455121635443454,2.179301e-19,50.646650687702284,300.0,200.0,1.0,300,-7.983512,6.978787,1.0,,1.0,2,-7.983512,0.005,100,1.0
-8.599193895441221,nan,nan,nan,-2079.6846411374245,5365248.755356913,nan,-2079.6846411374245,nan,52.29341822812248,nan,200.0,0.0010601375,400,nan,nan,inf,nan,1.0,,nan,nan,100,inf
-1899.512343071881,,1.000000635081371,0.0025,-1899.512343071881,4884150.063950222,475.55978,-1899.512343071881,0.0024999985,4884150.063950222,0.8411140166011439,200.0,,400,-0.0625483,9.6137475e-05,0.37541428,0.00035233967,1.0,1,-0.0625483,0.9999997,100,0.000938536
-7.650072288224519,0.01,100.0,0.009999998,-7.650072288224519,51.12427303816099,1.0,-7.650072288224519,3.5044917e-18,51.12427303816099,400.0,200.0,1.0,400,-7.6500716,7.114283,1.0,,1.0,2,-7.6500716,0.01,100,1.0
-6.929335525823335,0.005,200.00000010221265,0.0049999994,-6.929335525823335,49.861382717682986,1.0,-6.929335525823335,2.179301e-19,49.861382717682986,400.0,200.0,1.0,400,-7.289704,7.0793905,1.0,,1.0,2,-7.289704,0.005,100,1.0
-8.774344789096473,0.0033333334,299.999969473632,0.0033333336,-8.774344789096473,57.6827387923878,1.0,-8.774344789096473,5.4391416e-20,57.6827387923878,400.0,200.0,1.0,400,-7.784585,7.275779,1.0,,1.0,2,-7.784585,0.0033333334,100,1.0
-9.50279251149565,nan,nan,nan,-1899.512343071881,4884150.063950222,nan,-1899.512343071881,nan,51.18988241898572,nan,200.0,2.663724,500,nan,nan,inf,nan,1.0,,nan,nan,100,inf
-2449.1623128121273,,inf,0.002,-2449.1623128121273,5795813.801073669,22422.652,-2449.1623128121273,0.0019999999,5795813.801073669,0.022298878488359028,200.0,,500,-0.268711,,3.0019391e-30,,1.0,1,-0.268711,1.0,100,6.003878e-33
-8.736844498915051,0.01,100.0,0.009999998,-8.736844498915051,56.12645405984823,1.0,-8.736844498915051,3.5044917e-18,56.12645405984823,500.0,200.0,1.0,500,-8.736845,7.454206,1.0,,1.0,2,-8.736845,0.01,100,1.0
-8.750345357976267,0.005,200.00000010221265,0.0049999994,-8.750345357976267,59.8569339133916,1.0,-8.750345357976267,2.179301e-19,59.8569339133916,500.0,200.0,1.0,500,-8.743594,7.577059,1.0,,1.0,2,-8.743594,0.005,100,1.0
-7.341464358060359,0.0033333334,299.999969473632,0.0033333336,-7.341464358060359,48.8106957257308,1.0,-7.341464358060359,5.4391416e-20,48.8106957257308,500.0,200.0,1.0,500,-8.276218,7.403983,1.0,,1.0,2,-8.276218,0.0033333334,100,1.0
-7.487070447377474,0.0025,400.0,0.0024999997,-7.487070447377474,48.21808088345869,1.0,-7.487070447377474,5.434597e-20,48.21808088345869,500.0,200.0,1.0,500,-8.078931,7.2914305,1.0,,1.0,2,-8.078931,0.0025,100,1.0
-8.007956059242602,0.00083282194,37.80173711057298,0.002,-8.007956059242602,45.75308944122064,inf,-8.007956059242602,4.9005634e-05,45.75308944122064,,200.0,0.49435323,500,-6.6765018,18.18117,82.28805,17.266981,1.0,1,-6.6765018,0.13862818,100,1.1871762
-7.668032739814699,0.01,100.0,0.009999998,-7.668032739814699,51.76396961707431,1.0,-7.668032739814699,3.5044917e-18,51.76396961707431,500.0,200.0,1.0,500,-7.6680326,7.1586537,1.0,,1.0,2,-7.6680326,0.01,100,1.0
-8.073142728437068,0.005,200.00000010221265,0.0049999994,-8.073142728437068,56.45459845798607,1.0,-8.073142728437068,2.179301e-19,56.45459845798607,500.0,200.0,1.0,500,-7.8705873,7.321831,1.0,,1.0,2,-7.8705873,0.005,100,1.0
-8.05000943483662,0.0033333334,299.999969473632,0.0033333336,-8.05000943483662,55.89998951953075,1.0,-8.05000943483662,5.4391416e-20,55.89998951953075,500.0,200.0,1.0,500,-7.930395,7.3616323,1.0,,1.0,2,-7.930395,0.0033333334,100,1.0
-8.68840314861197,0.0025,400.0,0.0024999997,-8.68840314861197,52.26899058514797,1.0,-8.68840314861197,5.434597e-20,52.26899058514797,500.0,200.0,1.0,500,-8.119896,7.327314,1.0,,1.0,2,-8.119896,0.0025,100,1.0
-8.213426680658303,,4.5164781878828375,0.002,-8.213426680658303,55.06019404508741,141.45984,-8.213426680658303,0.00043970242,55.06019404508741,3.5345721019054417,200.0,,500,-2.2947295,21.991098,180.71503,175.44354,1.0,1,-2.2947295,0.2860915,100,1.2633373
-9.495598918494549,0.01,100.0,0.009999998,-9.495598918494549,60.296004441923564,1.0,-9.495598918494549,3.5044917e-18,60.296004441923564,500.0,200.0,1.0,500,-9.495599,7.726127,1.0,,1.0,2,-9.495599,0.01,100,1.0
-8.34363827459803,0.005,200.00000010221265,0.0049999994,-8.34363827459803,53.548174783766115,1.0,-8.34363827459803,2.179301e-19,53.548174783766115,500.0,200.0,1.0,500,-8.919618,7.5289187,1.0,,1.0,2,-8.919618,0.005,100,1.0
-9.228809132209092,0.0033333334,299.999969473632,0.0033333336,-9.228809132209092,54.01346791930819,1.0,-9.228809132209092,5.4391416e-20,54.01346791930819,500.0,200.0,1.0,500,-9.022683,7.4589167,1.0,,1.0,2,-9.022683,0.0033333334,100,1.0
-8.16603731698753,0.0025,400.0,0.0024999997,-8.16603731698753,52.42989793875018,1.0,-8.16603731698753,5.434597e-20,52.42989793875018,500.0,200.0,1.0,500,-8.80852,7.405442,1.0,,1.0,2,-8.80852,0.0025,100,1.0
-7.95794717241176,,1.0,0.002,-7.95794717241176,58.50638319781064,967.35736,-7.95794717241176,0.0019999999,58.50638319781064,0.5168720684214448,200.0,,500,-0.24663457,6.915036e-16,0.006897621,9.5154334e-08,1.0,1,-0.24663457,1.0,100,1.3795242e-05
-8.12756632495351,0.01,100.0,0.009999998,-8.12756632495351,51.891001178112425,1.0,-8.12756632495351,3.5044917e-18,51.891001178112425,500.0,200.0,1.0,500,-8.127566,7.1674323,1.0,,1.0,2,-8.127566,0.01,100,1.0
-6.759007124540254,0.005,200.00000010221265,0.0049999994,-6.759007124540254,50.618070002167705,1.0,-6.759007124540254,2.179301e-19,50.618070002167705,500.0,200.0,1.0,500,-7.443287,7.1561317,1.0,,1.0,2,-7.443287,0.005,100,1.0
