IterType,MaxVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,MaxNormIw,Bound,Delta,VarNormIw,AvgNormIw,AvgVanillaIw,VanillaAvgRet,VarJ,MinNormIw,VarRet,J,AvgRet,EpsThisIter,ESSRenyi,BatchSize,eRenyi2,ESSClassic,AvgEpLen,MinVanillaIw
1,2.74713,-1385.32358895,130372.419906,0.213652,0.0247491,-1913.07,0.1,1.73407e-05,0.01,1.10999,-1385.32358895,264.9,0.00101757,130372.419906,-1273.39,-1385.32358895,100,84.5782259117,100,1.18234,85.3480174351,500.0,0.11295
1,1.83739,-1272.7808499,83015.4605131,0.130508,0.0178913,-1824.33,0.1,1.23743e-05,0.01,1.02697,-1272.7808499,170.18,0.00137923,83015.4605131,-1203.22,-1272.7808499,100,89.650279175,100,1.11545,89.0863892422,500.0,0.141643
1,1.43458,-1212.92752541,77329.1938867,0.0784679,0.0141541,-1776.66,0.1,7.63848e-06,0.01,1.01354,-1212.92752541,165.307,0.00190874,77329.1938867,-1161.94,-1212.92752541,100,93.2746698791,100,1.0721,92.9695547082,500.0,0.193459
1,1.32781,-1191.36339444,41324.2517408,0.0499003,0.0132469,-1762.19,0.1,4.96658e-06,0.01,1.00236,-1191.36339444,116.58,0.00204667,41324.2517408,-1159.84,-1191.36339444,100,95.7607151076,100,1.04427,95.3135284331,500.0,0.20515
1,1.22118,-1161.52143795,18503.5164306,0.0218551,0.0121914,-1712.83,0.1,2.17821e-06,0.01,1.00168,-1161.52143795,82.0729,0.00378549,18503.5164306,-1148.23,-1161.52143795,100,98.131380768,100,1.01904,97.8890498166,500.0,0.379183
1,1.24416,-1151.73959842,17384.7532502,0.0111973,0.0123225,-1748.15,0.1,1.09839e-06,0.01,1.00967,-1151.73959842,98.5101,0.00652832,17384.7532502,-1145.42,-1151.73959842,100,99.0474517202,100,1.00962,98.9242933721,500.0,0.659143
1,1.34248,-1186.1389128,38850.9934032,0.0561436,0.0137248,-1754.49,0.1,5.86806e-06,0.01,0.978144,-1186.1389128,105.957,0.00115538,38850.9934032,-1154.27,-1186.1389128,100,96.0036512619,100,1.04163,94.509577245,500.0,0.113013
1,1.20573,-1145.51444053,13765.8514353,0.00803819,0.011821,-1728.17,0.1,7.7262e-07,0.01,1.01999,-1145.51444053,76.2998,0.00609778,13765.8514353,-1139.73,-1145.51444053,100,99.1504739328,100,1.00857,99.2409205642,500.0,0.621968
1,1.22372,-1167.72379189,23639.1039327,0.0312052,0.0122977,-1743.68,0.1,3.15142e-06,0.01,0.995085,-1167.72379189,68.8537,0.00277396,23639.1039327,-1148.57,-1167.72379189,100,97.6836970763,100,1.02371,96.9745142804,500.0,0.276033
1,1.05862,-1135.29346658,434.569577648,0.000465324,0.0105759,-1533.6,0.1,4.64417e-08,0.01,1.00098,-1135.29346658,19.4444,0.0092522,434.569577648,-1135.12,-1135.29346658,100,99.957234083,100,1.00043,99.9540211583,500.0,0.926123
1,1.1377,-1145.73615321,6699.58419367,0.00908364,0.0114659,-1644.67,0.1,9.2262e-07,0.01,0.992244,-1145.73615321,67.3198,0.0055961,6699.58419367,-1142.42,-1145.73615321,100,99.4011714932,100,1.00602,99.0949137377,500.0,0.55527
1,1.27298,-1133.68980418,3858.21249462,0.00351447,0.0126554,-1598.74,0.1,3.47351e-07,0.01,1.00588,-1133.68980418,70.407,0.00894075,3858.21249462,-1132.73,-1133.68980418,100,99.7804347224,100,1.0022,99.6572877288,500.0,0.89933
1,2.91641,-1131.17007194,2797.60769372,0.0607477,0.0285014,-1550.5,0.1,5.80185e-06,0.01,1.02325,-1131.17007194,93.3642,0.00792425,2797.60769372,-1124.5,-1131.17007194,100,98.0527627765,100,1.01986,94.5681909373,500.0,0.810849
1,1.06666,-1135.88261701,2235.87845543,0.00110024,0.0106411,-1595.59,0.1,1.09499e-07,0.01,1.00239,-1135.88261701,42.864,0.00863447,2235.87845543,-1135.28,-1135.88261701,100,99.875831003,100,1.00124,99.8916898169,500.0,0.865515
1,1.13981,-1128.38424841,2100.95967719,0.00237305,0.011462,-1486.6,0.1,2.39972e-07,0.01,0.994426,-1128.38424841,51.9404,0.00864793,2100.95967719,-1127.54,-1128.38424841,100,99.7566319141,100,1.00244,99.7630071934,500.0,0.859973
1,2.1742,-1121.74819565,5613.95497834,0.0322792,0.0215923,-1486.93,0.1,3.18364e-06,0.01,1.00693,-1121.74819565,110.39,0.0075436,5613.95497834,-1114.74,-1121.74819565,100,97.9033306194,100,1.02142,96.9444820466,500.0,0.759589
1,4.46252,-1124.79125931,2910.34596896,0.206781,0.042523,-1490.71,0.1,1.87758e-05,0.01,1.04944,-1124.79125931,107.958,0.00708926,2910.34596896,-1112.62,-1124.79125931,100,96.0488407535,100,1.04114,84.3255399176,500.0,0.743973
1,1.13551,-1132.84402642,14295.0276929,0.00237938,0.0112182,-1719.49,0.1,2.32236e-07,0.01,1.0122,-1132.84402642,108.762,0.00768903,14295.0276929,-1130.92,-1132.84402642,100,99.6944730861,100,1.00306,99.7706094959,500.0,0.778285
1,1.96057,-1114.42236248,8887.0761618,0.0382056,0.020024,-1488.3,0.1,3.98534e-06,0.01,0.979108,-1114.42236248,154.041,0.00688256,8887.0761618,-1102.02,-1114.42236248,100,96.30806796,100,1.03833,96.2042448575,500.0,0.673877
1,2.17166,-1122.47598004,26155.3463397,0.0660795,0.0219356,-1699.48,0.1,6.74194e-06,0.01,0.990013,-1122.47598004,198.889,0.00521022,26155.3463397,-1098.38,-1122.47598004,100,95.6506945689,100,1.04547,93.7430835833,500.0,0.515818
1,1.63027,-1123.43267658,14656.0996064,0.0350021,0.0167736,-1634.38,0.1,3.7053e-06,0.01,0.971931,-1123.43267658,138.36,0.00467062,14656.0996064,-1108.97,-1123.43267658,100,97.1123105591,100,1.02974,96.4615716517,500.0,0.453952
