J,AvgNormIw,VarJ,MinNormIw,MaxNormIw,eRenyi2,VanillaAvgRet,VarRet,VarDiscRet,ESSRenyi,AvgEpLen,AvgRet,Delta,AvgDiscRet,ESSClassic,AvgVanillaIw,VarNormIw,Bound,BatchSize,IterType,MinVanillaIw,EpsThisIter,MaxVanillaIw,VarVanillaIw
-149.671,0.01,157.476,8.64211e-09,0.0531198,2.64666,-316.368276557,22064.8357928,22064.8357928,37.783533879,388.84,-316.368276557,0.1,-316.368276557,39.2185434078,1.24052,0.000156547,-353.256,100,1,1.07207e-06,100,6.58961,2.40907
-94.9007,0.01,63.4381,9.08039e-05,0.019878,1.38951,-164.50307731,20667.7971998,20667.7971998,71.9678573733,213.03,-164.50307731,0.1,-164.50307731,71.1638841582,1.02533,4.093e-05,-242.406,100,1,0.00931043,100,2.03816,0.430302
-129.135,0.01,117.579,0.0012529,0.0336413,1.1167,-146.432172856,17409.3766226,17409.3766226,89.549255513,192.45,-146.432172856,0.1,-146.432172856,82.2173079058,1.04454,2.18474e-05,-261.379,100,1,0.130871,100,3.51397,0.238369
-115.722,0.01,112.636,0.00250902,0.0154234,1.07883,-125.37125141,15288.4146185,15288.4146185,92.6928765472,165.23,-125.37125141,0.1,-125.37125141,93.5065750681,0.972642,7.01452e-06,-245.704,100,1,0.244038,100,1.50014,0.0663596
-86.0712,0.01,68.4884,0.00256864,0.012347,1.03731,-92.483707885,6444.25305298,6444.25305298,96.403428992,128.58,-92.483707885,0.1,-92.483707885,95.2826006385,0.970417,5.00095e-06,-213.527,100,1,0.249265,100,1.19817,0.0470944
-95.878,0.01,84.142,0.0026414,0.0125454,1.03551,-100.718938158,9081.72250642,9081.72250642,96.5711217555,137.46,-100.718938158,0.1,-100.718938158,96.8952754191,1.00488,3.2366e-06,-223.223,100,1,0.26543,100,1.26067,0.0326829
-82.3701,0.01,59.2432,0.00246282,0.0129201,1.03889,-87.5863592009,5365.28066283,5365.28066283,96.2570229659,122.36,-87.5863592009,0.1,-87.5863592009,95.7492374816,0.997367,4.48429e-06,-209.922,100,1,0.245634,100,1.28861,0.0446071
-94.9149,0.01,86.3516,0.00365257,0.0131779,1.04313,-101.026337594,10103.2709679,10103.2709679,95.8657410069,137.02,-101.026337594,0.1,-101.026337594,96.2315652921,1.00765,3.95553e-06,-222.726,100,1,0.368052,100,1.32788,0.0401629
-87.8343,0.01,83.0551,0.00933033,0.0109106,1.00146,-88.0185749885,7108.06181748,7108.06181748,99.8544549441,121.68,-88.0185749885,0.1,-88.0185749885,99.9107713762,0.996095,9.02154e-08,-213.068,100,1,0.929389,100,1.08679,0.000895121
-94.5194,0.01,90.962,0.00687011,0.012475,1.01295,-96.1772448277,9162.78650243,9162.78650243,98.7219215156,131.12,-96.1772448277,0.1,-96.1772448277,98.769709822,0.99326,1.25819e-06,-220.47,100,1,0.68238,100,1.23909,0.0124128
-86.1875,0.01,76.5145,0.00826998,0.0117705,1.00204,-86.4464854729,6013.8727531,6013.8727531,99.7968992396,120.03,-86.4464854729,0.1,-86.4464854729,99.7448155958,1.00361,2.58451e-07,-211.456,100,1,0.82998,100,1.18129,0.00260318
-93.5989,0.01,92.8601,0.00784277,0.0123546,1.0109,-94.9643798935,9275.28489839,9275.28489839,98.9215175735,129.43,-94.9643798935,0.1,-94.9643798935,99.0042711274,0.991338,1.01589e-06,-219.422,100,1,0.777484,100,1.22476,0.00998366
-75.5819,0.01,47.4827,0.00771948,0.011019,1.00534,-76.2912455411,2569.2133973,2569.2133973,99.4692040147,108.25,-76.2912455411,0.1,-76.2912455411,99.533020741,0.997605,4.73912e-07,-201.058,100,1,0.770099,100,1.09926,0.00471644
-85.3953,0.01,75.615,0.00836209,0.0119341,1.00386,-85.8628684776,6009.61044199,6009.61044199,99.6152834489,119.26,-85.8628684776,0.1,-85.8628684776,99.5809330727,1.00468,4.25074e-07,-210.779,100,1,0.840121,100,1.19899,0.00429061
-88.8669,0.01,81.8987,0.00778992,0.0109229,1.00353,-89.3762906873,7052.02019368,7052.02019368,99.6485824567,122.97,-89.3762906873,0.1,-89.3762906873,99.78543602,0.994367,2.17203e-07,-214.229,100,1,0.774604,100,1.08613,0.00214763
-85.3767,0.01,75.241,0.00770861,0.0136157,1.00599,-86.136661025,5956.82807214,5956.82807214,99.4046816354,119.91,-86.136661025,0.1,-86.136661025,99.2612883315,0.991756,7.51731e-07,-210.893,100,1,0.764506,100,1.35034,0.00739387
-86.997,0.01,76.6813,0.00831398,0.0136756,1.01503,-88.9910396287,7117.47671322,7117.47671322,98.519600139,122.66,-88.9910396287,0.1,-88.9910396287,98.5186088193,1.012,1.51883e-06,-213.077,100,1,0.841373,100,1.38397,0.0155549
-78.4491,0.01,57.2642,0.00133033,0.0124146,1.04976,-85.1640516491,6022.56787248,6022.56787248,95.260054272,118.16,-85.1640516491,0.1,-85.1640516491,94.5370521133,0.974955,5.83703e-06,-206.667,100,1,0.129701,100,1.21037,0.0554831
-84.2252,0.01,67.2572,0.00281332,0.0178061,1.06901,-92.3085580733,8171.80556383,8171.80556383,93.544795264,126.05,-92.3085580733,0.1,-92.3085580733,91.9558810821,0.961698,8.83612e-06,-213.613,100,1,0.270557,100,1.71241,0.081722
