VanillaAvgRet,MinNormIw,IterType,VarJ,VarRet,Delta,Bound,VarVanillaIw,AvgDiscRet,ESSRenyi,AvgNormIw,EpsThisIter,MaxVanillaIw,VarDiscRet,AvgVanillaIw,MinVanillaIw,MaxNormIw,eRenyi2,J,AvgRet,VarNormIw,BatchSize,AvgEpLen,ESSClassic
144.054315723,7.04461e-08,1,250.585,10506.6411826,0.2,132.16,14.044,144.054315723,30.7417939505,0.01,100,29.6663,10506.6411826,1.4618,1.02978e-05,0.202944,3.2529,292.607,144.054315723,0.000657228,100,15.74,13.3216813944
204.25140976,0.000256342,1,196.393,11968.7092203,0.2,104.354,8.41396,204.25140976,62.5835991526,0.01,100,28.3708,11968.7092203,1.33775,0.0342923,0.212078,1.59786,282.242,204.25140976,0.000470162,100,22.19,17.6846950908
253.214377777,1.66586e-05,1,847.372,10734.5111736,0.2,206.519,111.398,253.214377777,19.9716626742,0.01,100,105.573,10734.5111736,1.92944,0.00321418,0.547171,5.00709,497.501,253.214377777,0.00299235,100,27.41,3.26537925117
293.913282177,8.77528e-08,1,2018.03,32343.6119062,0.2,367.58,150.379,293.913282177,16.2291925219,0.01,100,122.866,32343.6119062,1.75159,1.53707e-05,0.701451,6.16174,1008.67,293.913282177,0.0049014,100,31.84,2.01922896103
403.4634775,5.07832e-06,1,1509.23,53891.2078784,0.2,364.17,50.2086,403.4634775,25.4649088451,0.01,100,69.6313,53891.2078784,1.72256,0.000874772,0.404231,3.92697,842.001,403.4634775,0.00169211,100,43.61,5.63321383968
481.722304134,2.98243e-05,1,1902.34,81796.7723365,0.2,875.495,1250.91,481.722304134,26.7789060339,0.01,100,354.406,81796.7723365,4.37182,0.0130386,0.81066,3.73428,1573.42,481.722304134,0.00654487,100,52.13,1.5198911972
481.722304134,6.01125e-06,,452.132,81796.7723365,0.2,-322.742,95.5083,470.528262164,51.4467869462,0.01,100,76.6952,80438.6591212,4.6939,0.00282162,0.163393,3.88751,454.199,481.722304134,0.000433484,200,52.13,18.8982543593
436.280691855,3.40556e-06,1,2613.58,47864.0736636,0.2,957.364,2877.94,436.280691855,33.6222602028,0.005,100,759.313,47864.0736636,4.66629,0.00317826,0.813616,5.94844,1580.22,436.280691855,0.00330429,200,47.11,1.50931239673
476.858031041,0.01,2,276.449,77195.977951,0.2,169.052,,476.858031041,200.0,0.01,100,1.0,77195.977951,1.0,1.0,0.01,1.0,476.858,476.858031041,3.50449e-18,200,51.59,100.0
436.280691855,5.27892e-07,,618.198,47864.0736636,0.2,-inf,1530.5,492.69093241,nan,0.005,100,314.637,61127.7689361,12.474,0.00131698,0.126118,nan,430.46,436.280691855,0.000245904,300,47.11,18.5409037292
444.364858714,8.23703e-07,1,3358.26,56259.6268714,0.2,985.732,4160.59,444.364858714,38.7001005724,0.00333333,100,1117.77,56259.6268714,4.63398,0.00114511,0.804036,7.75192,1566.29,444.364858714,0.0021528,300,48.01,1.54554667992
526.627977125,0.01,2,474.706,227622.440942,0.2,-402.821,,526.627977125,300.0,0.01,100,1.0,227622.440942,1.0,1.0,0.01,1.0,526.628,526.627977125,3.50449e-18,300,56.9,100.0
552.666030329,0.005,2,433.048,150884.707798,0.2,-117.573,,552.666030329,300.0,0.005,100,1.0,150884.707798,1.0,1.0,0.005,1.0,539.647,552.666030329,2.1793e-19,300,59.77,200.000000102
444.364858714,1.18555e-07,,1579.71,56259.6268714,0.2,-inf,9374.77,590.079160662,nan,0.00333333,100,873.281,366355.079491,25.1542,0.000894642,0.115724,nan,641.872,444.364858714,0.000164626,400,48.01,19.0271345365
445.400254999,1.31833e-08,1,3848.04,53571.940973,0.2,1396.48,4413.71,445.400254999,400.0,0.0025,100,1328.62,53571.940973,4.01091,2.11509e-05,0.828131,1.0,1577.06,445.400254999,0.00171474,400,48.09,1.45628069089
452.111010387,0.01,2,324.286,106223.601729,0.2,-28.0337,,452.111010387,400.0,0.01,100,1.0,106223.601729,1.0,1.0,0.01,1.0,452.111,452.111010387,3.50449e-18,400,48.86,100.0
528.874506662,0.005,2,342.376,127611.76331,0.2,150.979,,528.874506662,400.0,0.005,100,1.0,127611.76331,1.0,1.0,0.005,1.0,490.493,528.874506662,2.1793e-19,400,57.28,200.000000102
483.057196642,0.00333333,2,333.344,99873.7767349,0.2,210.803,,483.057196642,400.0,0.00333333,100,1.0,99873.7767349,1.0,1.0,0.00333333,1.0,488.014,483.057196642,5.43914e-20,400,52.26,299.999969474
445.400254999,6.27039e-09,,3950.77,53571.940973,0.2,-2422.84,6.64054e+06,466.93151715,2.93909029558,0.0025,100,47279.4,93009.7739346,300.085,0.000752659,0.393884,170.121,708.433,445.400254999,0.000460889,500,48.09,5.36496729193
429.512127818,6.38758e-08,1,4696.25,42500.2143267,0.2,1032.86,4398.1,429.512127818,51.6716857911,0.002,100,1483.24,42500.2143267,3.83807,0.00012258,0.772911,9.67648,1535.29,429.512127818,0.00119426,500,46.4,1.67242429522
541.862576077,0.01,2,388.663,152585.007214,0.2,133.558,,541.862576077,500.0,0.01,100,1.0,152585.007214,1.0,1.0,0.01,1.0,541.863,541.862576077,3.50449e-18,500,58.77,100.0
535.115779905,0.005,2,355.313,102437.678538,0.2,249.774,,535.115779905,500.0,0.005,100,1.0,102437.678538,1.0,1.0,0.005,1.0,538.489,535.115779905,2.1793e-19,500,57.89,200.000000102
574.040819597,0.00333333,2,375.36,171058.845404,0.2,248.842,,574.040819597,500.0,0.00333333,100,1.0,171058.845404,1.0,1.0,0.00333333,1.0,550.34,574.040819597,5.43914e-20,500,62.12,299.999969474
566.578042693,0.0025,2,361.325,100341.407351,0.2,293.295,,566.578042693,500.0,0.0025,100,1.0,100341.407351,1.0,1.0,0.0025,1.0,554.399,566.578042693,5.4346e-20,500,61.16,400.0
534.632535686,7.34158e-11,1,2101.65,87789.443406,0.2,492.012,26.9761,534.632535686,110.487711254,0.002,100,107.07,87789.443406,1.29803,4.76478e-08,0.164974,4.52539,988.819,534.632535686,6.4043e-05,500,57.8,29.4486328929
741.097755635,0.01,2,514.834,267731.381268,0.2,-34.3234,,741.097755635,500.0,0.01,100,1.0,267731.381268,1.0,1.0,0.01,1.0,741.098,741.097755635,3.50449e-18,500,80.42,100.0
820.929573316,0.005,2,527.477,291134.030363,0.2,232.708,,820.929573316,500.0,0.005,100,1.0,291134.030363,1.0,1.0,0.005,1.0,781.014,820.929573316,2.1793e-19,500,89.04,200.000000102
1018.15096394,0.00333333,2,642.807,652169.666765,0.2,322.085,,1018.15096394,500.0,0.00333333,100,1.0,652169.666765,1.0,1.0,0.00333333,1.0,860.059,1018.15096394,5.43914e-20,500,110.06,299.999969474
771.945434813,0.0025,2,616.23,276297.426228,0.2,372.131,,771.945434813,500.0,0.0025,100,1.0,276297.426228,1.0,1.0,0.0025,1.0,838.031,771.945434813,5.4346e-20,500,83.48,400.0
