MaxVanillaIw,VarRet,Delta,BatchSize,AvgRet,ESSClassic,MinVanillaIw,AvgVanillaIw,VarJ,AvgNormIw,AvgDiscRet,VarDiscRet,ESSRenyi,MaxNormIw,Bound,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VanillaAvgRet,VarVanillaIw,AvgEpLen,J
6.23964,22510.512621,0.2,100,-317.008742276,32.0504235183,1.11286e-06,1.22108,174.896,0.01,-317.008742276,22510.512621,30.3649729732,0.0510995,-282.91,3.29327,100,9.11375e-09,0.00021415,1,-317.008742276,3.19304,388.34,-131.51
2.4636,20750.8935023,0.2,100,-168.648572365,55.5178390529,0.000267213,0.967627,64.2081,0.01,-168.648572365,20750.8935023,57.5162803569,0.0254602,-199.417,1.73864,100,2.76153e-06,8.09316e-05,1,-168.648572365,0.757764,220.87,-89.4108
1.97474,9113.2928639,0.2,100,-99.4669982083,81.7162901988,0.0885942,0.982185,58.2733,0.01,-99.4669982083,9113.2928639,82.8581337074,0.0201055,-173.811,1.20688,100,0.000902011,2.26006e-05,1,-99.4669982083,0.218026,135.32,-82.1577
1.52957,9157.45985895,0.2,100,-98.6307670482,93.675213742,0.249138,1.00812,83.7191,0.01,-98.6307670482,9157.45985895,93.1664248454,0.0151726,-178.757,1.07335,100,0.00247133,6.82003e-06,1,-98.6307670482,0.0693117,135.2,-92.3233
1.32425,11154.987358,0.2,100,-104.69151168,93.1362335194,0.111877,0.986983,97.3157,0.01,-104.69151168,11154.987358,94.1828139152,0.0134171,-184.472,1.06176,100,0.00113353,7.44405e-06,1,-104.69151168,0.0725151,141.11,-98.5061
1.38715,10358.8651653,0.2,100,-97.0804338862,99.0887435735,0.890712,1.00007,98.2289,0.01,-97.0804338862,10358.8651653,98.9083376704,0.0138705,-179.976,1.01104,100,0.00890647,9.28941e-07,1,-97.0804338862,0.00929076,131.36,-96.0882
1.27109,4919.82359574,0.2,100,-80.5329247645,93.737931571,0.231833,0.96676,51.599,0.01,-80.5329247645,4919.82359574,95.2635268549,0.0131479,-160.616,1.04972,100,0.00239804,6.74792e-06,1,-80.5329247645,0.0630677,112.87,-75.1479
1.16904,2576.02196107,0.2,100,-71.8312315878,98.2223287178,0.588831,0.975882,44.5916,0.01,-71.8312315878,2576.02196107,98.4216138285,0.0119793,-154.568,1.01604,100,0.00603384,1.82814e-06,1,-71.8312315878,0.0174102,102.31,-70.4745
1.11281,2599.54696678,0.2,100,-72.1087172516,99.2998898761,0.77524,1.00959,46.6471,0.01,-72.1087172516,2599.54696678,98.9878319165,0.0110223,-155.086,1.01023,100,0.00767873,7.12211e-07,1,-72.1087172516,0.00725942,102.63,-71.2323
1.34598,7162.52767698,0.2,100,-86.3627662334,98.4491676837,0.71965,1.02489,78.415,0.01,-86.3627662334,7162.52767698,97.7539089698,0.0131329,-168.828,1.02298,100,0.00702171,1.59119e-06,1,-86.3627662334,0.0167139,119.01,-84.4459
1.24499,3793.16624727,0.2,100,-76.8862458456,94.1636323675,0.125447,0.972264,43.6651,0.01,-76.8862458456,3793.16624727,95.5411441783,0.012805,-158.271,1.04667,100,0.00129025,6.26074e-06,1,-76.8862458456,0.0591826,108.56,-72.9186
1.30842,6081.82107383,0.2,100,-82.3088527074,97.0165878818,0.423435,0.998365,69.3176,0.01,-82.3088527074,6081.82107383,97.1386811242,0.0131057,-164.417,1.02946,100,0.00424128,3.10621e-06,1,-82.3088527074,0.0309606,114.24,-79.7688
1.74082,7282.77177767,0.2,100,-83.414494748,98.2995709468,0.627725,1.00705,81.1681,0.01,-83.414494748,7282.77177767,98.3658936647,0.0172863,-166.181,1.01661,100,0.00623331,1.74731e-06,1,-83.414494748,0.0177204,114.47,-82.0625
1.39575,7126.19968978,0.2,100,-87.2406028305,97.1682802,0.558657,0.999559,78.7603,0.01,-87.2406028305,7126.19968978,97.3465359771,0.0139637,-169.482,1.02726,100,0.00558903,2.94371e-06,1,-87.2406028305,0.0294112,121.12,-84.9252
1.30377,2560.53723872,0.2,100,-72.9675541416,99.4647164584,0.936135,1.00907,47.7969,0.01,-72.9675541416,2560.53723872,99.5189317842,0.0129205,-156.181,1.00483,100,0.00927722,5.43619e-07,1,-72.9675541416,0.00553525,103.89,-72.5526
1.51176,4963.2717382,0.2,100,-76.6762710978,99.1349205782,0.87345,1.00242,66.6758,0.01,-76.6762710978,4963.2717382,99.0631838664,0.0150812,-159.708,1.00946,100,0.00871344,8.81449e-07,1,-76.6762710978,0.00885714,107.17,-75.8874
1.26256,4884.10595109,0.2,100,-80.7833547008,99.002751477,0.685515,0.988928,64.8239,0.01,-80.7833547008,4884.10595109,98.8427819658,0.0127669,-163.671,1.01171,100,0.0069319,1.01746e-06,1,-80.7833547008,0.00995049,112.55,-79.7575
2.14886,8225.25312679,0.2,100,-90.2282838947,92.7637411392,0.289589,0.992924,77.6841,0.01,-90.2282838947,8225.25312679,95.139644282,0.0216417,-171.203,1.05109,100,0.00291653,7.87953e-06,1,-90.2282838947,0.0776841,123.39,-85.6698
1.26149,6092.88276298,0.2,100,-82.0058856265,98.6270213766,0.538631,0.999683,71.6642,0.01,-82.0058856265,6092.88276298,98.2337475215,0.0126189,-164.413,1.01798,100,0.00538802,1.40618e-06,1,-82.0058856265,0.0140529,113.9,-80.2381
1.33248,2534.76108991,0.2,100,-74.5410325794,96.8777665995,0.345961,0.976586,37.2385,0.01,-74.5410325794,2534.76108991,97.5112147787,0.0136442,-156.984,1.02552,100,0.00354255,3.2554e-06,1,-74.5410325794,0.0310474,107.04,-72.4974
1.3403,4921.58054921,0.2,100,-79.0646763279,94.8205029266,0.417418,0.983053,50.2995,0.01,-79.0646763279,4921.58054921,94.6087841521,0.013634,-160.027,1.05698,100,0.00424614,5.5176e-06,1,-79.0646763279,0.0533218,110.66,-74.2541
