eRenyi2,IterType,AvgDiscRet,VarDiscRet,AvgRet,EpsThisIter,ESSRenyi,MinNormIw,J,ESSClassic,Bound,VarJ,MaxNormIw,VarNormIw,Delta,AvgNormIw,AvgEpLen,VarRet,AvgVanillaIw,VarVanillaIw,VanillaAvgRet,BatchSize,MaxVanillaIw,MinVanillaIw
1.71692,1,-1425.44948405,133464.220469,-1425.44948405,100,58.2437747451,9.93953e-06,-1201.99,59.7395737425,-1602.24,173.712,0.0276084,6.8074e-05,0.3,0.01,500.0,133464.220469,1.12357,0.859369,-1425.44948405,100,3.10199,0.00111677
1.23992,1,-1252.84699176,81958.8866831,-1252.84699176,100,80.6504795414,0.00039673,-1157.58,74.4565189494,-1494.33,108.045,0.0220803,3.46531e-05,0.3,0.01,500.0,81958.8866831,0.848362,0.249405,-1252.84699176,100,1.87321,0.0336571
1.01891,1,-1146.86536166,20755.4732488,-1146.86536166,100,98.1436884189,0.00441662,-1139.51,97.9397416932,-1447.06,96.9128,0.0135567,2.12488e-06,0.3,0.01,500.0,20755.4732488,0.996729,0.02111,-1146.86536166,100,1.35124,0.440217
1.01272,1,-1135.61063271,3683.96203754,-1135.61063271,100,98.7435476451,0.00558818,-1132.29,98.4711162867,-1353.86,52.7917,0.011928,1.56834e-06,0.3,0.01,500.0,3683.96203754,0.991642,0.0154224,-1135.61063271,100,1.18283,0.554147
1.01106,1,-1140.47274805,10346.8305762,-1140.47274805,100,98.9057954029,0.00560464,-1136.38,99.0272392961,-1429.95,68.2888,0.0130712,9.92253e-07,0.3,0.01,500.0,10346.8305762,1.0118,0.010158,-1140.47274805,100,1.32254,0.567075
1.02945,1,-1154.95189387,16865.1438704,-1154.95189387,100,97.1392660495,0.00225121,-1141.76,95.9933599422,-1449.25,55.4404,0.0129877,4.21604e-06,0.3,0.01,500.0,16865.1438704,0.981588,0.0406222,-1154.95189387,100,1.27486,0.220976
1.49626,1,-1122.19316414,7369.37230869,-1122.19316414,100,66.8332650018,0.00145352,-1063.57,53.7539151669,-1300.43,398.631,0.0691654,8.69019e-05,0.3,0.01,500.0,7369.37230869,1.05633,0.96968,-1122.19316414,100,7.30614,0.15354
1.06776,1,-1125.67231486,16597.6862026,-1125.67231486,100,93.6540368294,0.00454261,-1110.28,89.6396177202,-1419.43,191.285,0.0309846,1.16746e-05,0.3,0.01,500.0,16597.6862026,0.990903,0.114632,-1125.67231486,100,3.07027,0.450129
1.01705,1,-1136.37966303,20288.9352291,-1136.37966303,100,98.3238798595,0.00504984,-1130.35,97.7652873215,-1436.97,110.013,0.0128199,2.30889e-06,0.3,0.01,500.0,20288.9352291,0.973605,0.0218862,-1136.37966303,100,1.24816,0.491655
2.50988,1,-1111.15966444,10236.0571051,-1111.15966444,100,39.8424844558,0.00015452,-876.796,4.43613747378,-1229.99,1239.42,0.468925,0.00217597,0.3,0.01,500.0,10236.0571051,1.56334,53.1816,-1111.15966444,100,73.309,0.0241567
1.06429,1,-1144.69281799,32935.0540289,-1144.69281799,100,93.9589386187,0.00291061,-1123.55,94.5117524696,-1432.64,152.311,0.0146385,5.86561e-06,0.3,0.01,500.0,32935.0540289,1.01606,0.0605551,-1144.69281799,100,1.48735,0.295735
1.19412,1,-1107.44347997,19976.8245108,-1107.44347997,100,83.7434732394,0.00209171,-1069.17,71.7935087367,-1396.24,308.055,0.0592573,3.96852e-05,0.3,0.01,500.0,19976.8245108,1.02853,0.419823,-1107.44347997,100,6.09481,0.215139
1.34162,1,-1100.82400723,44498.8339306,-1100.82400723,100,74.5367955659,0.00125291,-1022.71,69.260005121,-1369.64,376.286,0.0420661,4.48318e-05,0.3,0.01,500.0,44498.8339306,0.951827,0.406165,-1100.82400723,100,4.00396,0.119256
1.65862,1,-1068.40428308,40865.4990742,-1068.40428308,100,60.291081031,9.47483e-05,-937.366,52.0522659292,-1322.92,370.297,0.0461303,9.3045e-05,0.3,0.01,500.0,40865.4990742,0.964827,0.866147,-1068.40428308,100,4.45077,0.00914157
1.39423,1,-1049.19919631,91772.8169538,-1049.19919631,100,71.7242016152,0.000156266,-949.886,64.0735337395,-1303.35,353.06,0.0328773,5.6637e-05,0.3,0.01,500.0,91772.8169538,0.98307,0.547355,-1049.19919631,100,3.23206,0.015362
1.5744,1,-984.485684824,78882.0615278,-984.485684824,100,63.5161179776,6.31739e-05,-830.967,57.2012316861,-1206.58,278.177,0.0361253,7.55772e-05,0.3,0.01,500.0,78882.0615278,0.887194,0.594878,-984.485684824,100,3.20501,0.00560475
1.39955,1,-765.105661077,39051.7913502,-765.105661077,100,71.4517712503,5.161e-05,-675.755,69.5054001696,-901.324,146.675,0.0274876,4.43169e-05,0.3,0.01,500.0,39051.7913502,1.05834,0.49639,-765.105661077,100,2.90913,0.00546211
1.39037,1,-809.112957404,149820.224633,-809.112957404,100,71.9233744056,0.000451498,-661.066,71.0417976468,-1014.74,160.798,0.0271145,4.11739e-05,0.3,0.01,500.0,149820.224633,1.03087,0.437551,-809.112957404,100,2.79515,0.0465435
1.11197,1,-682.190291421,70116.3354529,-682.190291421,100,89.9304590334,0.0023778,-649.714,90.6632188082,-965.563,185.493,0.0175948,1.04023e-05,0.3,0.01,500.0,70116.3354529,1.058,0.11644,-682.190291421,100,1.86153,0.251571
1.1336,1,-631.166213018,11359.8265635,-631.166213018,100,88.2142968312,0.000603729,-603.886,87.3419146189,-786.041,80.7638,0.0175321,1.4639e-05,0.3,0.01,500.0,11359.8265635,1.01561,0.150995,-631.166213018,100,1.78057,0.0613152
1.17217,1,-619.208801485,11882.0602169,-619.208801485,100,85.3118630423,0.000852371,-586.476,81.8220795991,-747.245,68.7515,0.0196174,2.24408e-05,0.3,0.01,500.0,11882.0602169,1.0088,0.228374,-619.208801485,100,1.979,0.0859869
1.08964,1,-588.968912343,8832.45702594,-588.968912343,100,91.7733074779,0.00232119,-571.775,88.642605163,-757.064,72.4785,0.0235697,1.2942e-05,0.3,0.01,500.0,8832.45702594,0.973905,0.122753,-588.968912343,100,2.29547,0.226062
1.04235,1,-589.345577947,23090.9488256,-589.345577947,100,95.9372468578,0.00211954,-571.648,93.9411709051,-877.398,69.0747,0.0132317,6.51477e-06,0.3,0.01,500.0,23090.9488256,0.977073,0.0621946,-589.345577947,100,1.29284,0.207094
