VarRet,AvgEpLen,VarNormIw,AvgNormIw,ESSClassic,BatchSize,AvgDiscRet,VarJ,MaxNormIw,MaxVanillaIw,AvgRet,VarDiscRet,VanillaAvgRet,ESSRenyi,MinNormIw,MinVanillaIw,J,Delta,eRenyi2,VarVanillaIw,IterType,Bound,EpsThisIter,AvgVanillaIw
1143.02971371,41.84,0.000357236,0.01,22.0427887244,100,12.782170309,106.907,0.0454104,891.5,12.782170309,1143.02971371,12.782170309,97.3802795777,7.84e-06,0.153915,53.9408,0.3,1.0269,137685.0,1,38.4911,100,196.321
1143.02971371,41.84,4.27761e-05,0.01,70.2502043941,200,-8.87564159554,28.4649,0.0178825,6.49708,12.782170309,679.906233659,12.782170309,194.846941377,3.08738e-06,0.00112171,-7.27021,0.3,1.02645,5.64649,,-16.3791,100,3.6332
311.075074302,40.9,0.000202891,0.005,22.0384449302,200,5.89990652114,151.204,0.0454149,4633.25,5.89990652114,311.075074302,5.89990652114,192.753760557,2.82348e-06,0.288053,53.9482,0.3,1.03759,2.11172e+06,1,42.9669,100,510.102
222.308464146,32.66,3.50449e-18,0.01,100.0,200,7.96653676137,14.8353,0.01,1.0,7.96653676137,222.308464146,7.96653676137,200.0,0.01,1.0,7.96654,0.3,1.0,,2,1.66257,100,1.0
311.075074302,40.9,5.45405e-06,0.005,164.329085973,300,-6.94891960075,28.448,0.00900567,3.47158,5.89990652114,1187.59514922,5.89990652114,289.387080638,5.5989e-07,0.000215831,0.674047,0.3,1.03667,0.810479,,-7.95093,100,1.92744
194.233691214,35.0,0.00014054,0.00333333,22.0483569871,300,-2.60332772835,185.145,0.0454047,7651.17,-2.60332772835,194.233691214,-2.60332772835,288.096547248,2.31666e-06,0.390381,53.9345,0.3,1.04132,3.99075e+06,1,44.9522,100,561.702
2539.55777331,57.66,3.50449e-18,0.01,100.0,300,23.149208445,50.1414,0.01,1.0,23.149208445,2539.55777331,23.149208445,300.0,0.01,1.0,23.1492,0.3,1.0,,2,6.20525,100,1.0
1452.76343792,42.86,2.1793e-19,0.005,200.000000102,300,-8.76388979836,47.2315,0.005,1.0,-8.76388979836,1452.76343792,-8.76388979836,300.0,0.005,1.0,7.19266,0.3,1.0,,2,-4.91823,100,1.0
194.233691214,35.0,1.70834e-06,0.00333333,260.137295169,400,-2.75168067737,47.7799,0.00572606,2.5616,-2.60332772835,1068.18476399,-2.60332772835,384.521870388,2.92157e-07,0.000130699,5.0821,0.3,1.04025,0.341891,,-5.00346,100,1.4912
13500.3840096,77.28,0.000202224,0.0025,12.0210588615,400,-37.6666234118,0.455433,0.0832603,27466.1,-37.6666234118,13500.3840096,-37.6666234118,377.135841111,5.32815e-07,0.175766,92.1309,0.3,1.06063,2.20065e+07,1,67.0171,100,824.706
862.920752145,53.44,3.50449e-18,0.01,100.0,400,11.5760679723,29.2283,0.01,1.0,11.5760679723,862.920752145,11.5760679723,400.0,0.01,1.0,11.5761,0.3,1.0,,2,1.57293,100,1.0
338.951894398,43.08,2.1793e-19,0.005,200.000000102,400,-11.2045142081,26.9196,0.005,1.0,-11.2045142081,338.951894398,-11.2045142081,400.0,0.005,1.0,0.185777,0.3,1.0,,2,-6.88751,100,1.0
4483.29792947,87.98,5.43914e-20,0.00333333,299.999969474,400,18.2296048378,45.1104,0.00333333,1.0,18.2296048378,4483.29792947,18.2296048378,400.0,0.00333333,1.0,6.20039,0.3,1.0,,2,-12.7414,100,1.0
13500.3840096,77.28,2.06597e-06,0.0025,300.813011519,500,-13.2853311388,47.7734,0.00968165,5.68937,-37.6666234118,2192.97783919,-37.6666234118,472.163987756,6.19566e-08,3.64085e-05,4.82377,0.3,1.05895,0.713436,,-12.0569,100,1.46911
818.961250912,48.64,0.000162386,0.002,12.0437649542,500,19.683039508,1.09092,0.0831818,17416.4,19.683039508,818.961250912,19.683039508,474.815275265,1.40599e-06,0.294383,92.0418,0.3,1.05304,7.11879e+06,1,69.6598,100,418.754
370.699735827,36.5,3.50449e-18,0.01,100.0,500,17.7113380195,19.1571,0.01,1.0,17.7113380195,370.699735827,17.7113380195,500.0,0.01,1.0,17.7113,0.3,1.0,,2,10.4745,100,1.0
644.92399617,42.68,2.1793e-19,0.005,200.000000102,500,10.1169005579,22.741,0.005,1.0,10.1169005579,644.92399617,10.1169005579,500.0,0.005,1.0,13.9141,0.3,1.0,,2,8.16027,100,1.0
875.583556901,54.44,5.43914e-20,0.00333333,299.999969474,500,-9.94062740425,27.5711,0.00333333,1.0,-9.94062740425,875.583556901,-9.94062740425,500.0,0.00333333,1.0,5.96254,0.3,1.0,,2,0.875055,100,1.0
440.890417966,37.22,5.4346e-20,0.0025,400.0,500,2.15794749217,26.1143,0.0025,1.0,2.15794749217,440.890417966,2.15794749217,500.0,0.0025,1.0,5.01139,0.3,1.0,,2,0.605502,100,1.0
1102.05519686,59.66,0.000162968,0.002,12.0017750714,500,-15.4671504428,0.0212672,0.0833272,422380.0,-15.4671504428,1102.05519686,-15.4671504428,458.784021691,3.7369e-08,0.189421,53.2671,0.3,1.08984,4.18731e+09,1,46.5873,100,10137.9
488.741293999,44.5,3.50449e-18,0.01,100.0,500,3.82926772641,21.9967,0.01,1.0,3.82926772641,488.741293999,3.82926772641,500.0,0.01,1.0,3.82927,0.3,1.0,,2,-4.37951,100,1.0
185.432018468,60.76,2.1793e-19,0.005,200.000000102,500,-1.6504632851,18.4722,0.005,1.0,-1.6504632851,185.432018468,-1.6504632851,500.0,0.005,1.0,1.0894,0.3,1.0,,2,-4.71508,100,1.0
3407.2266017,46.76,5.43914e-20,0.00333333,299.999969474,500,-29.823511098,39.5503,0.00333333,1.0,-29.823511098,3407.2266017,-29.823511098,500.0,0.00333333,1.0,-9.2149,0.3,1.0,,2,-25.1223,100,1.0
2797.65628852,51.84,5.4346e-20,0.0025,400.0,500,7.20330103452,43.7736,0.0025,1.0,7.20330103452,2797.65628852,7.20330103452,500.0,0.0025,1.0,-5.11035,0.3,1.0,,2,-18.8865,100,1.0
903.559090925,40.46,0.000162918,0.002,12.0053354002,500,-17.7734129234,0.221482,0.0833148,127628.0,-17.7734129234,903.559090925,-17.7734129234,460.026798951,1.00081e-07,0.153313,147.002,0.3,1.08689,3.82313e+08,1,134.156,100,3063.76
351.049570618,38.26,3.50449e-18,0.01,100.0,500,0.640728402507,18.6424,0.01,1.0,0.640728402507,351.049570618,0.640728402507,500.0,0.01,1.0,0.640728,0.3,1.0,,2,-6.90929,100,1.0
2429.53759406,56.58,2.1793e-19,0.005,200.000000102,500,-22.1413050817,38.8091,0.005,1.0,-22.1413050817,2429.53759406,-22.1413050817,500.0,0.005,1.0,-10.7503,0.3,1.0,,2,-26.9452,100,1.0
1210.49077372,55.68,5.43914e-20,0.00333333,299.999969474,500,6.46672504085,38.3332,0.00333333,1.0,6.46672504085,1210.49077372,6.46672504085,500.0,0.00333333,1.0,-5.01128,0.3,1.0,,2,-18.2344,100,1.0
5604.94902777,64.78,5.4346e-20,0.0025,400.0,500,14.7511960208,50.6214,0.0025,1.0,14.7511960208,5604.94902777,14.7511960208,500.0,0.0025,1.0,-0.0706644,0.3,1.0,,2,-11.5222,100,1.0
142.073085492,32.94,0.000196279,0.002,10.0056877669,500,-5.27469350298,0.221884,0.0999716,140112.0,-5.27469350298,142.073085492,-5.27469350298,459.526675814,4.41011e-08,0.0618087,121.382,0.3,1.08808,3.85544e+08,1,110.698,100,2803.05
