ESSRenyi,VarRet,VarNormIw,MinNormIw,MinVanillaIw,AvgRet,AvgVanillaIw,MaxVanillaIw,AvgNormIw,BatchSize,VarDiscRet,EpsThisIter,AvgEpLen,eRenyi2,VarVanillaIw,Bound,IterType,Delta,J,MaxNormIw,VarJ,ESSClassic,AvgDiscRet,VanillaAvgRet
26.1139754432,9329.5350167,0.00413798,6.18343e-05,0.018845,142.343569244,3.04766,195.956,0.01,100,9329.5350167,100,15.55,3.82937,384.343,210.351,1,0.3,374.235,0.642974,444.163,2.38288431036,142.343569244,142.343569244
37.4650755495,9329.5350167,0.000358614,1.1422e-05,0.00510318,142.343569244,4.46784,53.0646,0.01,200,12008.0632812,100,15.55,5.3383,71.5851,-19.5327,,0.3,177.616,0.11877,179.921,21.976661563,208.467741439,142.343569244
38.9312304691,12865.403359,0.00168754,7.773e-06,0.00437755,156.248265933,2.81587,326.698,0.005,200,12865.403359,100,17.04,5.13726,535.228,206.243,1,0.3,357.308,0.580101,695.743,2.93409521157,156.248265933,156.248265933
200.0,11840.3864009,3.50449e-18,0.01,1.0,214.5120843,1.0,1.0,0.01,200,11840.3864009,100,23.29,1.0,,117.95,2,0.3,214.512,0.01,108.268,100.0,214.5120843,214.5120843
52.2870530671,13765.4660164,9.8192e-05,7.87578e-10,1.90727e-07,214.621476862,1.21085,16.3057,0.005,200,13765.4660164,100,23.31,3.82504,5.75858,211.693,1,0.3,345.232,0.0673316,251.916,40.7494592113,214.621476862,214.621476862
200.0,11956.5438964,3.50449e-18,0.01,1.0,283.955801996,1.0,1.0,0.01,200,11956.5438964,100,30.7,1.0,,174.398,2,0.3,283.956,0.01,108.798,100.0,283.955801996,283.955801996
21.8582866451,22667.9612079,0.00274695,2.61254e-08,1.67445e-05,335.073666053,3.20464,475.177,0.005,200,22667.9612079,100,36.21,9.14985,1128.41,445.233,1,0.3,728.665,0.74139,1482.79,1.81276636486,335.073666053,335.073666053
200.0,25065.3592376,3.50449e-18,0.01,1.0,326.517331544,1.0,1.0,0.01,200,25065.3592376,100,35.3,1.0,,170.795,2,0.3,326.517,0.01,157.527,100.0,326.517331544,326.517331544
nan,22667.9612079,0.00257815,2.46511e-08,0.00210448,335.073666053,426.852,59721.2,0.005,300,26636.0910396,100,36.21,nan,1.87898e+07,-inf,,0.3,278.177,0.699555,55.0091,1.9303124178,336.665818822,335.073666053
13.4643001691,25430.8465958,0.00199366,3.67765e-10,3.18498e-07,325.513831808,2.88678,669.624,0.00333333,300,25430.8465958,100,35.17,22.2811,1495.28,586.57,1,0.3,1172.29,0.773206,3191.99,1.66823208946,325.513831808,325.513831808
300.0,37180.4160449,3.50449e-18,0.01,1.0,411.836237674,1.0,1.0,0.01,300,37180.4160449,100,44.46,1.0,,186.762,2,0.3,411.836,0.01,191.856,100.0,411.836237674,411.836237674
300.0,33271.4690837,2.1793e-19,0.005,1.0,395.520156037,1.0,1.0,0.005,300,33271.4690837,100,42.74,1.0,,244.526,2,0.3,403.678,0.005,186.923,200.000000102,395.520156037,395.520156037
nan,25430.8465958,0.000743374,1.54865e-10,0.00149338,325.513831808,32143.5,3.13974e+06,0.00333333,400,29908.9109953,100,35.17,nan,6.91253e+10,-inf,,0.3,314.834,0.325596,101.304,4.4325830863,400.66255822,325.513831808
15.3409822008,10193.3523718,0.00141584,1.71221e-10,1.84533e-07,307.569751273,2.69438,810.736,0.0025,400,10193.3523718,100,33.24,26.0739,1644.57,602.326,1,0.3,1151.05,0.752247,3899.07,1.76236663041,307.569751273,307.569751273
400.0,79692.3651929,3.50449e-18,0.01,1.0,430.757827719,1.0,1.0,0.01,400,79692.3651929,100,46.53,1.0,,14.2629,2,0.3,430.758,0.01,280.883,100.0,430.757827719,430.757827719
400.0,65190.9339594,2.1793e-19,0.005,1.0,440.20852121,1.0,1.0,0.005,400,65190.9339594,100,47.52,1.0,,140.977,2,0.3,435.483,0.005,267.842,200.000000102,440.20852121,440.20852121
400.0,48246.7621044,5.43914e-20,0.00333333,1.0,415.236617543,1.0,1.0,0.00333333,400,48246.7621044,100,44.82,1.0,,188.271,2,0.3,428.734,0.00333333,252.664,299.999969474,415.236617543,415.236617543
nan,10193.3523718,0.000587614,9.75506e-11,0.00123345,307.569751273,31610.4,5.41908e+06,0.0025,500,45072.4319444,100,33.24,nan,9.39449e+10,-inf,,0.3,487.95,0.428583,1689.76,4.22015644143,431.791600194,307.569751273
23.5081763515,20166.700285,0.000484698,4.2012e-12,5.14919e-09,301.373969702,2.45129,435.807,0.002,500,20166.700285,100,32.57,21.2692,728.118,538.048,1,0.3,981.323,0.355573,3492.88,4.10064260247,301.373969702,301.373969702
500.0,37254.3792549,3.50449e-18,0.01,1.0,390.534569076,1.0,1.0,0.01,500,37254.3792549,100,42.19,1.0,,164.6,2,0.3,390.535,0.01,192.046,100.0,390.534569076,390.534569076
500.0,66010.7264535,2.1793e-19,0.005,1.0,427.502074681,1.0,1.0,0.005,500,66010.7264535,100,46.19,1.0,,222.377,2,0.3,409.018,0.005,226.843,200.000000102,427.502074681,427.502074681
500.0,224146.06188,5.43914e-20,0.00333333,1.0,480.683119622,1.0,1.0,0.00333333,500,224146.06188,100,51.91,1.0,,27.9165,2,0.3,432.907,0.00333333,330.779,299.999969474,480.683119622,480.683119622
500.0,38470.8688472,5.4346e-20,0.0025,1.0,384.736499946,1.0,1.0,0.0025,500,38470.8688472,100,41.55,1.0,,70.1324,2,0.3,420.864,0.0025,303.344,400.0,384.736499946,384.736499946
