Delta,AvgDiscRet,Bound,VarRet,VarJ,MaxVanillaIw,eRenyi2,VarDiscRet,MaxNormIw,VarNormIw,AvgRet,AvgNormIw,AvgVanillaIw,J,EpsThisIter,VanillaAvgRet,IterType,ESSClassic,AvgEpLen,VarVanillaIw,ESSRenyi,MinNormIw,MinVanillaIw,BatchSize
0.3,-124.317717803,-196.583,4143.16953978,39.8906,1.96262,1.06513,4143.16953978,0.0185046,6.61695e-06,-124.317717803,0.01,1.06061,-117.833,100,-124.317717803,1,93.8519763018,45.33,0.0744337,93.8848230425,0.00218572,0.23182,100
0.3,-128.763159652,-199.361,5401.03646803,38.3848,2.14179,1.1186,5401.03646803,0.020833,1.38195e-05,-128.763159652,0.01,1.02808,-118.703,100,-128.763159652,1,87.9652140917,42.95,0.146064,89.3970791611,0.00168807,0.173547,100
0.3,-113.04607461,-151.561,355.26817565,11.6743,1.42785,1.04264,355.26817565,0.0142769,4.23616e-06,-113.04607461,0.01,1.00011,-111.157,100,-113.04607461,1,95.9750131375,22.29,0.0423713,95.9105375494,0.00448372,0.448423,100
0.3,-111.629841777,-155.136,389.023522588,15.5261,1.28006,1.01518,389.023522588,0.0127853,1.37016e-06,-111.629841777,0.01,1.0012,-110.918,100,-111.629841777,1,98.6617081513,24.25,0.0137345,98.5046647761,0.00739372,0.740258,100
0.3,-112.719026378,-185.191,1399.26632574,30.7758,1.36714,1.01181,1399.26632574,0.0135815,1.23692e-06,-112.719026378,0.01,1.00662,-111.802,100,-112.719026378,1,98.7902681064,22.79,0.0125335,98.8325340001,0.00796746,0.802021,100
0.3,-110.643530134,-167.619,736.907094962,18.7061,1.30503,1.01457,736.907094962,0.0129181,1.21766e-06,-110.643530134,0.01,1.01024,-109.703,100,-110.643530134,1,98.808870955,23.07,0.0124272,98.5642133735,0.00680118,0.68708,100
0.3,-109.252551523,-131.027,40.8543432195,5.55722,1.48827,1.01848,40.8543432195,0.0147447,2.19847e-06,-109.252551523,0.01,1.00936,-108.832,100,-109.252551523,1,97.8698793789,17.52,0.0223984,98.1853070041,0.00650743,0.656836,100
0.3,-108.655056655,-128.246,15.0912550867,3.60496,1.21009,1.00625,15.0912550867,0.0119681,9.21959e-07,-108.655056655,0.01,1.0111,-108.532,100,-108.655056655,1,99.095508078,16.83,0.00942535,99.3792092865,0.00793929,0.802739,100
0.3,-111.479592211,-185.589,1467.58849316,29.2122,1.20587,1.01251,1467.58849316,0.0120022,1.48697e-06,-111.479592211,0.01,1.00471,-110.486,100,-111.479592211,1,98.5492974453,22.33,0.0150101,98.7644622996,0.00623175,0.62611,100
0.3,-109.488937546,-155.1,395.464201614,16.3613,1.15522,1.00781,395.464201614,0.0118029,6.97171e-07,-109.488937546,0.01,0.97876,-109.12,100,-109.488937546,1,99.3145360434,18.37,0.0066787,99.2254399941,0.00800687,0.78368,100
