VarRet,VarNormIw,VarVanillaIw,AvgVanillaIw,VanillaAvgRet,MaxVanillaIw,MaxNormIw,Delta,VarDiscRet,AvgEpLen,AvgNormIw,EpsThisIter,IterType,VarJ,Bound,MinNormIw,AvgRet,ESSRenyi,BatchSize,MinVanillaIw,ESSClassic,J,eRenyi2,AvgDiscRet
22064.8357928,0.000254583,5.02198,1.4045,-316.368276557,8.85564,0.0630517,0.3,22064.8357928,388.84,0.01,100,1,125.042,-241.934,1.56358e-14,-316.368276557,24.0639547626,100,2.19605e-12,28.4061084219,-112.042,4.15559,-316.368276557
14525.6189025,4.24898e-05,0.437889,1.01517,-130.593430541,2.00723,0.0197723,0.3,14525.6189025,175.87,0.01,100,1,66.9732,-159.723,4.11433e-06,-130.593430541,73.0163098849,100,0.000417675,70.3903624166,-85.1538,1.36956,-130.593430541
2769.19080819,1.28973e-05,0.125263,0.985513,-82.8962024239,1.49764,0.0151966,0.3,2769.19080819,117.37,0.01,100,1,38.8181,-142.911,0.00224124,-82.8962024239,90.3914826965,100,0.220877,88.6773835328,-75.8903,1.1063,-82.8962024239
4923.00943155,1.96476e-05,0.185579,0.971873,-85.7042186458,1.62972,0.0167688,0.3,4923.00943155,119.65,0.01,100,1,47.3317,-145.62,0.000863205,-85.7042186458,86.5341638691,100,0.0838925,83.7162752347,-77.1225,1.15561,-85.7042186458
10251.9381571,1.04981e-05,0.112582,1.03557,-100.377635762,3.27616,0.0316364,0.3,10251.9381571,135.81,0.01,100,1,91.1943,-161.864,0.00675641,-100.377635762,94.5309876442,100,0.699672,90.5853463988,-96.3239,1.05785,-100.377635762
8123.72653427,1.82082e-05,0.203697,1.05769,-93.475210408,1.66926,0.0157821,0.3,8123.72653427,127.82,0.01,100,1,60.1243,-151.206,5.07268e-05,-93.475210408,83.729998909,100,0.00536532,84.7269913115,-81.5729,1.19432,-93.475210408
4923.5485494,1.07565e-06,0.0108513,1.0044,-80.0184297796,1.31615,0.0131039,0.3,4923.5485494,111.31,0.01,100,1,68.7432,-143.422,0.00790714,-80.0184297796,99.0940310333,100,0.794191,98.9463433035,-79.4121,1.00914,-80.0184297796
3734.99252838,1.23976e-06,0.012543,1.00585,-76.1447618003,1.46735,0.0145882,0.3,3734.99252838,107.71,0.01,100,1,57.1717,-139.532,0.00726075,-76.1447618003,99.0144713774,100,0.73032,98.7875591628,-75.4989,1.00995,-76.1447618003
7175.6829508,9.3031e-06,0.0998943,1.03623,-86.7255137986,3.00505,0.0289998,0.3,7175.6829508,118.87,0.01,100,1,77.7369,-149.234,0.00821445,-86.7255137986,96.1575640932,100,0.851207,91.5666952775,-84.2539,1.03996,-86.7255137986
4909.33666581,1.52369e-05,0.139169,0.955701,-80.3620434156,1.50856,0.0157849,0.3,4909.33666581,112.26,0.01,100,1,37.3487,-140.183,0.00159734,-80.3620434156,87.8855031699,100,0.152658,86.8926238308,-72.2145,1.13784,-80.3620434156
