VarRet,VarVanillaIw,MinVanillaIw,AvgVanillaIw,VarJ,eRenyi2,MaxVanillaIw,BatchSize,VanillaAvgRet,EpsThisIter,ESSClassic,VarDiscRet,MaxNormIw,AvgEpLen,ESSRenyi,AvgNormIw,Bound,MinNormIw,IterType,Delta,AvgDiscRet,J,VarNormIw,AvgRet
22510.512621,4.27764,7.89008e-08,1.2795,169.675,3.92588,7.41225,100,-317.008742276,100,27.8802016551,22510.512621,0.0579308,388.34,25.4719994714,0.01,-245.605,6.16654e-10,1,0.3,-317.008742276,-119.353,0.00026129,-317.008742276
17987.2325419,0.697804,0.000657905,1.00545,73.3265,1.73119,2.83533,100,-141.14207686,100,59.4050454776,17987.2325419,0.0281996,185.22,57.7635807739,0.01,-168.717,6.5434e-06,1,0.3,-141.14207686,-84.8786,6.90261e-05,-141.14207686
8141.80664406,0.0716646,0.328757,1.03852,79.7483,1.07421,1.44745,100,-94.174411017,100,93.8277626183,8141.80664406,0.0139376,128.46,93.0916838907,0.01,-154.185,0.00316563,1,0.3,-94.174411017,-88.1436,6.64469e-06,-94.174411017
7102.49752921,0.0882241,0.266344,1.01243,72.6714,1.08149,1.5326,100,-90.1421138248,100,92.148014219,7102.49752921,0.0151378,123.75,92.4651134285,0.01,-151.135,0.00263074,1,0.3,-90.1421138248,-84.8708,8.60712e-06,-90.1421138248
3775.30184597,0.01108,0.713648,0.990734,58.0059,1.01332,1.3486,100,-75.8776809309,100,98.8948017481,3775.30184597,0.0136121,106.33,98.6851637351,0.01,-139.12,0.00720322,1,0.3,-75.8776809309,-74.9782,1.12882e-06,-75.8776809309
8149.49075402,0.0295973,0.837562,1.00263,80.6372,1.03353,1.70722,100,-92.0225668806,100,97.1678008602,8149.49075402,0.0170274,126.59,96.7559575919,0.01,-154.321,0.00835365,1,0.3,-92.0225668806,-89.5424,2.94422e-06,-92.0225668806
7141.98538017,0.0114089,0.678028,1.00483,82.6651,1.01136,1.29139,100,-87.2644645827,100,98.8937219209,7141.98538017,0.0128518,120.66,98.8771631053,0.01,-150.61,0.00674772,1,0.3,-87.2644645827,-86.5313,1.12996e-06,-87.2644645827
2590.43425254,0.00738804,0.90304,1.00845,48.2255,1.00777,1.24292,100,-73.5225055373,100,99.2859118966,2590.43425254,0.0123251,104.42,99.2292194439,0.01,-136.976,0.00895476,1,0.3,-73.5225055373,-73.0108,7.26481e-07,-73.5225055373
3716.30306288,0.0432232,0.467237,1.02131,47.0859,1.05192,1.34264,100,-77.3345478104,100,96.0592675677,3716.30306288,0.0131463,109.36,95.0639243823,0.01,-139.412,0.00457488,1,0.3,-77.3345478104,-74.0598,4.14384e-06,-77.3345478104
6059.43855245,0.0582098,0.640012,1.02268,60.6917,1.06409,1.9817,100,-83.0497744173,100,94.7777259668,6059.43855245,0.0193776,115.24,93.977348933,0.01,-144.411,0.00625821,1,0.3,-83.0497744173,-78.6812,5.56571e-06,-83.0497744173
6030.72080636,0.143169,0.0112828,0.968223,45.4187,1.14652,1.54437,100,-83.4648269705,100,86.8663369283,6030.72080636,0.0159505,116.31,87.2203209866,0.01,-143.167,0.000116531,1,0.3,-83.4648269705,-74.9399,1.52721e-05,-83.4648269705
6076.88607317,0.00782886,0.881533,0.99621,74.4905,1.01076,1.31722,100,-82.9238007917,100,99.2251270313,6076.88607317,0.0132223,115.52,98.9352143972,0.01,-146.27,0.00884887,1,0.3,-82.9238007917,-82.208,7.88855e-07,-82.9238007917
4976.26076475,0.0383085,0.771892,1.01546,63.144,1.03002,2.00185,100,-77.5912009735,100,96.4525018413,4976.26076475,0.0197138,108.07,97.0855610393,0.01,-140.186,0.00760143,1,0.3,-77.5912009735,-75.5176,3.71513e-06,-77.5912009735
4990.69578311,0.103521,0.0784594,1.02868,45.2847,1.0942,1.62512,100,-77.8907141902,100,91.1700165964,4990.69578311,0.0157981,109.09,91.3906307861,0.01,-137.533,0.000762721,1,0.3,-77.8907141902,-70.8801,9.78299e-06,-77.8907141902
3792.85594204,0.0659746,0.2455,0.977144,47.9833,1.05164,1.41752,100,-75.5250147057,100,93.5973504951,3792.85594204,0.0145068,106.58,95.0898946991,0.01,-137.14,0.00251242,1,0.3,-75.5250147057,-71.7974,6.9097e-06,-75.5250147057
2589.94353228,0.0063683,0.769501,0.990732,47.5859,1.0079,1.23558,100,-71.2304698491,100,99.3618166756,2589.94353228,0.0124714,101.25,99.2163446726,0.01,-134.69,0.007767,1,0.3,-71.2304698491,-70.7226,6.488e-07,-71.2304698491
2596.60438726,0.0167545,0.878368,1.01737,45.29,1.0111,1.53918,100,-70.4730824772,100,98.4227222811,2596.60438726,0.0151291,100.61,98.9022854228,0.01,-133.807,0.00863374,1,0.3,-70.4730824772,-69.7352,1.61874e-06,-70.4730824772
3787.19080515,0.0144029,0.878733,1.01482,57.1541,1.01126,1.72345,100,-74.7863716723,100,98.6343578338,3787.19080515,0.0169827,105.53,98.886802504,0.01,-138.089,0.00865897,1,0.3,-74.7863716723,-74.017,1.39852e-06,-74.7863716723
2590.93045913,0.00497963,0.922479,0.999431,47.093,1.0072,1.21262,100,-68.7610797061,100,99.5088638642,2590.93045913,0.0121331,97.18,99.285487462,0.01,-132.201,0.00923005,1,0.3,-68.7610797061,-68.2534,4.9853e-07,-68.7610797061
2580.58923888,0.0238497,0.3096,1.01522,38.452,1.0278,1.23296,100,-70.2722573812,100,97.7604284134,2580.58923888,0.0121448,99.99,97.2953211626,0.01,-132.247,0.00304958,1,0.3,-70.2722573812,-67.6518,2.314e-06,-70.2722573812
