MinVanillaIw,Delta,VarDiscRet,MaxVanillaIw,MinNormIw,IterType,ESSClassic,J,AvgNormIw,VanillaAvgRet,AvgRet,MaxNormIw,Bound,AvgDiscRet,AvgEpLen,eRenyi2,AvgVanillaIw,ESSRenyi,BatchSize,VarJ,VarNormIw,VarVanillaIw,VarRet,EpsThisIter
4.37467e-05,0.4,6442.25079311,129.585,2.60378e-07,1,1.6756626761,366.307,0.01,129.039102473,129.039102473,0.771283,225.612,129.039102473,14.13,7.58707,1.68012,13.1803227833,100,397.66,0.00592706,167.309,6442.25079311,100
0.000442839,0.4,8439.5099399,143.638,2.12837e-06,1,2.07534070263,450.661,0.01,232.56253946,232.56253946,0.690353,298.48,232.56253946,25.2,5.72355,2.08065,17.4716847173,100,483.859,0.00476615,206.331,8439.5099399,100
0.00696194,0.4,14626.2248249,2258.16,8.86262e-07,,7.42280268487,298.644,0.01,232.56253946,232.56253946,0.287466,-inf,288.778502619,25.2,nan,78.5539,nan,200,224.558,0.0012598,77738.6,8439.5099399,100
9.77905e-05,0.4,10581.8957789,17.0706,4.85526e-07,1,39.5981773606,325.905,0.005,247.679518979,247.679518979,0.0847548,225.049,247.679518979,26.84,3.167,1.00706,63.1512889217,200,268.379,0.000101777,4.12876,10581.8957789,100
1.0,0.4,16061.2116426,1.0,0.01,2,100.0,267.441,0.01,267.441481562,267.441481562,0.01,175.959,267.441481562,28.95,1.0,1.0,200.0,200,126.098,3.50449e-18,,16061.2116426,100
2.36035e-07,0.4,17296.5839833,422.063,4.43692e-10,1,1.5857474531,666.021,0.005,288.662794593,288.662794593,0.793383,428.303,288.662794593,31.21,11.4596,2.6599,17.4526372502,200,919.261,0.00314381,889.704,17296.5839833,100
1.0,0.4,17382.6823288,1.0,0.01,2,100.0,335.127,0.01,335.127034746,335.127034746,0.01,240.562,335.127034746,36.18,1.0,1.0,200.0,200,131.183,3.50449e-18,,17382.6823288,100
0.00236931,0.4,13549.4018872,4.23666e+06,5.27116e-10,,1.12361606852,318.37,0.005,288.662794593,288.662794593,0.942556,-inf,354.040708153,31.21,nan,22474.3,nan,300,66.9725,0.00444715,8.98494e+10,17296.5839833,100
1.51729e-06,0.4,12576.9517798,304.235,2.51734e-09,1,3.77599371999,491.367,0.00333333,286.882610212,286.882610212,0.504758,338.978,286.882610212,31.02,7.06381,2.00911,42.4700049906,300,825.302,0.000874574,317.722,12576.9517798,100
1.0,0.4,8057.7532077,1.0,0.01,2,100.0,344.906,0.01,344.905807501,344.905807501,0.01,265.277,344.905807501,37.22,1.0,1.0,300.0,300,89.315,3.50449e-18,,8057.7532077,100
1.0,0.4,15463.6790718,1.0,0.005,2,200.000000102,357.715,0.005,370.524222929,370.524222929,0.005,291.102,370.524222929,40.0,1.0,1.0,300.0,300,108.661,2.1793e-19,,15463.6790718,100
2.8129e-07,0.4,13853.7274806,74.356,7.76864e-10,1,17.1704938373,494.526,0.00333333,367.433024298,367.433024298,0.205355,348.99,367.433024298,39.63,6.49025,1.20695,46.2231835334,300,645.088,0.000183633,24.0752,13853.7274806,100
1.0,0.4,19481.5701799,1.0,0.01,2,100.0,426.175,0.01,426.174763876,426.174763876,0.01,319.503,426.174763876,45.95,1.0,1.0,300.0,300,138.877,3.50449e-18,,19481.5701799,100
1.0,0.4,14793.2836218,1.0,0.005,2,200.000000102,428.863,0.005,431.552003615,431.552003615,0.005,350.69,431.552003615,46.55,1.0,1.0,300.0,300,130.282,2.1793e-19,,14793.2836218,100
1.48231e-05,0.4,25320.8387492,722.363,1.50344e-08,1,1.85753078274,998.674,0.00333333,425.071215421,425.071215421,0.732661,689.688,425.071215421,45.84,13.4354,3.28648,22.3291184957,300,2484.3,0.00178935,1739.4,25320.8387492,100
1.0,0.4,39385.238178,1.0,0.01,2,100.0,495.16,0.01,495.159605235,495.159605235,0.01,354.039,495.159605235,53.39,1.0,1.0,300.0,300,197.462,3.50449e-18,,39385.238178,100
1.0,0.4,29365.8696776,1.0,0.005,2,200.000000102,485.572,0.005,475.984500987,475.984500987,0.005,385.785,475.984500987,51.35,1.0,1.0,300.0,300,184.726,2.1793e-19,,29365.8696776,100
0.00138435,0.4,67448.3713781,67462.4,1.03733e-08,,3.33447431074,374.837,0.00333333,425.071215421,425.071215421,0.505513,-1623.27,515.404705317,45.84,260.655,444.844,1.53459500634,400,501.545,0.000991854,1.76647e+07,25320.8387492,100
3.39796e-06,0.4,17328.8849041,993.229,2.56963e-09,1,1.76842024009,1010.1,0.0025,436.035436615,436.035436615,0.751107,709.928,436.035436615,47.03,16.9069,3.30588,23.6589842401,400,2763.06,0.00141097,2467.24,17328.8849041,100
1.0,0.4,35392.9002969,1.0,0.01,2,100.0,480.164,0.01,480.16408127,480.16408127,0.01,337.64,480.16408127,51.82,1.0,1.0,400.0,400,187.187,3.50449e-18,,35392.9002969,100
1.0,0.4,26625.4284745,1.0,0.005,2,200.000000102,481.466,0.005,482.767935723,482.767935723,0.005,373.111,482.767935723,52.08,1.0,1.0,400.0,400,175.216,2.1793e-19,,26625.4284745,100
1.0,0.4,39851.80184,1.0,0.00333333,2,299.999969474,478.728,0.00333333,473.251007412,473.251007412,0.00333333,380.443,473.251007412,51.09,1.0,1.0,400.0,400,183.394,5.43914e-20,,39851.80184,100
0.00100682,0.4,20661.5796979,294294.0,2.41161e-09,,1.97489064257,404.511,0.0025,436.035436615,436.035436615,0.704919,-485.133,469.648178673,47.03,109.245,1043.72,4.57686871114,500,191.774,0.0012628,2.201e+08,17328.8849041,100
2.78338e-06,0.4,13340.5497808,1481.28,1.42758e-09,1,1.72640116344,1021.99,0.002,456.531292988,456.531292988,0.75974,692.35,456.531292988,49.23,25.4854,3.89944,19.6190854101,500,2933.4,0.00115679,4397.44,13340.5497808,100
1.0,0.4,44491.3085145,1.0,0.01,2,100.0,478.482,0.01,478.481735508,478.481735508,0.01,269.679,478.481735508,51.62,1.0,1.0,500.0,500,209.872,3.50449e-18,,44491.3085145,100
1.0,0.4,39822.8125059,1.0,0.005,2,200.000000102,484.664,0.005,490.846135157,490.846135157,0.005,337.018,490.846135157,52.98,1.0,1.0,500.0,500,204.386,2.1793e-19,,39822.8125059,100
1.0,0.4,35559.6731974,1.0,0.00333333,2,299.999969474,480.671,0.00333333,472.684827664,472.684827664,0.00333333,360.119,472.684827664,51.0,1.0,1.0,500.0,500,199.037,5.43914e-20,,35559.6731974,100
1.0,0.4,50593.9436187,1.0,0.0025,2,400.0,487.197,0.0025,506.774461089,506.774461089,0.0025,382.796,506.774461089,54.69,1.0,1.0,500.0,500,205.819,5.4346e-20,,50593.9436187,100
1.05928e-06,0.4,34366.7395016,1063.28,6.71905e-10,1,2.1901202799,1027.08,0.002,503.658705355,503.658705355,0.67444,660.642,503.658705355,54.36,15.399,3.15308,32.4696968365,500,3344.24,0.000911014,2264.3,34366.7395016,100
1.0,0.4,74851.1805436,1.0,0.01,2,100.0,597.686,0.01,597.685759761,597.685759761,0.01,400.234,597.685759761,64.6,1.0,1.0,500.0,500,272.218,3.50449e-18,,74851.1805436,100
1.0,0.4,115594.448399,1.0,0.005,2,200.000000102,596.431,0.005,595.176823582,595.176823582,0.005,323.403,595.176823582,64.23,1.0,1.0,500.0,500,307.038,2.1793e-19,,115594.448399,100
1.0,0.4,64678.9581477,1.0,0.00333333,2,299.999969474,598.144,0.00333333,601.56809842,601.56809842,0.00333333,375.217,601.56809842,64.99,1.0,1.0,500.0,500,290.169,5.43914e-20,,64678.9581477,100
1.0,0.4,73949.3685595,1.0,0.0025,2,400.0,608.944,0.0025,641.34421348,641.34421348,0.0025,415.883,641.34421348,69.29,1.0,1.0,500.0,500,286.009,5.4346e-20,,73949.3685595,100
2.75009e-07,0.4,55906.8815045,2058.66,1.08599e-10,1,1.51169602046,2723.35,0.002,556.40854363,556.40854363,0.812954,1845.59,556.40854363,60.07,25.8391,5.06465,19.3505535426,500,7859.24,0.00132166,8475.37,55906.8815045,100
1.0,0.4,253496.524631,1.0,0.01,2,100.0,846.711,0.01,846.71129664,846.71129664,0.01,440.749,846.71129664,91.8,1.0,1.0,500.0,500,500.961,3.50449e-18,,253496.524631,100
1.0,0.4,208315.837385,1.0,0.005,2,200.000000102,809.391,0.005,772.071837933,772.071837933,0.005,522.333,772.071837933,83.71,1.0,1.0,500.0,500,479.573,2.1793e-19,,208315.837385,100
1.0,0.4,257066.517056,1.0,0.00333333,2,299.999969474,821.456,0.00333333,845.585715159,845.585715159,0.00333333,576.354,845.585715159,91.44,1.0,1.0,500.0,500,488.313,5.43914e-20,,257066.517056,100
1.0,0.4,460343.358323,1.0,0.0025,2,400.0,841.855,0.0025,903.052667834,903.052667834,0.0025,561.146,903.052667834,97.67,1.0,1.0,500.0,500,542.237,5.4346e-20,,460343.358323,100
3.28547e-21,0.4,198031.867335,111.805,8.43107e-24,1,8.05392807627,2754.75,0.002,834.17206524,834.17206524,0.28691,1671.33,834.17206524,90.38,18.6204,0.779373,26.8522042974,500,12335.9,0.000244816,37.1766,198031.867335,100
1.0,0.4,1094134.18937,1.0,0.01,2,100.0,1857.46,0.01,1857.45503842,1857.45503842,0.01,1285.39,1857.45503842,202.19,1.0,1.0,500.0,500,1040.77,3.50449e-18,,1094134.18937,100
1.0,0.4,1458547.25704,1.0,0.005,2,200.000000102,1914.3,0.005,1971.14786769,1971.14786769,0.005,1509.68,1971.14786769,214.5,1.0,1.0,500.0,500,1125.53,2.1793e-19,,1458547.25704,100
1.0,0.4,1151271.77819,1.0,0.00333333,2,299.999969474,1929.53,0.00333333,1959.98312345,1959.98312345,0.00333333,1599.15,1959.98312345,212.74,1.0,1.0,500.0,500,1106.76,5.43914e-20,,1151271.77819,100
1.0,0.4,1308429.92932,1.0,0.0025,2,400.0,1896.51,0.0025,1797.47400904,1797.47400904,0.0025,1610.06,1797.47400904,195.61,1.0,1.0,500.0,500,1116.15,5.4346e-20,,1308429.92932,100
1.44893e-16,0.4,1554310.1274,110.477,1.789e-19,1,24.9490615532,4042.16,0.002,2120.07223834,2120.07223834,0.136408,3083.32,2120.07223834,229.87,14.0054,1.61981,35.7005940611,500,2863.04,7.6316e-05,50.0593,1554310.1274,100
1.0,0.4,1333918.69656,1.0,0.01,2,100.0,3654.09,0.01,3654.08852899,3654.08852899,0.01,3081.0,3654.08852899,395.58,1.0,1.0,500.0,500,1149.16,3.50449e-18,,1333918.69656,100
1.0,0.4,1418747.98227,1.0,0.005,2,200.000000102,3657.08,0.005,3660.06852598,3660.06852598,0.005,3251.78,3660.06852598,395.9,1.0,1.0,500.0,500,1167.3,2.1793e-19,,1418747.98227,100
1.0,0.4,1512572.38415,1.0,0.00333333,2,299.999969474,3691.53,0.00333333,3760.42609563,3760.42609563,0.00333333,3360.6,3760.42609563,406.34,1.0,1.0,500.0,500,1187.4,5.43914e-20,,1512572.38415,100
1.0,0.4,1471674.67668,1.0,0.0025,2,400.0,3672.88,0.0025,3616.93582236,3616.93582236,0.0025,3386.29,3616.93582236,391.12,1.0,1.0,500.0,500,1192.78,5.4346e-20,,1471674.67668,100
1.42055e-05,0.4,1161652.40846,15.5655,2.88805e-08,1,122.277068374,4444.36,0.002,3690.83856734,3690.83856734,0.0316454,3984.94,3690.83856734,400.73,3.21226,0.983744,155.653640012,500,612.924,1.23811e-05,2.99545,1161652.40846,100
1.0,0.4,403366.414456,1.0,0.01,2,100.0,4413.22,0.01,4413.22138095,4413.22138095,0.01,3840.08,4413.22138095,475.91,1.0,1.0,500.0,500,631.928,3.50449e-18,,403366.414456,100
1.0,0.4,244922.846133,1.0,0.005,2,200.000000102,4444.43,0.005,4475.62853109,4475.62853109,0.005,4039.13,4475.62853109,482.94,1.0,1.0,500.0,500,567.342,2.1793e-19,,244922.846133,100
1.0,0.4,503632.216187,1.0,0.00333333,2,299.999969474,4400.83,0.00333333,4313.65256397,4313.65256397,0.00333333,4069.91,4313.65256397,465.83,1.0,1.0,500.0,500,620.148,5.43914e-20,,503632.216187,100
1.0,0.4,279315.047959,1.0,0.0025,2,400.0,4415.16,0.0025,4458.15187337,4458.15187337,0.0025,4128.58,4458.15187337,480.7,1.0,1.0,500.0,500,598.485,5.4346e-20,,279315.047959,100
0.0195108,0.4,498523.904381,3.79769,3.85391e-05,1,335.044338227,4567.78,0.002,4388.19107486,4388.19107486,0.00750149,4258.06,4388.19107486,472.36,1.45988,1.01252,342.494827837,500,259.449,1.97331e-06,0.505754,498523.904381,100
1.0,0.4,237558.601339,1.0,0.01,2,100.0,4517.31,0.01,4517.30781896,4517.30781896,0.01,3944.21,4517.30781896,486.94,1.0,1.0,500.0,500,484.957,3.50449e-18,,237558.601339,100
1.0,0.4,86455.2996597,1.0,0.005,2,200.000000102,4542.91,0.005,4568.50631832,4568.50631832,0.005,4137.66,4568.50631832,492.52,1.0,1.0,500.0,500,401.301,2.1793e-19,,86455.2996597,100
1.0,0.4,107501.693562,1.0,0.00333333,2,299.999969474,4545.99,0.00333333,4552.15646322,4552.15646322,0.00333333,4215.09,4552.15646322,490.95,1.0,1.0,500.0,500,377.963,5.43914e-20,,107501.693562,100
1.0,0.4,138157.54926,1.0,0.0025,2,400.0,4547.04,0.0025,4550.20557046,4550.20557046,0.0025,4260.46,4550.20557046,489.87,1.0,1.0,500.0,500,375.951,5.4346e-20,,138157.54926,100
0.111498,0.4,73444.4622073,2.17358,0.000227992,1,425.200835791,4609.13,0.002,4589.89219889,4589.89219889,0.00444454,4332.86,4589.89219889,494.58,1.16162,0.97809,430.4347661,500,171.813,7.0507e-07,0.168628,73444.4622073,100
1.0,0.4,91264.9811855,1.0,0.01,2,100.0,4582.37,0.01,4582.36771874,4582.36771874,0.01,4009.25,4582.36771874,493.75,1.0,1.0,500.0,500,300.587,3.50449e-18,,91264.9811855,100
1.0,0.4,115801.904832,1.0,0.005,2,200.000000102,4582.67,0.005,4582.96362328,4582.96362328,0.005,4177.38,4582.96362328,493.45,1.0,1.0,500.0,500,320.153,2.1793e-19,,115801.904832,100
1.0,0.4,127665.333348,1.0,0.00333333,2,299.999969474,4573.59,0.00333333,4555.43658708,4555.43658708,0.00333333,4242.67,4555.43658708,490.45,1.0,1.0,500.0,500,332.606,5.43914e-20,,127665.333348,100
1.0,0.4,32337.9040846,1.0,0.0025,2,400.0,4586.05,0.0025,4623.43034116,4623.43034116,0.0025,4299.46,4623.43034116,497.41,1.0,1.0,500.0,500,302.389,5.4346e-20,,32337.9040846,100
