VarDiscRet,VarNormIw,BatchSize,ESSClassic,VarVanillaIw,MinVanillaIw,VarJ,J,IterType,MinNormIw,AvgDiscRet,MaxVanillaIw,VarRet,eRenyi2,ESSRenyi,Bound,MaxNormIw,AvgRet,VanillaAvgRet,AvgVanillaIw,EpsThisIter,AvgNormIw,Delta,AvgEpLen
22396.0299037,0.000412664,100,19.6642345454,4.65554,1.08039e-17,116.586,-96.8804,1,1.01717e-19,-313.050702843,8.57303,22396.0299037,5.18813,19.2747661875,-213.248,0.0807138,-313.050702843,-313.050702843,1.06215,100,0.01,0.4,385.49
7067.2652433,2.97329e-05,100,77.2585295229,0.348221,0.0288462,37.5482,-73.758,1,0.00026655,-95.0718744294,1.89554,7067.2652433,1.33335,74.9991260571,-132.751,0.0175156,-95.0718744294,-95.0718744294,1.0822,100,0.01,0.4,131.29
8963.61770214,4.57055e-05,100,68.8475655701,0.505815,0.00019811,50.2853,-82.657,1,1.88319e-06,-100.274739652,2.30173,8963.61770214,1.55765,64.199093992,-146.419,0.0218798,-100.274739652,-100.274739652,1.05199,100,0.01,0.4,137.21
7085.6243525,2.1943e-05,100,82.1533634429,0.210366,0.0382931,59.54,-79.7904,1,0.000391094,-89.4747428609,1.99698,7085.6243525,1.22461,81.6589068098,-136.326,0.0203955,-89.4747428609,-89.4747428609,0.979128,100,0.01,0.4,123.2
7124.89883328,6.95081e-06,100,93.5617221081,0.0774632,0.299494,74.1851,-82.8071,1,0.00283699,-87.7515212187,1.40951,7124.89883328,1.07826,92.7423636268,-135.858,0.0133517,-87.7515212187,-87.7515212187,1.05567,100,0.01,0.4,121.25
5992.81009217,1.80002e-05,100,84.8750957528,0.18862,0.326949,53.0305,-79.0146,1,0.00319392,-85.585700756,2.72221,5992.81009217,1.14021,87.703103229,-133.564,0.0265929,-85.585700756,-85.585700756,1.02366,100,0.01,0.4,118.87
1370.79315064,5.86244e-07,100,99.422971982,0.00591331,0.868903,34.0715,-67.5865,1,0.00865157,-68.0191384101,1.29691,1370.79315064,1.00812,99.1947807556,-118.876,0.0129132,-68.0191384101,-68.0191384101,1.00433,100,0.01,0.4,97.79
4902.83774705,6.48046e-06,100,93.9711664863,0.0657276,0.121042,59.9042,-77.0877,1,0.00120189,-80.4182162,1.36554,4902.83774705,1.05408,94.8698128334,-129.54,0.0135592,-80.4182162,-80.4182162,1.0071,100,0.01,0.4,112.65
4903.12141271,8.2501e-06,100,92.4491342909,0.0834415,0.205882,46.6359,-75.8174,1,0.00204719,-81.4461228889,1.4052,4903.12141271,1.08645,92.0427623292,-129.069,0.0139726,-81.4461228889,-81.4461228889,1.00568,100,0.01,0.4,113.37
3759.73890926,1.82902e-06,100,98.2214814121,0.0179494,0.61662,58.5722,-74.2441,1,0.00622446,-75.1781674993,1.32741,3759.73890926,1.0185,98.183410828,-125.803,0.0133995,-75.1781674993,-75.1781674993,0.990641,100,0.01,0.4,106.0
6061.78033826,5.5699e-06,100,94.7739929677,0.0549353,0.314152,68.6575,-78.8751,1,0.00316328,-81.679721452,1.80436,6061.78033826,1.05327,94.9422793233,-131.307,0.0181686,-81.679721452,-81.679721452,0.993121,100,0.01,0.4,114.15
6001.29135719,4.16899e-06,100,96.0363016944,0.0405911,0.496056,70.5678,-81.9836,1,0.00502725,-84.144752491,1.52003,6001.29135719,1.04482,95.7103249671,-134.205,0.0154047,-84.144752491,-84.144752491,0.986733,100,0.01,0.4,117.18
9371.31348247,2.56159e-05,100,79.7704481667,0.282664,0.0471883,66.8743,-78.4737,1,0.000449214,-91.8975416946,2.1035,9371.31348247,1.29896,76.9848642281,-136.701,0.0200245,-91.8975416946,-91.8975416946,1.05046,100,0.01,0.4,125.51
9215.64109472,2.56758e-05,100,79.7326817173,0.282376,0.0708423,71.4826,-85.2596,1,0.000675524,-95.5414938238,1.99702,9215.64109472,1.26405,79.1107569345,-142.699,0.0190428,-95.5414938238,-95.5414938238,1.0487,100,0.01,0.4,130.47
4878.25524279,3.2632e-07,100,99.678030514,0.0032099,0.939742,67.5024,-81.2308,1,0.00947511,-81.5927934289,1.22763,4878.25524279,1.0065,99.3539735689,-132.486,0.0123778,-81.5927934289,-81.5927934289,0.991801,100,0.01,0.4,113.53
7119.63128928,1.17179e-05,100,89.6051771888,0.120803,0.0437236,72.158,-82.5622,1,0.000430627,-87.7340343903,1.49359,7119.63128928,1.1106,90.0412455189,-136.407,0.0147101,-87.7340343903,-87.7340343903,1.01535,100,0.01,0.4,121.77
10336.8205303,4.34767e-05,100,69.909558298,0.397372,0.0537897,61.895,-80.1604,1,0.000562638,-96.8213649763,2.19393,10336.8205303,1.40578,71.1347252387,-140.735,0.0229484,-96.8213649763,-96.8213649763,0.956027,100,0.01,0.4,131.44
7140.12486061,7.62238e-06,100,92.983334667,0.0744657,0.246168,73.6611,-83.5839,1,0.00249058,-86.651691113,1.82845,7140.12486061,1.0677,93.6594951485,-136.374,0.0184991,-86.651691113,-86.651691113,0.9884,100,0.01,0.4,119.62
3762.42835232,8.06939e-06,100,92.6022739097,0.0852639,0.875176,54.7072,-74.269,1,0.00851399,-75.7776382577,3.41998,3762.42835232,1.02865,97.2152537154,-126.084,0.0332707,-75.7776382577,-75.7776382577,1.02793,100,0.01,0.4,107.13
4869.79769377,8.35217e-06,100,92.3628457595,0.0882568,0.281214,45.8859,-76.6423,1,0.00273566,-81.7480154002,1.67723,4869.79769377,1.09232,91.5486567998,-130.037,0.0163162,-81.7480154002,-81.7480154002,1.02796,100,0.01,0.4,114.31
7124.51531098,2.10881e-06,100,97.9549995838,0.0204482,0.78837,77.1539,-86.0498,1,0.00800611,-87.7971529622,1.66206,7124.51531098,1.03157,96.9397099046,-137.934,0.0168787,-87.7971529622,-87.7971529622,0.98471,100,0.01,0.4,120.88
7144.07955177,0.000449994,100,18.3319997476,7.62055,0.137828,58.9237,-76.4105,1,0.00105913,-87.0580365928,28.1886,7144.07955177,1.2096,82.6717966508,-132.6,0.216613,-87.0580365928,-87.0580365928,1.30134,100,0.01,0.4,120.31
4896.17735578,4.13222e-06,100,96.0698799493,0.0422342,0.721568,60.0543,-77.9538,1,0.00713736,-80.0273109521,1.61776,4896.17735578,1.03789,96.3492837958,-130.001,0.016002,-80.0273109521,-80.0273109521,1.01097,100,0.01,0.4,111.85
6003.27788567,3.34107e-05,100,75.1447350968,0.317138,0.000665308,32.2285,-73.2065,1,6.82874e-06,-84.7110874194,1.75005,6003.27788567,1.31189,76.2261105302,-131.721,0.0179626,-84.7110874194,-84.7110874194,0.974275,100,0.01,0.4,117.69
3762.15952853,2.39318e-06,100,97.6855735098,0.0247491,0.61482,52.856,-77.0871,1,0.00604584,-78.7361535311,1.39576,3762.15952853,1.03404,96.7080155312,-129.039,0.0137252,-78.7361535311,-78.7361535311,1.01693,100,0.01,0.4,111.38
10372.2608591,1.65443e-05,100,85.9262461476,0.173437,0.178941,89.6547,-91.3192,1,0.00174768,-97.2046104518,2.20183,10372.2608591,1.1545,86.6175112467,-146.214,0.0215049,-97.2046104518,-97.2046104518,1.02387,100,0.01,0.4,131.35
7133.08265626,5.39277e-06,100,94.9317487027,0.0569464,0.388065,75.3213,-84.1948,1,0.00377639,-86.8426233023,1.44696,7133.08265626,1.07887,92.6894249783,-137.26,0.0140808,-86.8426233023,-86.8426233023,1.02761,100,0.01,0.4,120.2
7026.37667737,5.25375e-06,100,95.0559237198,0.051281,0.365962,74.6041,-85.4886,1,0.00370418,-89.3596517897,1.31201,7026.37667737,1.05935,94.3971773824,-138.069,0.0132798,-89.3596517897,-89.3596517897,0.98797,100,0.01,0.4,123.68
4964.24947762,1.23823e-06,100,98.7890104515,0.0123705,0.896491,66.3383,-76.2414,1,0.0089692,-76.9613122217,1.43587,4964.24947762,1.01328,98.6891111259,-127.669,0.0143656,-76.9613122217,-76.9613122217,0.999521,100,0.01,0.4,108.06
8113.863089,5.27411e-06,100,95.0377089315,0.0507969,0.758694,82.4033,-90.6587,1,0.00773076,-93.4178034565,2.0863,8113.863089,1.05288,94.9771722585,-143.081,0.0212585,-93.4178034565,-93.4178034565,0.981395,100,0.01,0.4,128.32
4934.57404903,2.74122e-06,100,97.3578904796,0.0281226,0.546157,63.5911,-79.3747,1,0.00539214,-80.5958068369,1.50628,4934.57404903,1.02447,97.6118594701,-131.085,0.0148713,-80.5958068369,-80.5958068369,1.01287,100,0.01,0.4,112.44
2539.87368354,5.16318e-06,100,95.1369981363,0.0509369,0.795861,47.1976,-75.6067,1,0.00801271,-76.56027905,2.83809,2539.87368354,1.02099,97.9437392064,-127.227,0.0285739,-76.56027905,-76.56027905,0.993248,100,0.01,0.4,109.15
2549.74866146,1.55071e-06,100,98.4880037341,0.0153439,0.855315,44.9229,-73.1634,1,0.0085985,-74.1934903686,1.39987,2549.74866146,1.01826,98.2067676276,-124.716,0.0140729,-74.1934903686,-74.1934903686,0.994725,100,0.01,0.4,106.05
8219.153676,7.5616e-06,100,93.0353865356,0.0709255,0.448922,81.1494,-87.0438,1,0.00463529,-90.3691029443,1.55834,8219.153676,1.06986,93.4703835796,-139.887,0.0160904,-90.3691029443,-90.3691029443,0.968488,100,0.01,0.4,124.43
2553.53350454,1.33701e-06,100,98.6936620025,0.0134501,0.885363,45.3964,-74.1786,1,0.00882725,-74.9537220567,1.48041,2553.53350454,1.01368,98.6508115523,-125.609,0.01476,-74.9537220567,-74.9537220567,1.00299,100,0.01,0.4,106.74
9307.66573596,7.37602e-06,100,93.1946887525,0.0673378,0.315341,86.1327,-89.739,1,0.00330036,-93.8667715131,1.65699,9307.66573596,1.08426,92.2287414856,-142.937,0.0173421,-93.8667715131,-93.8667715131,0.955473,100,0.01,0.4,127.56
7102.62706754,5.36437e-06,100,94.9570842331,0.0544465,0.259348,73.6701,-85.3154,1,0.00257429,-88.4392162913,1.47654,7102.62706754,1.05521,94.7677167369,-137.792,0.0146562,-88.4392162913,-88.4392162913,1.00745,100,0.01,0.4,122.1
4905.85699159,1.38533e-05,100,87.9393042514,0.144414,0.276639,51.2393,-75.7794,1,0.00270948,-81.2094111186,1.66645,4905.85699159,1.11325,89.8274662374,-129.682,0.0163217,-81.2094111186,-81.2094111186,1.02101,100,0.01,0.4,113.34
4957.09810341,8.70422e-06,100,92.0664741218,0.0905877,0.212976,52.2031,-75.512,1,0.00208766,-79.9195503539,1.43514,4957.09810341,1.08576,92.101456213,-128.747,0.0140677,-79.9195503539,-79.9195503539,1.02016,100,0.01,0.4,111.29
4871.19763654,4.42416e-06,100,95.8038479566,0.0456611,0.552596,63.3799,-80.7261,1,0.00543939,-82.583910837,1.82862,4871.19763654,1.037,96.4324421758,-132.751,0.0179997,-82.583910837,-82.583910837,1.01592,100,0.01,0.4,115.26
10305.2877778,1.66714e-05,100,85.8334872566,0.184592,0.789773,90.6243,-92.7209,1,0.00750552,-97.2370067362,4.5587,10305.2877778,1.0842,92.233750972,-145.918,0.0433232,-97.2370067362,-97.2370067362,1.05226,100,0.01,0.4,132.44
6037.75152097,7.79164e-06,100,92.8386626314,0.0800703,0.265185,65.7343,-80.0408,1,0.00261594,-84.1991230044,1.7302,6037.75152097,1.07826,92.7418817211,-133.078,0.0170677,-84.1991230044,-84.1991230044,1.01373,100,0.01,0.4,117.28
7151.8119762,5.86913e-05,100,63.2493785413,0.659484,2.03747e-06,40.6991,-71.6721,1,1.9221e-08,-87.8792050198,6.50688,7151.8119762,1.29121,77.44683994,-129.721,0.0613844,-87.8792050198,-87.8792050198,1.06002,100,0.01,0.4,121.1
6032.2851366,3.48586e-06,100,96.6641341757,0.0372108,0.304267,67.5811,-83.3804,1,0.00294493,-86.065782232,1.455,6032.2851366,1.05429,94.8505900539,-135.838,0.0140826,-86.065782232,-86.065782232,1.03319,100,0.01,0.4,119.75
7206.64797623,1.97158e-05,100,83.6689400165,0.217129,0.0124361,56.1803,-75.7265,1,0.000118504,-85.3258871347,1.73268,7206.64797623,1.23192,81.1738741643,-132.431,0.0165107,-85.3258871347,-85.3258871347,1.04943,100,0.01,0.4,117.86
12314.1984718,1.65707e-05,100,85.9069828024,0.190868,0.759626,101.268,-99.2008,1,0.00707787,-104.671107199,3.34485,12314.1984718,1.10759,90.2859936299,-152.968,0.0311659,-104.671107199,-104.671107199,1.07324,100,0.01,0.4,140.24
3755.22156469,4.95229e-06,100,95.3263750609,0.0520089,0.506678,49.8205,-73.6601,1,0.0049442,-76.0535993795,1.60589,3755.22156469,1.04764,95.4530413723,-125.937,0.0156704,-76.0535993795,-76.0535993795,1.02479,100,0.01,0.4,107.88
6044.75744484,3.66465e-06,100,96.4990229514,0.0375526,0.546635,71.829,-81.6373,1,0.0054,-83.3360386091,1.75752,6044.75744484,1.03893,96.2525167211,-133.712,0.0173619,-83.3360386091,-83.3360386091,1.01229,100,0.01,0.4,116.16
7084.71339015,9.21637e-05,100,52.2897414384,1.10027,0.0136494,53.6974,-78.2732,1,0.000124923,-88.3888146101,10.0141,7084.71339015,1.18589,84.3251695906,-133.908,0.0916519,-88.3888146101,-88.3888146101,1.09262,100,0.01,0.4,122.2
5964.24511123,4.10979e-06,100,96.0903794928,0.0401619,0.629029,69.4491,-83.9531,1,0.00636317,-86.3044700694,1.44086,5964.24511123,1.04532,95.6649297008,-136.187,0.0145755,-86.3044700694,-86.3044700694,0.988548,100,0.01,0.4,120.33
9187.61639105,1.15205e-05,100,89.7623337709,0.107915,0.0907988,85.3904,-91.6246,1,0.000938154,-96.1095354685,1.58021,9187.61639105,1.10365,90.6083594951,-145.296,0.0163271,-96.1095354685,-96.1095354685,0.967845,100,0.01,0.4,131.09
7183.85709259,8.12542e-06,100,92.5547536301,0.0806113,0.459787,71.1036,-82.541,1,0.00461617,-86.3293807565,2.068,7183.85709259,1.0676,93.6676106073,-135.328,0.0207623,-86.3293807565,-86.3293807565,0.996036,100,0.01,0.4,118.81
3745.9319541,1.67103e-06,100,98.3726013118,0.0165025,0.56828,55.4832,-76.5216,1,0.00571846,-77.3704360038,1.29742,3745.9319541,1.01661,98.3659398027,-128.033,0.0130557,-77.3704360038,-77.3704360038,0.993764,100,0.01,0.4,108.97
3748.368312,2.76911e-06,100,97.3317319832,0.0287574,0.864056,54.9978,-73.7798,1,0.00847885,-74.9040090004,2.18073,3748.368312,1.01913,98.1224734242,-125.355,0.0213992,-74.9040090004,-74.9040090004,1.01907,100,0.01,0.4,106.08
4885.31977252,1.50528e-05,100,87.0304635784,0.149997,0.0375882,39.9825,-73.4681,1,0.000376546,-80.4840913406,1.97508,4885.31977252,1.12445,88.9325580039,-127.575,0.0197857,-80.4840913406,-80.4840913406,0.998236,100,0.01,0.4,112.74
7095.80290152,1.07145e-05,100,90.4098737244,0.104764,0.21388,68.1286,-82.98,1,0.00216297,-88.3977077909,1.72211,7095.80290152,1.10123,90.8078050515,-136.593,0.0174157,-88.3977077909,-88.3977077909,0.988825,100,0.01,0.4,122.16
2619.62126392,1.1139e-06,100,98.9092856481,0.0113361,0.911512,48.6109,-71.2443,1,0.0090355,-71.7251549625,1.52658,2619.62126392,1.00928,99.080079556,-122.566,0.0151324,-71.7251549625,-71.7251549625,1.00881,100,0.01,0.4,101.88
2572.57752345,4.05512e-07,100,99.6001373493,0.00405527,0.932842,49.0846,-72.9611,1,0.00932824,-73.1774628323,1.30965,2572.57752345,1.00414,99.5876813221,-124.156,0.0130962,-73.1774628323,-73.1774628323,1.00002,100,0.01,0.4,104.42
4963.7842557,2.13783e-06,100,97.9274034533,0.021069,0.507366,67.0336,-79.8765,1,0.00511076,-80.6176413895,1.45908,4963.7842557,1.01635,98.391333839,-131.381,0.0146975,-80.6176413895,-80.6176413895,0.99274,100,0.01,0.4,112.21
9262.25306872,1.34851e-05,100,88.2221617855,0.139832,0.482814,80.7442,-89.3051,1,0.00474136,-94.9844523957,2.11512,9262.25306872,1.11231,89.9032987982,-143.187,0.020771,-94.9844523957,-94.9844523957,1.0183,100,0.01,0.4,129.51
7130.50243006,3.24399e-05,100,75.6913586971,0.257876,0.000883749,42.7913,-74.2198,1,9.91205e-06,-87.4599723564,1.7335,7130.50243006,1.26586,78.9973897342,-131.7,0.0194428,-87.4599723564,-87.4599723564,0.891591,100,0.01,0.4,120.63
4909.36035567,1.05848e-06,100,98.962959083,0.0102118,0.646094,68.3094,-78.9623,1,0.00657788,-79.4955567352,1.20357,4909.36035567,1.01024,98.9859630189,-130.313,0.0122535,-79.4955567352,-79.4955567352,0.982222,100,0.01,0.4,111.26
9234.03296841,1.22787e-05,100,89.1615830776,0.125004,0.322408,82.556,-89.8562,1,0.00319535,-94.9979349272,1.57534,9234.03296841,1.12352,89.0061404268,-144.009,0.015613,-94.9979349272,-94.9979349272,1.00899,100,0.01,0.4,129.23
3774.43505723,8.25542e-06,100,92.4446442368,0.0776707,0.0643337,42.9869,-72.1461,1,0.000663253,-75.7268769079,1.34001,3774.43505723,1.0654,93.8614390932,-124.876,0.013815,-75.7268769079,-75.7268769079,0.969972,100,0.01,0.4,106.7
7130.71933901,1.83994e-05,100,84.5913386543,0.17078,0.0199227,63.2813,-78.2834,1,0.000206791,-86.3923320693,1.73314,7130.71933901,1.14762,87.1368418778,-133.013,0.0179894,-86.3923320693,-86.3923320693,0.963421,100,0.01,0.4,119.59
7141.47209864,1.81173e-06,100,98.2379833176,0.0186063,0.693814,78.7548,-85.6446,1,0.00684635,-87.3452128363,1.45181,7141.47209864,1.03118,96.9764454952,-137.524,0.014326,-87.3452128363,-87.3452128363,1.01341,100,0.01,0.4,120.21
6024.93801226,2.08601e-05,100,82.8833738557,0.222542,0.0313276,39.6077,-73.6332,1,0.000303305,-84.0452235113,1.63032,6024.93801226,1.24057,80.6082348009,-130.536,0.0157842,-84.0452235113,-84.0452235113,1.03288,100,0.01,0.4,116.82
