VarVanillaIw,AvgEpLen,MinNormIw,eRenyi2,ESSClassic,ESSRenyi,VarDiscRet,VanillaAvgRet,AvgDiscRet,Bound,MaxNormIw,Delta,VarRet,EpsThisIter,VarJ,AvgRet,AvgNormIw,VarNormIw,MinVanillaIw,IterType,BatchSize,J,AvgVanillaIw,MaxVanillaIw
1.19367,500.0,3.72653e-07,2.15516,43.7823193815,46.4002221385,156831.227873,-1486.51658804,-1486.51658804,-1471.22,0.045081,0.5,156831.227873,100,152.543,-1486.51658804,0.01,0.0001297,3.575e-05,1,100,-1181.35,0.959339,4.3248
2.41077,500.0,6.85277e-27,1.0,16.7449942446,100.0,32517.6647534,-1172.5278856,-1172.5278856,-1329.9,0.111184,0.5,32517.6647534,100,1.6029,-1172.5278856,0.01,0.000502216,4.74787e-25,1,100,-1133.84,0.69284,7.70325
1.92652e-05,500.0,0.00984467,1.00001,99.9981034897,99.9986648738,0.417461011816,-1133.72446548,-1133.72446548,-1247.3,0.0100899,0.5,0.417461011816,100,0.641299,-1133.72446548,0.01,1.92781e-09,0.984139,1,100,-1133.72,0.999666,1.00866
1.6779e-05,500.0,0.00989571,1.00001,99.9983516073,99.9990940176,0.536366953321,-1133.97554285,-1133.97554285,-1247.59,0.0102159,0.5,0.536366953321,100,0.728273,-1133.97554285,0.01,1.67884e-09,0.989292,1,100,-1133.97,0.999719,1.0213
3.52707e-05,500.0,0.00993167,1.00002,99.9964859116,99.9976397118,0.651019669197,-1133.90067897,-1133.90067897,-1247.67,0.0101734,0.5,0.651019669197,100,0.801578,-1133.90067897,0.01,3.52112e-09,0.994007,1,100,-1133.9,1.00085,1.0182
3.33873e-05,500.0,0.00988488,1.00002,99.9966834404,99.9980092445,0.799955022347,-1133.92851132,-1133.92851132,-1247.73,0.0102057,0.5,0.799955022347,100,0.886464,-1133.92851132,0.01,3.33441e-09,0.989128,1,100,-1133.93,1.00065,1.02123
2.09823e-05,500.0,0.00978669,1.00001,99.9979276939,99.9986052708,0.714446719064,-1133.87553813,-1133.87553813,-1247.65,0.0100864,0.5,0.714446719064,100,0.836435,-1133.87553813,0.01,2.10017e-09,0.978216,1,100,-1133.87,0.999538,1.00818
4.26333e-05,500.0,0.00975271,1.00003,99.995746264,99.9973893847,1.43826356017,-1134.00981482,-1134.00981482,-1248.06,0.0101574,0.5,1.43826356017,100,1.18733,-1134.00981482,0.01,4.27196e-09,0.974285,1,100,-1134.01,0.998989,1.01471
1.48759e-06,500.0,0.00994609,1.0,99.9998588587,99.99986887,0.319528309344,-1133.73600313,-1133.73600313,-1247.25,0.0100257,0.5,0.319528309344,100,0.562164,-1133.73600313,0.01,1.48754e-10,0.994626,1,100,-1133.74,1.00002,1.00259
3.25616e-05,500.0,0.00980462,1.00002,99.9967772341,99.9976397118,0.680295386552,-1133.94595226,-1133.94595226,-1247.74,0.0102306,0.5,0.680295386552,100,0.816619,-1133.94595226,0.01,3.255e-09,0.980637,1,100,-1133.94,1.00018,1.02324
2.23941e-05,500.0,0.00988925,1.00002,99.9977335159,99.9983310978,0.841040479094,-1133.93248918,-1133.93248918,-1247.75,0.0101721,0.5,0.841040479094,100,0.909464,-1133.93248918,0.01,2.24059e-09,0.988667,1,100,-1133.93,0.999739,1.01694
2.01447e-05,500.0,0.00990715,1.00002,99.9980084945,99.997913881,0.985246341344,-1134.01342445,-1134.01342445,-1248.09,0.0101732,0.5,0.985246341344,100,0.984195,-1134.01342445,0.01,2.015e-09,0.990584,1,100,-1134.01,0.999868,1.01719
1.4783e-05,500.0,0.00986826,1.00001,99.9985113642,99.9989628899,0.479950142265,-1133.76933204,-1133.76933204,-1247.55,0.0100785,0.5,0.479950142265,100,0.686616,-1133.76933204,0.01,1.48013e-09,0.986216,1,100,-1133.77,0.999382,1.00723
2.87708e-05,500.0,0.00978912,1.00003,99.9971464548,99.9974251456,0.548193206807,-1133.9355686,-1133.9355686,-1247.67,0.0101326,0.5,0.548193206807,100,0.73527,-1133.9355686,0.01,2.87751e-09,0.978839,1,100,-1133.93,0.999925,1.01318
7.85041e-06,500.0,0.00988739,1.0,99.9991795619,99.9995350859,0.724269690497,-1133.90728454,-1133.90728454,-1247.71,0.0100747,0.5,0.724269690497,100,0.844972,-1133.90728454,0.01,7.85585e-10,0.988398,1,100,-1133.91,0.999655,1.00712
1.87114e-05,500.0,0.00991019,1.00002,99.9981457322,99.9980807673,0.847601204753,-1133.86962289,-1133.86962289,-1247.65,0.0101733,0.5,0.847601204753,100,0.913348,-1133.86962289,0.01,1.87185e-09,0.990832,1,100,-1133.87,0.999811,1.01713
2.1375e-05,500.0,0.00990445,1.00002,99.9979112779,99.9981642106,0.966490721013,-1133.94438737,-1133.94438737,-1247.75,0.0101352,0.5,0.966490721013,100,0.975581,-1133.94438737,0.01,2.13403e-09,0.991251,1,100,-1133.94,1.00081,1.01434
4.83289e-06,500.0,0.00991028,1.00001,99.999526639,99.9994277987,0.437259127565,-1133.88288867,-1133.88288867,-1247.51,0.0100614,0.5,0.437259127565,100,0.656906,-1133.88288867,0.01,4.83984e-10,0.990316,1,100,-1133.88,0.999281,1.00542
3.58986e-05,500.0,0.0098763,1.00002,99.9964884498,99.9975324286,0.714112195754,-1133.94737312,-1133.94737312,-1247.71,0.0102018,0.5,0.714112195754,100,0.837812,-1133.94737312,0.01,3.58639e-09,0.988106,1,100,-1133.94,1.00048,1.02067
1.67062e-05,500.0,0.00994909,1.00001,99.9983339866,99.998819842,0.560610334258,-1133.84221308,-1133.84221308,-1247.6,0.010173,0.5,0.560610334258,100,0.743583,-1133.84221308,0.01,1.66864e-09,0.995499,1,100,-1133.84,1.00059,1.01791
1.8766e-05,500.0,0.00992707,1.00001,99.9981620399,99.998819842,0.502455919763,-1133.71913064,-1133.71913064,-1247.53,0.0101753,0.5,0.502455919763,100,0.703585,-1133.71913064,0.01,1.87518e-09,0.993084,1,100,-1133.72,1.00038,1.01792
6.47703e-06,500.0,0.009928,1.00001,99.9993934258,99.9992966701,0.763470403761,-1133.90839411,-1133.90839411,-1247.68,0.0100751,0.5,0.763470403761,100,0.867172,-1133.90839411,0.01,6.47786e-10,0.992734,1,100,-1133.91,0.999934,1.00745
1.31772e-05,500.0,0.00988863,1.00001,99.9987031387,99.9991059383,0.362535605427,-1133.6810982,-1133.6810982,-1247.3,0.0101213,0.5,0.362535605427,100,0.597611,-1133.6810982,0.01,1.31747e-09,0.988957,1,100,-1133.68,1.0001,1.01222
1.52508e-05,500.0,0.00993204,1.00001,99.9984897975,99.9990940176,0.884527813442,-1133.87892805,-1133.87892805,-1247.65,0.0101749,0.5,0.884527813442,100,0.934097,-1133.87892805,0.01,1.52427e-09,0.993467,1,100,-1133.88,1.00027,1.01776
,500.0,0.01,1.0,100.0,100.0,0.400151539759,-1133.76501386,-1133.76501386,-1247.4,0.01,0.5,0.400151539759,100,0.62941,-1133.76501386,0.01,3.50449e-18,1.0,1,100,-1133.76,1.0,1.0
1.29822e-05,500.0,0.00993546,1.00001,99.9987523522,99.9985099061,0.443604963949,-1133.88539679,-1133.88539679,-1247.53,0.010113,0.5,0.443604963949,100,0.661902,-1133.88539679,0.01,1.29876e-09,0.993344,1,100,-1133.88,0.999797,1.01109
4.06598e-06,500.0,0.00996747,1.0,99.9995729311,99.9997377403,0.354307440927,-1133.68772528,-1133.68772528,-1247.3,0.0100676,0.5,0.354307440927,100,0.591754,-1133.68772528,0.01,4.06263e-10,0.997157,1,100,-1133.69,1.00041,1.00718
2.01157e-05,500.0,0.00994187,1.00001,99.9980413469,99.9987244769,1.08625126136,-1133.80417183,-1133.80417183,-1247.92,0.0101375,0.5,1.08625126136,100,1.03318,-1133.80417183,0.01,2.00731e-09,0.995239,1,100,-1133.8,1.00106,1.01482
2.74507e-05,500.0,0.00985782,1.00003,99.9972885503,99.9974728269,0.647077726176,-1133.85166788,-1133.85166788,-1247.6,0.010165,0.5,0.647077726176,100,0.796072,-1133.85166788,0.01,2.74356e-09,0.986053,1,100,-1133.85,1.00027,1.01678
2.81104e-06,500.0,0.00997512,1.0,99.9996947701,99.9996662151,0.326090562159,-1133.75599371,-1133.75599371,-1247.27,0.0100734,0.5,0.326090562159,100,0.567878,-1133.75599371,0.01,2.81204e-10,0.997333,1,100,-1133.76,0.99982,1.00715
1.16507e-05,500.0,0.00994255,1.00001,99.9988557525,99.9986529532,0.921628291573,-1133.85199273,-1133.85199273,-1247.85,0.0101482,0.5,0.921628291573,100,0.952244,-1133.85199273,0.01,1.16476e-09,0.994387,1,100,-1133.85,1.00013,1.01495
1.11736e-05,500.0,0.00994018,1.00001,99.9988822833,99.9991297798,0.510966289615,-1133.81221859,-1133.81221859,-1247.61,0.0102032,0.5,0.510966289615,100,0.710316,-1133.81221859,0.01,1.1174e-09,0.994,1,100,-1133.81,0.999982,1.02031
1.56695e-05,500.0,0.0098547,1.00002,99.9984359555,99.9984383827,0.717950419983,-1133.91766071,-1133.91766071,-1247.69,0.0101305,0.5,0.717950419983,100,0.839225,-1133.91766071,0.01,1.56702e-09,0.985447,1,100,-1133.92,0.999976,1.01303
9.63233e-06,500.0,0.00993217,1.00001,99.9990920672,99.9989748106,0.447544446675,-1133.77972243,-1133.77972243,-1247.55,0.0101215,0.5,0.447544446675,100,0.664335,-1133.77972243,0.01,9.63316e-10,0.993172,1,100,-1133.78,0.999955,1.0121
7.77202e-06,500.0,0.00992542,1.00001,99.9992218525,99.9992013041,0.368441167244,-1133.75661211,-1133.75661211,-1247.41,0.0100645,0.5,0.368441167244,100,0.603276,-1133.75661211,0.01,7.7711e-10,0.992601,1,100,-1133.76,1.00006,1.00651
8.79946e-06,500.0,0.00994261,1.00001,99.999161018,99.998998652,0.477132563104,-1133.80495962,-1133.80495962,-1247.44,0.0100748,0.5,0.477132563104,100,0.686629,-1133.80495962,0.01,8.79434e-10,0.994553,1,100,-1133.8,1.00029,1.00777
6.43623e-06,500.0,0.00995126,1.00001,99.9993818631,99.9992251456,0.471540638137,-1133.66266548,-1133.66266548,-1247.46,0.0100591,0.5,0.471540638137,100,0.682369,-1133.66266548,0.01,6.43955e-10,0.994871,1,100,-1133.66,0.999743,1.00565
5.76385e-06,500.0,0.00993592,1.00001,99.9994391052,99.9993324324,0.467632110628,-1133.90630863,-1133.90630863,-1247.54,0.0101059,0.5,0.467632110628,100,0.679768,-1133.90630863,0.01,5.76667e-10,0.99335,1,100,-1133.91,0.999756,1.01034
1.14407e-05,500.0,0.00995974,1.00001,99.9988972788,99.9990105727,0.389873005741,-1133.83553512,-1133.83553512,-1247.38,0.0101726,0.5,0.389873005741,100,0.620831,-1133.83553512,0.01,1.14466e-09,0.995718,1,100,-1133.83,0.999744,1.017
1.77651e-05,500.0,0.00994273,1.00001,99.9982454049,99.9986767944,0.374413825639,-1133.74014502,-1133.74014502,-1247.4,0.0101393,0.5,0.374413825639,100,0.607716,-1133.74014502,0.01,1.77622e-09,0.994354,1,100,-1133.74,1.00008,1.01401
0.000243596,500.0,0.00907718,1.00014,99.9758011328,99.9861974696,3.90901599511,-1134.10752567,-1134.10752567,-1249.32,0.0102442,0.5,3.90901599511,100,1.81408,-1134.10752567,0.01,2.44346e-08,0.906324,1,100,-1134.09,0.998465,1.02284
1.25228e-05,500.0,0.00990936,1.00001,99.9987563948,99.9988675246,0.506026750685,-1133.8691717,-1133.8691717,-1247.5,0.0101029,0.5,0.506026750685,100,0.70668,-1133.8691717,0.01,1.25234e-09,0.990915,1,100,-1133.87,0.999979,1.01027
1.01264e-05,500.0,0.00993532,1.00001,99.9989584991,99.9990701762,0.603800347745,-1133.83720932,-1133.83720932,-1247.61,0.0100748,0.5,0.603800347745,100,0.771609,-1133.83720932,0.01,1.01283e-09,0.99344,1,100,-1133.84,0.999907,1.00739
1.08454e-05,500.0,0.00990169,1.00001,99.9989391376,99.9990105727,0.382021256523,-1133.83785826,-1133.83785826,-1247.44,0.0101261,0.5,0.382021256523,100,0.614253,-1133.83785826,0.01,1.08532e-09,0.98981,1,100,-1133.84,0.999637,1.01224
2.61106e-05,500.0,0.00976063,1.00002,99.9974207303,99.9980330854,0.786101202404,-1133.83293337,-1133.83293337,-1247.7,0.0100866,0.5,0.786101202404,100,0.876587,-1133.83293337,0.01,2.61224e-09,0.975842,1,100,-1133.83,0.999774,1.00843
1.30938e-05,500.0,0.00989594,1.00001,99.9986835628,99.9990701762,0.442411274548,-1133.77091588,-1133.77091588,-1247.36,0.0101345,0.5,0.442411274548,100,0.66094,-1133.77091588,0.01,1.31013e-09,0.989309,1,100,-1133.77,0.999712,1.01315
2.77176e-05,500.0,0.00969821,1.00002,99.9972233772,99.997997324,0.487929568612,-1133.84516701,-1133.84516701,-1247.52,0.0101276,0.5,0.487929568612,100,0.692612,-1133.84516701,0.01,2.77093e-09,0.969967,1,100,-1133.84,1.00015,1.01291
7.07929e-06,500.0,0.00994761,1.00001,99.9992754315,99.9994754819,0.410727401142,-1133.75570163,-1133.75570163,-1247.29,0.0100921,0.5,0.410727401142,100,0.637016,-1133.75570163,0.01,7.07497e-10,0.995063,1,100,-1133.75,1.0003,1.00952
2.12636e-05,500.0,0.00988461,1.00002,99.9979019607,99.9983191773,0.794000574465,-1133.91675263,-1133.91675263,-1247.72,0.010214,0.5,0.794000574465,100,0.883845,-1133.91675263,0.01,2.12634e-09,0.988466,1,100,-1133.92,1.00001,1.02141
2.91312e-05,500.0,0.00986921,1.00002,99.9970981667,99.9976516321,0.919932686562,-1133.88427522,-1133.88427522,-1247.84,0.0101609,0.5,0.919932686562,100,0.947793,-1133.88427522,0.01,2.9186e-09,0.985994,1,100,-1133.88,0.99906,1.01514
1.32924e-05,500.0,0.00994993,1.00001,99.9986880002,99.9986410326,0.390967829269,-1133.84130246,-1133.84130246,-1247.34,0.010155,0.5,0.390967829269,100,0.621831,-1133.84130246,0.01,1.32875e-09,0.995177,1,100,-1133.84,1.00019,1.01569
