VanillaAvgRet,VarDiscRet,AvgDiscRet,MaxVanillaIw,VarRet,J,MaxNormIw,BatchSize,VarNormIw,ESSClassic,AvgVanillaIw,AvgRet,eRenyi2,IterType,Delta,VarJ,MinVanillaIw,AvgNormIw,AvgEpLen,MinNormIw,ESSRenyi,VarVanillaIw,EpsThisIter,Bound
-128.287298725,4581.01101113,-128.287298725,1.92282,4581.01101113,-113.349,0.0210958,100,3.21805e-05,75.8388035591,0.911471,-128.287298725,1.22471,1,0.5,17.1053,0.0300576,0.01,61.44,0.00032977,81.6519201606,0.267349,100,-168.15
-113.748734891,1228.00744013,-113.748734891,1.45534,1228.00744013,-110.938,0.0149725,100,5.82787e-06,94.5450835298,0.972005,-113.748734891,1.05264,1,0.5,16.0324,0.31763,0.01,26.65,0.00326779,94.9992219869,0.0550613,100,-156.643
-109.541839333,185.146479287,-109.541839333,1.28297,185.146479287,-108.285,0.0124369,100,3.29878e-06,96.8375071191,1.03159,-109.541839333,1.04356,1,0.5,7.81386,0.285478,0.01,21.65,0.00276736,95.8262841539,0.0351048,100,-130.922
-110.397367302,191.761277987,-110.397367302,1.39053,191.761277987,-109.075,0.014012,100,5.99974e-06,94.3932709683,0.992384,-110.397367302,1.06327,1,0.5,9.17587,0.293501,0.01,23.44,0.00295754,94.0496494135,0.0590869,100,-129.54
-117.344840597,3058.6626598,-117.344840597,1.46547,3058.6626598,-110.782,0.0149336,100,1.03778e-05,90.6832013688,0.981324,-117.344840597,1.09836,1,0.5,17.6991,0.204606,0.01,32.45,0.002085,91.0451316906,0.0999377,100,-161.845
-107.728637734,8.22063172483,-107.728637734,1.16673,8.22063172483,-107.647,0.0117902,100,6.97116e-07,99.3145581451,0.989577,-107.728637734,1.00707,1,0.5,2.82331,0.625298,0.01,16.81,0.00631884,99.2979335263,0.0068266,100,-119.213
-108.407181826,26.3967719809,-108.407181826,1.18585,26.3967719809,-108.238,0.0117698,100,8.03664e-07,99.2106589198,1.00753,-108.407181826,1.01086,1,0.5,4.28304,0.775189,0.01,17.96,0.00769393,98.9258338803,0.00815817,100,-123.195
-107.570674193,10.8656264881,-107.570674193,1.26321,10.8656264881,-107.456,0.012769,100,1.0672e-06,98.9544894801,0.98928,-107.570674193,1.0094,1,0.5,3.12733,0.761058,0.01,17.64,0.00769305,99.0682730279,0.0104444,100,-119.273
-108.355808108,18.2034662893,-108.355808108,1.17552,18.2034662893,-108.095,0.0117104,100,1.65903e-06,98.3840941163,1.00382,-108.355808108,1.01749,1,0.5,3.29646,0.53334,0.01,17.49,0.0053131,98.2813837644,0.0167173,100,-121.521
-107.610129596,18.8145146806,-107.610129596,1.11552,18.8145146806,-107.531,0.0111793,100,7.25517e-07,99.2868894142,0.997848,-107.610129596,1.00683,1,0.5,4.53523,0.698071,0.01,20.03,0.00699577,99.3216002311,0.00722398,100,-119.73
-107.443273264,7.78186998455,-107.443273264,1.3018,7.78186998455,-107.38,0.0130294,100,6.09024e-07,99.4006920245,0.999121,-107.443273264,1.0053,1,0.5,2.73719,0.748924,0.01,16.0,0.00749583,99.4728369191,0.00607954,100,-119.232
-108.987070929,261.936825549,-108.987070929,1.22919,261.936825549,-107.599,0.0122305,100,2.61097e-06,97.4802532198,1.00502,-108.987070929,1.02345,1,0.5,3.81515,0.168906,0.01,22.19,0.00168063,97.7090359398,0.0263725,100,-134.605
