ESSRenyi,IterType,MaxNormIw,EpsThisIter,MinNormIw,VarJ,VanillaAvgRet,J,VarVanillaIw,eRenyi2,VarRet,AvgDiscRet,AvgRet,Delta,MinVanillaIw,AvgEpLen,BatchSize,MaxVanillaIw,AvgNormIw,AvgVanillaIw,VarNormIw,VarDiscRet,Bound,ESSClassic
18.6806152737,1,0.461394,100,1.51152e-06,225.295,153.812071012,307.802,183.534,5.35314,10464.2007747,153.812071012,153.812071012,0.6,0.000435351,16.78,100,132.892,0.01,2.88022,0.00221241,10464.2007747,211.772,4.36626508578
10.3330855609,1,0.847174,100,1.39678e-07,556.132,237.55906056,686.238,1174.48,9.67765,18276.5918824,237.55906056,237.55906056,0.6,5.65704e-05,25.75,100,343.111,0.01,4.05007,0.00716016,18276.5918824,479.49,1.39109955308
0.35226291404,,0.670981,100,1.10628e-07,156.351,237.55906056,281.788,3.17826e+06,567.758,18276.5918824,315.002249621,237.55906056,0.6,0.00291451,25.75,200,17677.1,0.01,263.452,0.00457918,27561.7482447,-1411.01,2.15825033677
13.3448900062,1,0.840047,100,6.75768e-11,766.809,227.528301346,686.937,1556.92,14.987,22216.5590583,227.528301346,227.528301346,0.6,4.49113e-08,24.66,200,558.291,0.005,3.32298,0.00352494,22216.5590583,505.01,1.41550403299
200.0,2,0.01,100,0.01,174.74,381.845993398,381.846,,1.0,30842.578977,381.845993398,381.845993398,0.6,1.0,41.27,200,1.0,0.01,1.0,3.50449e-18,30842.578977,312.425,100.0
3.52004100144e-06,,0.987209,100,7.94152e-11,69.36,227.528301346,291.894,2.47871e+12,8.52263e+07,22216.5590583,354.739154084,227.528301346,0.6,0.00179118,24.66,300,2.22661e+07,0.005,112773.0,0.00487253,38505.3910136,-576949.0,1.02602787354
15.6843223787,1,0.775479,100,7.62294e-13,1094.78,248.612289576,670.051,1850.21,19.1274,23452.587794,248.612289576,248.612289576,0.6,7.32239e-10,26.94,300,744.905,0.00333333,3.20191,0.0020052,23452.587794,497.23,1.65867775839
300.0,2,0.01,100,0.01,172.977,368.725864158,368.726,,1.0,30223.3337498,368.725864158,368.725864158,0.6,1.0,39.84,300,1.0,0.01,1.0,3.50449e-18,30223.3337498,283.178,100.0
300.0,2,0.005,100,0.005,187.146,406.270560655,387.498,,1.0,39819.5879579,406.270560655,406.270560655,0.6,1.0,43.88,300,1.0,0.005,1.0,2.1793e-19,39819.5879579,298.464,200.000000102
85222.4833902,,0.99202,100,9.75152e-13,77.6493,248.612289576,389.012,6.21672e+15,0.0046936,23452.587794,372.472401373,248.612289576,0.6,0.00134245,26.94,400,1.36567e+09,0.00333333,4.58887e+06,0.00328026,32544.4002488,-inf,1.01612564258
18.4082745385,1,0.682489,100,3.78547e-14,1401.73,212.84166173,651.274,1797.84,21.7294,17789.7035029,212.84166173,212.84166173,0.6,4.67592e-11,23.1,400,843.029,0.0025,3.08807,0.0011783,17789.7035029,491.751,2.11576493936
400.0,2,0.01,100,0.01,172.46,379.106812021,379.107,,1.0,30042.9266033,379.106812021,379.106812021,0.6,1.0,40.95,400,1.0,0.01,1.0,3.50449e-18,30042.9266033,310.135,100.0
400.0,2,0.005,100,0.005,161.544,352.615432094,365.861,,1.0,22322.4470156,352.615432094,352.615432094,0.6,1.0,38.1,400,1.0,0.005,1.0,2.1793e-19,22322.4470156,317.091,200.000000102
400.0,2,0.00333333,100,0.00333333,152.349,339.50347601,357.075,,1.0,17146.1327713,339.50347601,339.50347601,0.6,1.0,36.69,400,1.0,0.00333333,1.0,5.43914e-20,17146.1327713,317.255,299.999969474
17267473.5526,,0.997653,100,5.53355e-14,13.9142,212.84166173,525.082,1.14341e+18,2.89562e-05,17789.7035029,385.287475621,212.84166173,0.6,0.0011862,23.1,500,2.13862e+10,0.0025,5.35912e+07,0.00248825,38414.6924256,-inf,1.0047088173
17.6187530463,1,0.721244,100,1.77876e-16,1445.24,235.169564087,663.569,2063.3,28.3789,26533.9889823,235.169564087,235.169564087,0.6,2.49704e-13,25.5,500,1012.49,0.002,2.80762,0.001047,26533.9889823,483.769,1.90675093259
500.0,2,0.01,100,0.01,182.346,379.708538599,379.709,,1.0,33585.7655173,379.708538599,379.708538599,0.6,1.0,41.02,500,1.0,0.01,1.0,3.50449e-18,33585.7655173,296.984,100.0
500.0,2,0.005,100,0.005,197.743,406.400080488,393.054,,1.0,45049.2618639,406.400080488,406.400080488,0.6,1.0,43.91,500,1.0,0.005,1.0,2.1793e-19,45049.2618639,304.651,200.000000102
500.0,2,0.00333333,100,0.00333333,189.115,403.426568988,396.512,,1.0,29309.506428,403.426568988,403.426568988,0.6,1.0,43.57,500,1.0,0.00333333,1.0,5.43914e-20,29309.506428,324.331,299.999969474
500.0,2,0.0025,100,0.0025,177.663,381.079669818,392.654,,1.0,18974.5692068,381.079669818,381.079669818,0.6,1.0,41.16,500,1.0,0.0025,1.0,5.4346e-20,18974.5692068,330.143,400.0
24.123511525,1,0.631563,100,1.53605e-14,1961.76,376.370249217,866.87,1393.36,20.7267,37706.8866765,376.370249217,376.370249217,0.6,2.01988e-11,40.7,500,830.496,0.002,2.62997,0.000805791,37706.8866765,612.327,2.47469884278
500.0,2,0.01,100,0.01,247.106,553.261776526,553.262,,1.0,61678.0789253,553.261776526,553.261776526,0.6,1.0,59.78,500,1.0,0.01,1.0,3.50449e-18,61678.0789253,454.442,100.0
500.0,2,0.005,100,0.005,252.279,527.28662264,540.274,,1.0,66556.3210835,527.28662264,527.28662264,0.6,1.0,57.04,500,1.0,0.005,1.0,2.1793e-19,66556.3210835,465.084,200.000000102
500.0,2,0.00333333,100,0.00333333,254.917,563.074473553,547.874,,1.0,67991.9117788,563.074473553,563.074473553,0.6,1.0,60.8,500,1.0,0.00333333,1.0,5.43914e-20,67991.9117788,460.746,299.999969474
