AvgEpLen,J,IterType,BatchSize,VarDiscRet,MinVanillaIw,VarVanillaIw,Bound,VarRet,MinNormIw,VarNormIw,MaxVanillaIw,VanillaAvgRet,AvgRet,AvgDiscRet,ESSRenyi,AvgVanillaIw,VarJ,Delta,ESSClassic,eRenyi2,MaxNormIw,EpsThisIter,AvgNormIw
500.0,23.9991,1,100,302.594969884,0.0673225,311.522,20.7874,302.594969884,7.12725e-05,0.000349151,42.513,-5.06895375081,-5.06895375081,-5.06895375081,38.5158708506,9.44578,0.836467,0.6,22.4386472255,2.59633,0.0450074,100,0.01
500.0,5.96463,,200,43.1458990157,0.0235222,26.1502,1.45063,302.594969884,3.12819e-05,4.62493e-05,14.8539,-5.06895375081,-5.06895375081,4.57440049405,32.8663577108,7.51944,5.09169,0.6,68.5933599906,6.08525,0.019754,100,0.01
500.0,23.9483,1,200,110.905221603,0.030017,1549.33,21.3029,110.905221603,1.05708e-05,0.000192144,125.87,3.30485156696,3.30485156696,3.30485156696,56.7727645297,14.1981,1.2659,0.6,23.1285448783,3.52282,0.0443263,100,0.005
500.0,-2.8455,2,200,102.025667866,1.0,,-5.09042,102.025667866,0.01,3.50449e-18,1.0,-2.84549561654,-2.84549561654,-2.84549561654,200.0,1.0,10.0501,0.6,100.0,1.0,0.01,100,0.01
500.0,0.370017,,300,104.866557581,0.00794473,57.8091,-5.37063,110.905221603,5.94991e-06,3.24234e-05,33.3144,3.30485156696,3.30485156696,-5.47001571918,22.9390028634,6.67635,15.732,0.6,87.3190830416,13.0782,0.0249496,100,0.005
500.0,23.5805,1,300,218.084382008,0.0425046,1788.94,19.93,218.084382008,1.14703e-05,0.000130279,162.44,-12.8581152277,-12.8581152277,-12.8581152277,83.7916356544,12.3521,2.86845,0.6,23.6480603249,3.58031,0.0438361,100,0.00333333
500.0,-3.67158,2,300,61.6439930327,1.0,,-5.01695,61.6439930327,0.01,3.50449e-18,1.0,-3.67158445724,-3.67158445724,-3.67158445724,300.0,1.0,7.81201,0.6,100.0,1.0,0.01,100,0.01
500.0,-6.33557,2,300,177.608870446,1.0,,-8.56931,177.608870446,0.005,2.1793e-19,1.0,-8.99955718016,-8.99955718016,-8.99955718016,300.0,1.0,11.2039,0.6,200.000000102,1.0,0.005,100,0.005
500.0,-9.13037,,400,197.609017148,0.00615613,19.6408,-21.461,218.084382008,4.82323e-06,1.20564e-05,23.5269,-12.8581152277,-12.8581152277,-11.455771294,8.77952954677,4.2545,19.0448,0.6,144.129339022,45.5605,0.0184329,100,0.00333333
500.0,23.7905,1,400,93.2436376442,0.0112794,3698.61,20.2654,93.2436376442,1.87275e-06,0.000101959,266.821,-9.20020346999,-9.20020346999,-9.20020346999,89.855485404,15.0573,2.40793,0.6,23.1579563184,4.45159,0.044301,100,0.0025
