AvgEpLen,Bound,VarRet,VarDiscRet,VarJ,BatchSize,MaxNormIw,ESSClassic,MinNormIw,VanillaAvgRet,IterType,Delta,MinVanillaIw,VarNormIw,VarVanillaIw,AvgDiscRet,J,AvgNormIw,AvgRet,eRenyi2,EpsThisIter,AvgVanillaIw,MaxVanillaIw,ESSRenyi
500.0,-1346.02,139465.810687,139465.810687,87.9217,100,0.0330271,47.6538779677,3.99244e-09,-1440.71148367,1,0.7,4.4783e-07,0.000110956,1.39605,-1440.71148367,-1157.77,0.01,-1440.71148367,2.11167,100,1.1217,3.70463,47.3559265926
500.0,-1286.44,55304.5755917,55304.5755917,60.098,100,0.0207561,81.5034693172,0.000310305,-1198.7602795,1,0.7,0.033033,2.29234e-05,0.259775,-1198.7602795,-1141.97,0.01,-1198.7602795,1.21869,100,1.06453,2.20955,82.0552549461
500.0,-1225.92,1644.53332136,1644.53332136,43.1774,100,0.0178609,95.231148806,0.00502687,-1132.76782981,1,0.7,0.501381,5.05822e-06,0.0503198,-1132.76782981,-1128.55,0.01,-1132.76782981,1.04682,100,0.997403,1.78145,95.5276311981
500.0,-1261.98,18682.4106799,18682.4106799,140.476,100,0.040985,78.7563650629,0.00030311,-1150.62507585,1,0.7,0.0298187,2.72463e-05,0.263685,-1150.62507585,-1122.25,0.01,-1150.62507585,1.1857,100,0.983759,4.03193,84.3380730348
500.0,-1247.7,12588.3382192,12588.3382192,195.481,100,0.0330684,78.1935984982,0.00142227,-1128.45104447,1,0.7,0.149821,2.81694e-05,0.31258,-1128.45104447,-1104.75,0.01,-1128.45104447,1.24121,100,1.0534,3.48341,80.5663360658
500.0,-1273.26,32077.8552089,32077.8552089,80.4522,100,0.0169616,90.8397545851,0.00248925,-1156.00637606,1,0.7,0.245229,1.01858e-05,0.0988562,-1156.00637606,-1138.65,0.01,-1156.00637606,1.09267,100,0.985153,1.67097,91.5187631505
500.0,-1134.96,9513.62272104,9513.62272104,444.835,100,0.148681,17.4612058165,2.56854e-06,-1114.29420008,1,0.7,0.000341826,0.000477473,8.45641,-1114.29420008,-967.587,0.01,-1114.29420008,3.68714,100,1.33082,19.7868,27.1212603631
500.0,-1252.77,26814.323475,26814.323475,174.764,100,0.0229205,86.1985428293,0.00199431,-1130.27614867,1,0.7,0.193211,1.6173e-05,0.151799,-1130.27614867,-1115.75,0.01,-1130.27614867,1.13242,100,0.968811,2.22056,88.3068442529
500.0,-1194.78,37885.697347,37885.697347,614.883,100,0.182327,20.7274363152,0.000197971,-1119.01604709,1,0.7,0.0198035,0.000386315,3.86563,-1119.01604709,-993.752,0.01,-1119.01604709,2.44942,100,1.00032,18.2386,40.8259839235
500.0,-1039.14,74940.5116047,74940.5116047,321.973,100,0.137717,14.2877538365,4.66391e-13,-1051.02987761,1,0.7,4.49344e-11,0.00060596,5.62472,-1051.02987761,-767.232,0.01,-1051.02987761,4.47889,100,0.963449,13.2683,22.3269774019
500.0,-916.983,119064.737931,119064.737931,172.367,100,0.0583453,36.4012268225,4.90583e-06,-910.755733052,1,0.7,0.00045214,0.000176481,1.49906,-910.755733052,-720.398,0.01,-910.755733052,2.34587,100,0.921639,5.37733,42.628090465
500.0,-875.211,104999.481573,104999.481573,147.204,100,0.0381194,52.1378432075,8.71555e-05,-826.207587891,1,0.7,0.00896639,9.27265e-05,0.981407,-826.207587891,-701.866,0.01,-826.207587891,1.82307,100,1.02878,3.92165,54.8525274929
500.0,-823.1,32063.435185,32063.435185,115.629,100,0.0371221,66.6570976145,0.000977294,-722.675201329,1,0.7,0.0954739,5.05268e-05,0.482215,-722.675201329,-673.64,0.01,-722.675201329,1.35431,100,0.976921,3.62654,73.8384078889
500.0,-813.649,41948.0294087,41948.0294087,123.397,100,0.0349527,70.4232304447,0.000729513,-712.080151,1,0.7,0.0704592,4.24228e-05,0.39574,-712.080151,-665.219,0.01,-712.080151,1.33495,100,0.965839,3.37587,74.9091742978
500.0,-797.527,39988.3769928,39988.3769928,87.1775,100,0.0196971,87.2236145201,0.00115383,-687.485561526,1,0.7,0.118641,1.47958e-05,0.156432,-687.485561526,-657.327,0.01,-687.485561526,1.19102,100,1.02824,2.02533,83.9618639784
500.0,-777.474,41226.9199706,41226.9199706,83.201,100,0.0230305,79.2775155869,0.000772319,-673.783261778,1,0.7,0.0760579,2.64032e-05,0.256066,-673.783261778,-635.18,0.01,-673.783261778,1.22759,100,0.984799,2.26804,81.4606937427
500.0,-770.585,22522.7364125,22522.7364125,106.036,100,0.0250104,91.6905800403,0.00317807,-647.470977758,1,0.7,0.329165,9.15401e-06,0.0982,-647.470977758,-636.721,0.01,-647.470977758,1.08654,100,1.03574,2.59042,92.0348855835
500.0,-694.675,6869.53006567,6869.53006567,81.4073,100,0.0254671,71.248201494,0.000458218,-635.296903315,1,0.7,0.050565,4.0762e-05,0.496378,-635.296903315,-611.105,0.01,-635.296903315,1.38437,100,1.10352,2.81033,72.234807765
500.0,-767.286,25864.8227808,25864.8227808,113.406,100,0.0186202,90.0673442595,0.00170031,-647.299360881,1,0.7,0.171215,1.11394e-05,0.112951,-647.299360881,-630.883,0.01,-647.299360881,1.12914,100,1.00697,1.87499,88.5633215638
500.0,-680.625,5874.09587322,5874.09587322,90.8369,100,0.0631093,55.7771482501,0.000365809,-626.660674106,1,0.7,0.0357134,8.00858e-05,0.763326,-626.660674106,-599.073,0.01,-626.660674106,1.50415,100,0.976287,6.16128,66.4829193365
500.0,-680.177,7037.17060956,7037.17060956,71.0752,100,0.0172083,90.2833971483,0.00237329,-605.621945186,1,0.7,0.244218,1.08711e-05,0.115114,-605.621945186,-595.133,0.01,-605.621945186,1.12838,100,1.02903,1.77078,88.6226504894
500.0,-639.342,3267.40651075,3267.40651075,64.7497,100,0.0348157,62.2406512337,1.82172e-06,-600.656278236,1,0.7,0.000169381,6.12795e-05,0.529767,-600.656278236,-578.07,0.01,-600.656278236,1.44929,100,0.929789,3.23712,68.9991367508
500.0,-622.055,2531.51942032,2531.51942032,127.506,100,0.32129,6.88010845089,2.3666e-17,-592.382746921,1,0.7,1.53432e-15,0.00136714,5.74642,-592.382746921,-569.782,0.01,-592.382746921,1.0,100,0.648325,20.83,99.9998569491
500.0,-645.385,6098.54465947,6098.54465947,68.8535,100,0.0571048,58.8744629373,0.000252563,-592.187243458,1,0.7,0.0255235,7.05585e-05,0.720595,-592.187243458,-569.071,0.01,-592.187243458,1.35606,100,1.01058,5.7709,73.7431259826
