ESSRenyi,Bound,AvgEpLen,VarDiscRet,eRenyi2,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,MaxNormIw,AvgNormIw,VarRet,IterType,VarNormIw,Delta,J,BatchSize,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,MinVanillaIw,AvgDiscRet,MinNormIw,ESSClassic
84.3821881991,-150.665,45.33,4143.16953978,1.18508,2.7497,0.206907,-124.317717803,0.0251212,0.01,4143.16953978,1,1.72697e-05,0.7,-115.065,100,28.994,1.09457,100,-124.317717803,0.0711824,-124.317717803,0.00065032,85.3993010069
87.0269252456,-145.458,38.07,2987.3633346,1.14907,1.64819,0.158758,-121.157166491,0.0164311,0.01,2987.3633346,1,1.5778e-05,0.7,-111.423,100,8.4946,1.00309,100,-121.157166491,0.0479932,-121.157166491,0.000478452,86.4900396344
88.1325346647,-146.509,28.54,2845.81893835,1.13465,1.70653,0.132521,-116.852597157,0.0180079,0.01,2845.81893835,1,1.47565e-05,0.7,-111.788,100,24.8429,0.947656,100,-116.852597157,0.117343,-116.852597157,0.00123825,87.2532238367
93.4580330538,-143.178,23.15,1391.31783728,1.07,1.47069,0.0831955,-113.335749794,0.0149689,0.01,1391.31783728,1,8.61864e-06,0.7,-111.006,100,21.2279,0.982495,100,-113.335749794,0.275397,-113.335749794,0.00280303,92.1383510389
95.2342612324,-116.217,18.29,16.7180882745,1.05004,1.48769,0.0520164,-108.118629949,0.0146168,0.01,16.7180882745,1,5.02132e-06,0.7,-107.627,100,3.26282,1.0178,100,-108.118629949,0.23643,-108.118629949,0.00232296,95.2643087054
95.1397198141,-123.268,21.78,133.317654452,1.05109,1.44279,0.0730658,-109.579413078,0.0143453,0.01,133.317654452,1,7.22316e-06,0.7,-108.555,100,4.22978,1.00576,100,-109.579413078,0.223402,-109.579413078,0.00222123,93.3263061874
97.2938203069,-115.886,16.4,12.8161540719,1.02781,1.41694,0.0257692,-107.652619081,0.0141885,0.01,12.8161540719,1,2.5839e-06,0.7,-107.421,100,3.19072,0.998648,100,-107.652619081,0.488774,-107.652619081,0.00489436,97.5057585586
97.4177458624,-114.893,17.29,7.13851255774,1.02651,1.42277,0.0323339,-107.390639466,0.0146202,0.01,7.13851255774,1,3.41428e-06,0.7,-107.169,100,2.4115,0.97315,100,-107.390639466,0.359535,-107.390639466,0.00369455,96.7303764571
93.5231547796,-115.677,17.68,15.2318484328,1.06925,1.61852,0.0906759,-107.665226296,0.0161965,0.01,15.2318484328,1,9.08031e-06,0.7,-107.079,100,3.16368,0.999299,100,-107.665226296,0.359509,-107.665226296,0.00359761,91.7519472196
97.3102758259,-115.36,16.44,8.59425763247,1.02764,1.32911,0.0344194,-107.589431998,0.0134693,0.01,8.59425763247,1,3.53485e-06,0.7,-107.348,100,2.49423,0.986771,100,-107.589431998,0.407047,-107.589431998,0.00412504,96.6187718458
98.575888473,-115.274,16.8,7.49515573547,1.01445,1.3672,0.0176235,-107.644484712,0.013777,0.01,7.49515573547,1,1.7895e-06,0.7,-107.534,100,2.61401,0.992385,100,-107.644484712,0.687664,-107.644484712,0.00692941,98.2592187164
98.9944437082,-114.694,17.14,8.93837938097,1.01016,1.49047,0.0123426,-107.03517447,0.0149123,0.01,8.93837938097,1,1.23553e-06,0.7,-106.957,100,2.95528,0.999488,100,-107.03517447,0.676493,-107.03517447,0.00676839,98.7916012421
