VarRet,AvgVanillaIw,MinNormIw,Delta,VarVanillaIw,J,AvgRet,VarDiscRet,IterType,VarJ,AvgDiscRet,Bound,AvgNormIw,MaxVanillaIw,ESSClassic,ESSRenyi,AvgEpLen,MinVanillaIw,EpsThisIter,eRenyi2,VanillaAvgRet,BatchSize,MaxNormIw,VarNormIw
22396.0299037,1.10254,2.61206e-26,0.7,8.35875,-79.7657,-313.050702843,22396.0299037,1,83.5535,-313.050702843,-154.242,0.01,12.6587,12.8081086581,13.4444187941,385.49,2.87989e-24,100,7.43803,-313.050702843,100,0.114815,0.000687632
7025.97041453,0.996616,8.89356e-05,0.7,0.480918,-76.1828,-93.1439495002,7025.97041453,1,63.1756,-93.1439495002,-108.566,0.01,2.74211,67.5973242319,71.1130884037,128.3,0.00886346,100,1.40621,-93.1439495002,100,0.0275142,4.8419e-05
8239.17720141,0.927986,8.89605e-20,0.7,1.1105,-72.8983,-91.700706439,8239.17720141,1,37.2285,-91.700706439,-112.394,0.01,3.20413,43.9241344099,47.8060832194,125.42,8.25541e-18,100,2.09178,-91.700706439,100,0.0345278,0.000128955
6029.85277271,1.0421,0.000649343,0.7,0.324119,-76.831,-84.7642389536,6029.85277271,1,55.0696,-84.7642389536,-107.738,0.01,2.50986,77.191645359,78.0608949962,117.42,0.0676679,100,1.28105,-84.7642389536,100,0.0240847,2.98462e-05
3770.60155456,1.02581,0.0028378,0.7,0.0810235,-74.3617,-76.8983610336,3770.60155456,1,48.0055,-76.8983610336,-102.981,0.01,1.47033,92.9171207174,91.0503395471,107.73,0.291103,100,1.09829,-76.8983610336,100,0.0143334,7.69979e-06
7098.58080712,0.960055,0.000387467,0.7,0.175176,-85.597,-89.4842113738,7098.58080712,1,76.0294,-89.4842113738,-114.951,0.01,2.58063,84.1640218464,86.5417432028,122.54,0.0371989,100,1.15551,-89.4842113738,100,0.02688,1.90057e-05
6083.92812133,1.06209,0.00326535,0.7,0.130335,-78.64,-82.5382862046,6083.92812133,1,70.2972,-82.5382862046,-107.601,0.01,2.31888,89.735450024,88.9156657666,113.89,0.346809,100,1.12466,-82.5382862046,100,0.0218332,1.15542e-05
9268.64018306,0.978353,1.99871e-06,0.7,1.01155,-79.0973,-94.8667112875,9268.64018306,1,76.2846,-94.8667112875,-116.926,0.01,3.23481,48.8700287528,52.1135488575,128.46,0.000195545,100,1.91889,-94.8667112875,100,0.0330639,0.000105681
4949.29221558,1.09501,0.00422174,0.7,1.28969,-73.8501,-78.7537762314,4949.29221558,1,59.8045,-78.7537762314,-103.982,0.01,11.2685,48.4299962403,82.1327350128,109.88,0.462286,100,1.21754,-78.7537762314,100,0.102908,0.000107559
9315.4347158,1.02901,5.03992e-05,0.7,0.551514,-83.0388,-93.3303698786,9315.4347158,1,83.7168,-93.3303698786,-116.583,0.01,2.51328,65.9782366502,66.2758350758,126.98,0.0051861,100,1.50885,-93.3303698786,100,0.0244244,5.2086e-05
2601.68033492,1.01729,0.00368615,0.7,0.0656488,-71.4953,-72.9162961526,2601.68033492,1,45.1956,-72.9162961526,-99.5586,0.01,1.52794,94.0909695657,94.6918392342,103.16,0.37499,100,1.05606,-72.9162961526,100,0.0150197,6.34358e-06
8297.46481459,1.05031,0.00121444,0.7,0.119566,-83.9636,-89.3640147522,8297.46481459,1,82.3378,-89.3640147522,-113.438,0.01,1.59518,90.3095881679,85.8444669944,121.95,0.127554,100,1.1649,-89.3640147522,100,0.0151877,1.08386e-05
6050.8039907,0.929029,0.000399955,0.7,0.391714,-74.2039,-83.7836494923,6050.8039907,1,49.3579,-83.7836494923,-106.173,0.01,2.3713,68.9984049249,72.9662628559,115.79,0.0371569,100,1.3705,-83.7836494923,100,0.0255245,4.53848e-05
6078.76759387,0.96031,1.53808e-05,0.7,0.662619,-69.3761,-82.8695012432,6078.76759387,1,28.6499,-82.8695012432,-104.516,0.01,2.61177,58.4337735535,60.3922548299,114.76,0.00147703,100,1.65584,-82.8695012432,100,0.0271971,7.18524e-05
6114.02593607,1.04613,0.00237662,0.7,0.16521,-75.7264,-81.343823929,6114.02593607,1,63.8188,-81.343823929,-105.53,0.01,1.77526,86.9978965553,83.9507136544,112.57,0.248624,100,1.19118,-81.343823929,100,0.0169699,1.50963e-05
6109.31874487,1.01715,0.00122863,0.7,0.164744,-77.2599,-81.5552706304,6109.31874487,1,68.7556,-81.5552706304,-106.237,0.01,2.27747,86.3824635304,88.8097831898,112.65,0.12497,100,1.126,-81.5552706304,100,0.0223907,1.59235e-05
3777.72064084,1.00535,0.00303456,0.7,0.0604545,-73.4683,-75.4357302448,3777.72064084,1,53.8654,-75.4357302448,-101.688,0.01,1.54115,94.4095752967,93.6318232259,105.85,0.305078,100,1.06801,-75.4357302448,100,0.0153296,5.98131e-06
3776.30989367,0.962927,0.00567374,0.7,0.0278352,-75.1636,-76.0708934963,3776.30989367,1,59.1264,-76.0708934963,-102.95,0.01,1.52677,97.1138054035,96.5861437484,107.57,0.54634,100,1.03535,-76.0708934963,100,0.0158555,3.00198e-06
9221.37800573,0.990993,1.40131e-14,0.7,1.32646,-72.5055,-95.9647537318,9221.37800573,1,31.8684,-95.9647537318,-113.637,0.01,3.42945,42.7867035804,44.0797901979,130.26,1.38869e-12,100,2.26861,-95.9647537318,100,0.0346062,0.000135068
4929.21046613,1.06368,0.0032394,0.7,0.0840338,-75.946,-77.9480180351,4929.21046613,1,61.782,-77.9480180351,-104.513,0.01,1.60661,93.1506136182,91.3779179066,109.36,0.344568,100,1.09436,-77.9480180351,100,0.0151042,7.42731e-06
8281.59909067,1.00082,1.87118e-06,0.7,0.388483,-75.5526,-88.7450408138,8281.59909067,1,65.0363,-88.7450408138,-107.527,0.01,2.35522,72.2561552468,72.9435991544,121.71,0.000187273,100,1.37092,-88.7450408138,100,0.0235328,3.87844e-05
4972.2207266,1.01263,0.00344643,0.7,0.0914967,-77.0963,-80.1725291027,4972.2207266,1,56.051,-80.1725291027,-105.729,0.01,2.03096,91.8833232911,90.9559692468,111.79,0.348994,100,1.09943,-80.1725291027,100,0.0200564,8.92291e-06
2591.70567688,0.993006,0.000936687,0.7,0.195868,-66.728,-71.0262299007,2591.70567688,1,25.5012,-71.0262299007,-96.3697,0.01,1.78159,83.5665874598,84.8726309752,100.98,0.0930136,100,1.17824,-71.0262299007,100,0.0179414,1.98637e-05
6058.91351361,0.92772,0.000233625,0.7,0.267635,-73.2616,-83.1693232791,6058.91351361,1,57.2353,-83.1693232791,-104.003,0.01,1.83113,76.4611888318,78.9013380558,115.57,0.0216738,100,1.26741,-83.1693232791,100,0.0197379,3.10963e-05
3781.7295036,0.980323,0.00111267,0.7,0.189639,-70.6308,-76.1929552396,3781.7295036,1,36.4167,-76.1929552396,-100.686,0.01,2.24887,83.6571648085,82.5523315112,106.42,0.109077,100,1.21135,-76.1929552396,100,0.02294,1.97328e-05
8202.49929702,1.05758,0.00210146,0.7,0.334635,-83.4799,-91.4690388192,8202.49929702,1,71.0901,-91.4690388192,-114.265,0.01,3.31321,77.1486604043,78.6866178003,125.51,0.222245,100,1.27086,-91.4690388192,100,0.0313283,2.99191e-05
4969.66567861,1.02296,0.00786486,0.7,0.0817127,-77.7391,-79.9972126427,4969.66567861,1,57.6407,-79.9972126427,-105.905,0.01,3.05966,92.8242591316,94.0010856182,111.69,0.804546,100,1.06382,-79.9972126427,100,0.0299098,7.80855e-06
