VarRet,ESSRenyi,MaxNormIw,AvgRet,VarVanillaIw,Bound,EpsThisIter,AvgDiscRet,AvgEpLen,MinVanillaIw,J,IterType,MaxVanillaIw,BatchSize,Delta,VarNormIw,AvgVanillaIw,VarDiscRet,VarJ,AvgNormIw,MinNormIw,eRenyi2,ESSClassic,VanillaAvgRet
153715.045746,17.2370777931,0.299283,-1485.85436731,17.6851,-1200.02,100,-1485.85436731,500.0,1.22146e-23,-959.461,1,38.3911,100,0.8,0.00107476,1.28277,153715.045746,947.621,0.01,9.52205e-26,5.80145,8.59097607161,-1485.85436731
66526.0709876,12.3496798974,0.241675,-1113.18604852,20.4645,-1050.47,100,-1113.18604852,500.0,8.10752e-09,-770.894,1,30.5528,100,0.8,0.00128046,1.26421,66526.0709876,410.816,0.01,6.41312e-11,8.09738,7.31179867399,-1113.18604852
76145.9192512,21.4345995184,0.126191,-982.728867071,8.89168,-901.765,100,-982.728867071,500.0,9.9946e-10,-688.839,1,16.3261,100,0.8,0.000531216,1.29377,76145.9192512,352.625,0.01,7.72518e-12,4.66535,15.9769086574,-982.728867071
78309.9013472,40.8563668679,0.0509215,-834.04545151,1.63242,-838.878,100,-834.04545151,500.0,5.25499e-06,-684.759,1,5.4804,100,0.8,0.000140932,1.07625,78309.9013472,150.378,0.01,4.88271e-08,2.4476,41.749755875,-834.04545151
39408.8898757,52.7199790342,0.0426322,-717.767536424,1.15568,-768.422,100,-717.767536424,500.0,0.00363799,-633.36,1,4.48432,100,0.8,0.000104453,1.05186,39408.8898757,105.554,0.01,3.45862e-05,1.89681,49.162280578,-717.767536424
57735.9640887,71.9108397648,0.0389684,-664.747934145,0.586547,-739.243,100,-664.747934145,500.0,0.0714353,-623.395,1,4.19278,100,0.8,5.06669e-05,1.07594,57735.9640887,127.121,0.01,0.000663932,1.39061,66.5955259167,-664.747934145
6072.63083381,44.1791220852,0.062634,-614.34622407,2.04582,-631.901,100,-614.34622407,500.0,2.89038e-05,-566.824,1,6.96579,100,0.8,0.000165405,1.11214,6072.63083381,85.7701,0.01,2.59893e-07,2.26351,37.9145912725,-614.34622407
7416.67093135,73.3313390426,0.0292665,-608.851730297,0.470531,-655.822,100,-608.851730297,500.0,0.0167563,-586.969,1,2.78479,100,0.8,5.19691e-05,0.951528,7416.67093135,62.0562,0.01,0.000176099,1.36367,66.0286486039,-608.851730297
4858.54586044,62.2000831944,0.0424414,-589.012392574,0.702812,-622.366,100,-589.012392574,500.0,0.00912184,-561.485,1,4.27861,100,0.8,6.91533e-05,1.00812,4858.54586044,66.8822,0.01,9.04835e-05,1.60771,59.3606455587,-589.012392574
4754.93051072,78.6563085654,0.0289737,-576.122548343,0.315858,-619.922,100,-576.122548343,500.0,0.0771238,-561.651,1,3.04168,100,0.8,2.86598e-05,1.04981,4754.93051072,75.2327,0.01,0.000734648,1.27135,77.8979073213,-576.122548343
