EpsThisIter,eRenyi2,J,AvgVanillaIw,MaxNormIw,IterType,ESSClassic,MinVanillaIw,VarJ,ESSRenyi,VanillaAvgRet,BatchSize,VarVanillaIw,AvgRet,AvgDiscRet,VarNormIw,AvgNormIw,MaxVanillaIw,VarRet,VarDiscRet,Delta,MinNormIw,AvgEpLen,Bound
100,7.67373,-84.2389,1.66269,0.0834531,1,18.1822003976,3.4329e-24,78.2094,13.0314797723,-316.368276557,100,12.5658,-316.368276557,-316.368276557,0.000454534,0.01,13.8757,22064.8357928,22064.8357928,0.8,2.06467e-26,388.84,-142.015
100,1.44707,-77.0441,1.08407,0.0239131,1,68.8443010994,0.050676,63.0362,69.1053792184,-91.5749044953,100,0.53722,-91.5749044953,-91.5749044953,4.57124e-05,0.01,2.59236,5922.12241325,5922.12241325,0.8,0.000467459,127.07,-102.134
100,1.6295,-76.638,0.969294,0.0779032,1,52.5455915687,0.0322733,54.4509,61.3684628907,-88.1235565127,100,0.85707,-88.1235565127,-88.1235565127,9.12232e-05,0.01,7.55111,5940.84671243,5940.84671243,0.8,0.000332957,123.19,-103.262
100,1.20078,-77.6571,0.978011,0.0224496,1,81.6292609629,0.162523,66.4843,83.2794723236,-82.2891008462,100,0.217437,-82.2891008462,-82.2891008462,2.27324e-05,0.01,2.1956,6057.84203175,6057.84203175,0.8,0.00166177,114.63,-100.512
100,1.36896,-69.8549,0.988329,0.0215442,1,72.3777192039,0.0429769,33.4528,73.0482475351,-79.6162056711,100,0.37655,-79.6162056711,-79.6162056711,3.85496e-05,0.01,2.12927,4908.55082946,4908.55082946,0.8,0.000434844,111.41,-94.2578
100,2.10418,-67.2084,1.17992,0.0252041,1,54.5531089214,3.27979e-12,30.5438,47.5244545112,-85.124179347,100,1.17153,-85.124179347,-85.124179347,8.41491e-05,0.01,2.97388,7229.23912673,7229.23912673,0.8,2.77967e-14,116.93,-97.4626
100,1.33424,-72.1125,0.97846,0.0203691,1,71.5664926071,0.0213183,45.1905,74.948862813,-77.6789508621,100,0.384213,-77.6789508621,-77.6789508621,4.01315e-05,0.01,1.99304,4968.45100957,4968.45100957,0.8,0.000217876,109.18,-96.2044
100,1.79079,-70.2795,0.953234,0.0328751,1,58.1286740121,0.000104456,48.9562,55.8412036009,-80.7460265368,100,0.661136,-80.7460265368,-80.7460265368,7.27598e-05,0.01,3.13376,6116.54805377,6116.54805377,0.8,1.09581e-06,111.95,-98.1907
100,1.50489,-67.0298,1.01104,0.024651,1,66.5116023198,0.0085115,26.4066,66.4499726512,-77.0381330007,100,0.519878,-77.0381330007,-77.0381330007,5.08583e-05,0.01,2.49233,4965.04068526,4965.04068526,0.8,8.41853e-05,108.14,-92.6159
100,1.13585,-67.739,0.990618,0.0191511,1,89.4248918575,0.147449,34.2325,88.0399085325,-70.8331000005,100,0.117221,-70.8331000005,-70.8331000005,1.19452e-05,0.01,1.89714,2580.69724742,2580.69724742,0.8,0.00148846,100.69,-89.9676
