Delta,MaxNormIw,IterType,AvgRet,VarDiscRet,VarRet,Bound,AvgVanillaIw,EpsThisIter,MaxVanillaIw,ESSClassic,AvgDiscRet,eRenyi2,MinVanillaIw,J,ESSRenyi,BatchSize,VarJ,VarVanillaIw,AvgNormIw,MinNormIw,VanillaAvgRet,AvgEpLen,VarNormIw
0.8,0.123223,1,-313.050702843,22396.0299037,22396.0299037,-173.28,1.47662,100,18.1954,11.8703981103,-313.050702843,11.0387,,-103.983,9.05904001179,100,89.3253,16.3516,0.01,,-313.050702843,385.49,0.000749931
0.8,0.104089,1,-158.327458915,14549.8727328,14549.8727328,-155.551,1.07964,100,11.2378,25.606752872,-158.327458915,3.66468,0.00167772,-115.624,27.2875334157,100,108.652,3.42058,0.01,1.55397e-05,-158.327458915,208.58,0.000293457
0.8,0.0364478,1,-110.820157584,7546.43419812,7546.43419812,-120.948,1.18074,100,4.30355,60.3689432402,-110.820157584,1.81566,4.75834e-07,-92.8449,55.076322253,100,57.4029,0.924481,0.01,4.02995e-09,-110.820157584,150.94,6.63112e-05
0.8,0.776479,,-110.820157584,12818.1108878,7546.43419812,-inf,27065.4,100,2.10157e+06,1.53207545835,-129.16389952,nan,0.232366,-101.493,nan,200,60.0852,4.75565e+10,0.01,8.58536e-08,-110.820157584,150.94,0.00649202
0.8,0.0230987,1,-109.408986084,6420.67847735,6420.67847735,-114.051,1.01976,100,4.71104,88.3972424874,-109.408986084,2.42166,0.000228352,-91.1005,82.5879705379,200,53.084,1.31951,0.005,1.11963e-06,-109.408986084,150.17,3.17215e-05
0.8,0.01,2,-128.407817472,11847.3422319,11847.3422319,-149.265,1.0,100,1.0,100.0,-128.407817472,1.0,1.0,-128.408,200.0,200,108.3,,0.01,0.01,-128.407817472,171.0,3.50449e-18
0.8,0.33468,,-109.408986084,7640.12870206,6420.67847735,-inf,65.4238,100,4379.21,6.51591134105,-111.044677248,nan,0.212267,-104.718,nan,300,308.858,127738.0,0.005,1.62225e-05,-109.408986084,150.17,0.000746083
0.8,0.0260051,1,-120.117620612,9346.98072136,9346.98072136,-108.9,0.891337,100,6.95378,87.3136130367,-120.117620612,3.43226,3.705e-07,-86.5911,87.4058433886,300,49.8692,1.94174,0.00333333,1.38556e-09,-120.117620612,162.2,2.7156e-05
0.8,0.01,2,-116.772358741,10462.0227471,10462.0227471,-137.629,1.0,100,1.0,100.0,-116.772358741,1.0,1.0,-116.772,300.0,300,101.771,,0.01,0.01,-116.772358741,156.51,3.50449e-18
0.8,0.005,2,-124.205169247,12176.9761423,12176.9761423,-135.237,1.0,100,1.0,200.000000102,-124.205169247,1.0,1.0,-120.489,300.0,300,105.925,,0.005,0.005,-124.205169247,165.42,2.1793e-19
0.8,0.829095,,-120.117620612,6605.09103696,9346.98072136,-inf,10851.4,100,2.69906e+06,1.44561705152,-103.681475052,0.000955988,0.143807,-108.397,418415.41573,400,47.3182,2.44002e+10,0.00333333,4.41745e-08,-120.117620612,162.2,0.00230238
0.8,0.0294615,1,-116.422440937,8308.14165458,8308.14165458,-110.027,0.975884,100,11.5004,113.274074074,-116.422440937,3.41045,2.44429e-11,-90.7679,117.286731502,400,75.7895,2.41668,0.0025,6.26174e-14,-116.422440937,158.35,1.586e-05
0.8,0.01,2,-106.165039418,6779.60056869,6779.60056869,-127.019,1.0,100,1.0,100.0,-106.165039418,1.0,1.0,-106.165,400.0,400,81.9256,,0.01,0.01,-106.165039418,144.27,3.50449e-18
0.8,0.005,2,-110.827308441,8584.58671438,8584.58671438,-123.244,1.0,100,1.0,200.000000102,-110.827308441,1.0,1.0,-108.496,400.0,400,87.2394,,0.005,0.005,-110.827308441,150.01,2.1793e-19
0.8,0.00333333,2,-110.041450047,8572.75060142,8572.75060142,-121.053,1.0,100,1.0,299.999969474,-110.041450047,1.0,1.0,-109.011,400.0,400,88.9007,,0.00333333,0.00333333,-110.041450047,148.98,5.43914e-20
0.8,0.0346781,1,-112.192614677,9564.35959471,9564.35959471,-110.202,1.07622,100,14.9284,80.9362852412,-112.192614677,4.64354,9.80134e-13,-87.7293,86.141143144,400,78.5096,4.57741,0.0025,2.27681e-15,-112.192614677,151.52,2.47002e-05
