J,VarDiscRet,VarNormIw,ESSRenyi,AvgDiscRet,MaxVanillaIw,AvgNormIw,VarJ,MinNormIw,VarRet,BatchSize,AvgRet,VarVanillaIw,MinVanillaIw,VanillaAvgRet,MaxNormIw,EpsThisIter,Bound,IterType,eRenyi2,Delta,ESSClassic,AvgEpLen,AvgVanillaIw
-1040.05,130372.419906,0.000607849,15.2956042365,-1385.32358895,28.9469,0.01,1103.86,5.21029e-14,130372.419906,100,-1385.32358895,10.9758,7.00137e-12,-1385.32358895,0.215417,100,-1207.19,1,6.53783,0.9,14.2496716837,500.0,1.34376
-737.304,43791.1400839,0.00432114,7.99368845506,-1148.23892399,85.6028,0.01,855.518,9.01035e-14,43791.1400839,100,-1148.23892399,74.5616,1.18359e-11,-1148.23892399,0.651672,100,-968.363,1,12.5099,0.9,2.28418796894,500.0,1.31359
-1172.76,115695.006429,0.0090788,113897548781.0,-1020.89241069,8.44888e+10,0.01,532.986,1.31644e-13,43791.1400839,200,-1148.23892399,7.14913e+19,0.0116819,-1148.23892399,0.95211,100,-inf,,1.75596e-09,0.9,1.1003510602,500.0,8.87386e+08
-839.87,77204.036131,0.00101764,10.4499438624,-1207.65601253,135.964,0.005,1443.86,1.78843e-19,77204.036131,200,-1207.65601253,99.8853,5.60307e-17,-1207.65601253,0.433979,100,-1042.13,1,19.1389,0.9,4.81904379739,500.0,1.56648
-1015.13,121291.880349,3.50449e-18,200.0,-1015.12810452,1.0,0.01,346.524,0.01,121291.880349,200,-1015.12810452,,1.0,-1015.12810452,0.01,100,-1080.57,2,1.0,0.9,100.0,500.0,1.0
-689.482,95596.4546543,0.000714199,16.9672931192,-1016.19902696,84.922,0.005,697.848,2.83985e-15,95596.4546543,200,-1016.19902696,42.0457,6.89044e-13,-1016.19902696,0.350001,100,-848.428,1,11.7874,0.9,6.79691940894,500.0,1.21317
-732.756,60850.4147107,3.50449e-18,200.0,-732.755535679,1.0,0.01,245.442,0.01,60850.4147107,200,-732.755535679,,1.0,-732.755535679,0.01,100,-798.095,2,1.0,0.9,100.0,500.0,1.0
-619.747,74195.6540653,6.42629e-05,58.7750260958,-735.812409839,10.8073,0.005,121.21,6.2271e-10,74195.6540653,200,-735.812409839,2.92866,1.32935e-07,-735.812409839,0.0506249,100,-704.974,1,3.40281,0.9,56.2166997814,500.0,1.06739
-654.67,44894.2497853,3.50449e-18,200.0,-654.670104491,1.0,0.01,210.821,0.01,44894.2497853,200,-654.670104491,,1.0,-654.670104491,0.01,100,-720.019,2,1.0,0.9,100.0,500.0,1.0
-602.137,55720.742523,2.89685e-05,97.7318145844,-662.947339488,4.9602,0.005,70.4058,2.11947e-07,55720.742523,200,-662.947339488,0.958195,3.8547e-05,-662.947339488,0.0272732,100,-668.341,1,2.04642,0.9,92.8958926056,500.0,0.909355
-597.809,2468.16372786,3.50449e-18,200.0,-597.808933042,1.0,0.01,49.4316,0.01,2468.16372786,200,-597.808933042,,1.0,-597.808933042,0.01,100,-621.534,2,1.0,0.9,100.0,500.0,1.0
-573.776,2812.83733962,4.13832e-05,85.0406169276,-600.507551848,8.92897,0.005,61.4284,7.22316e-08,2812.83733962,200,-600.507551848,1.83177,1.51968e-05,-600.507551848,0.0424402,100,-601.898,1,2.35182,0.9,75.5557501854,500.0,1.05195
-581.964,3205.23640493,3.50449e-18,200.0,-581.964485834,1.0,0.01,56.331,0.01,3205.23640493,200,-581.964485834,,1.0,-581.964485834,0.01,100,-613.878,2,1.0,0.9,100.0,500.0,1.0
-511.124,1868.66613001,0.00166451,39.0061027944,-584.335366833,269.793,0.005,393.007,1.11713e-05,1868.66613001,200,-584.335366833,363.64,0.00522153,-584.335366833,0.577217,100,-562.222,1,5.1274,0.9,2.97409089095,500.0,2.33702
-568.989,2229.23689177,3.50449e-18,200.0,-568.989211746,1.0,0.01,46.9781,0.01,2229.23689177,200,-568.989211746,,1.0,-568.989211746,0.01,100,-591.992,2,1.0,0.9,100.0,500.0,1.0
-573.489,2436.49062901,0.000163771,13.2933545989,-570.296837456,191.515,0.005,97.5838,2.35186e-06,1868.66613001,300,-584.335366833,406.774,0.00370654,-584.335366833,0.121519,100,-650.759,,22.5677,0.9,26.6024574306,500.0,7.88002
-554.083,2977.96084092,2.62784e-05,107.841160507,-578.436641807,11.6245,0.00333333,69.2428,2.05433e-06,2977.96084092,300,-578.436641807,2.40958,0.000622073,-578.436641807,0.0383885,100,-584.815,1,2.78187,0.9,89.3609498736,500.0,1.00937
-565.113,1816.75400965,3.50449e-18,300.0,-565.112941872,1.0,0.01,42.4097,0.01,1816.75400965,300,-565.112941872,,1.0,-565.112941872,0.01,100,-587.942,2,1.0,0.9,100.0,500.0,1.0
-563.46,1989.3982413,2.1793e-19,300.0,-561.80765948,1.0,0.005,43.437,0.005,1989.3982413,300,-561.80765948,,1.0,-561.80765948,0.005,100,-579.745,2,1.0,0.9,200.000000102,500.0,1.0
-525.631,1956.04364721,0.000449017,56.0346033797,-565.049726006,166.985,0.00333333,353.147,1.35461e-05,1956.04364721,300,-565.049726006,92.9906,0.00616456,-565.049726006,0.366935,100,-556.396,1,5.35383,0.9,7.2680006207,500.0,1.51694
-555.759,1578.47925206,3.50449e-18,300.0,-555.759451732,1.0,0.01,39.5309,0.01,1578.47925206,300,-555.759451732,,1.0,-555.759451732,0.01,100,-577.641,2,1.0,0.9,100.0,500.0,1.0
-553.416,1693.57696071,2.1793e-19,300.0,-551.072459652,1.0,0.005,40.3133,0.005,1693.57696071,300,-551.072459652,,1.0,-551.072459652,0.005,100,-568.889,2,1.0,0.9,200.000000102,500.0,1.0
-499.126,1440.9634284,0.00069339,22.4343391172,-551.800436107,191.194,0.00333333,367.53,3.26879e-09,1440.9634284,300,-551.800436107,125.213,1.38906e-06,-551.800436107,0.449923,100,-545.325,1,13.3724,0.9,4.74705777136,500.0,1.41649
-536.689,1721.29807531,3.50449e-18,300.0,-536.689086009,1.0,0.01,41.2806,0.01,1721.29807531,300,-536.689086009,,1.0,-536.689086009,0.01,100,-557.803,2,1.0,0.9,100.0,500.0,1.0
-538.082,1589.55743526,2.1793e-19,300.0,-539.474122745,1.0,0.005,40.5069,0.005,1589.55743526,300,-539.474122745,,1.0,-539.474122745,0.005,100,-553.011,2,1.0,0.9,200.000000102,500.0,1.0
-504.714,1581.81555061,0.000178939,55.2958677003,-531.505057219,87.865,0.00333333,187.395,4.38048e-08,1581.81555061,300,-531.505057219,30.7053,1.81458e-05,-531.505057219,0.21211,100,-533.455,1,5.42536,0.9,17.5944463805,500.0,1.38081
-530.534,1457.26832916,3.50449e-18,300.0,-530.534492653,1.0,0.01,37.9828,0.01,1457.26832916,300,-530.534492653,,1.0,-530.534492653,0.01,100,-551.168,2,1.0,0.9,100.0,500.0,1.0
-528.802,1199.63023896,2.1793e-19,300.0,-527.068645328,1.0,0.005,36.3066,0.005,1199.63023896,300,-527.068645328,,1.0,-527.068645328,0.005,100,-543.392,2,1.0,0.9,200.000000102,500.0,1.0
-468.035,1534.23617811,0.00103634,25.5191022859,-525.743965153,243.369,0.00333333,428.343,1.62442e-10,1534.23617811,300,-525.743965153,199.093,7.11993e-08,-525.743965153,0.55525,100,-509.143,1,11.7559,0.9,3.1928536972,500.0,1.46102
-512.411,1464.52027598,3.50449e-18,300.0,-512.411379614,1.0,0.01,38.0772,0.01,1464.52027598,300,-512.411379614,,1.0,-512.411379614,0.01,100,-532.329,2,1.0,0.9,100.0,500.0,1.0
-515.473,1853.67687554,2.1793e-19,300.0,-518.535386451,1.0,0.005,40.6434,0.005,1853.67687554,300,-518.535386451,,1.0,-518.535386451,0.005,100,-530.485,2,1.0,0.9,200.000000102,500.0,1.0
-510.961,1515.45504411,0.00107686,nan,-517.265115305,1.40451e+07,0.00333333,179.832,1.52236e-10,1534.23617811,400,-525.743965153,7.84504e+11,0.00410899,-525.743965153,0.520363,100,-inf,,nan,0.9,3.07394629959,500.0,89969.8
-522.956,1825.10862098,5.13866e-06,218.173429323,-539.729117106,5.50058,0.0025,50.9995,3.18492e-05,1825.10862098,400,-539.729117106,0.81762,0.0127043,-539.729117106,0.0137898,100,-537.96,1,1.8334,0.9,219.764682976,500.0,0.99722
-528.654,1478.19764255,3.50449e-18,400.0,-528.653656275,1.0,0.01,38.2546,0.01,1478.19764255,400,-528.653656275,,1.0,-528.653656275,0.01,100,-549.048,2,1.0,0.9,100.0,500.0,1.0
-525.802,1294.37191276,2.1793e-19,400.0,-522.951444888,1.0,0.005,37.1558,0.005,1294.37191276,400,-522.951444888,,1.0,-522.951444888,0.005,100,-540.635,2,1.0,0.9,200.000000102,500.0,1.0
-523.226,1643.89711708,5.43914e-20,400.0,-518.071971282,1.0,0.00333333,38.4205,0.00333333,1643.89711708,400,-518.071971282,,1.0,-518.071971282,0.00333333,100,-535.529,2,1.0,0.9,299.999969474,500.0,1.0
-510.634,1661.90206547,8.7615e-06,170.526053448,-517.746774456,8.64248,0.0025,60.2583,1.51896e-06,1661.90206547,400,-517.746774456,1.4768,0.000623617,-517.746774456,0.0210507,100,-526.953,1,2.34568,0.9,166.782471846,500.0,1.02639
-519.745,1785.40831286,3.50449e-18,400.0,-519.74461298,1.0,0.01,42.0423,0.01,1785.40831286,400,-519.74461298,,1.0,-519.74461298,0.01,100,-540.679,2,1.0,0.9,100.0,500.0,1.0
-518.483,1726.89036393,2.1793e-19,400.0,-517.221610977,1.0,0.005,41.7155,0.005,1726.89036393,400,-517.221610977,,1.0,-517.221610977,0.005,100,-533.286,2,1.0,0.9,200.000000102,500.0,1.0
-516.562,1611.89193538,5.43914e-20,400.0,-512.718651119,1.0,0.00333333,41.2241,0.00333333,1611.89193538,400,-512.718651119,,1.0,-512.718651119,0.00333333,100,-528.652,2,1.0,0.9,299.999969474,500.0,1.0
-503.144,1617.31571719,9.56536e-06,158.6793268,-512.707766419,6.40725,0.0025,62.0072,4.96252e-07,1617.31571719,400,-512.707766419,1.68237,0.00020812,-512.707766419,0.0152778,100,-519.768,1,2.52081,0.9,158.313610667,500.0,1.04846
-508.705,1525.57755772,3.50449e-18,400.0,-508.704528788,1.0,0.01,38.8629,0.01,1525.57755772,400,-508.704528788,,1.0,-508.704528788,0.01,100,-528.687,2,1.0,0.9,100.0,500.0,1.0
-507.861,1693.42300322,2.1793e-19,400.0,-507.017774992,1.0,0.005,39.9264,0.005,1693.42300322,400,-507.017774992,,1.0,-507.017774992,0.005,100,-522.18,2,1.0,0.9,200.000000102,500.0,1.0
-506.448,1085.82091066,5.43914e-20,400.0,-503.622156322,1.0,0.00333333,37.7499,0.00333333,1085.82091066,400,-503.622156322,,1.0,-503.622156322,0.00333333,100,-518.139,2,1.0,0.9,299.999969474,500.0,1.0
-493.812,1411.44955035,2.02149e-05,137.234347555,-509.952809025,29.6322,0.0025,63.7589,2.58893e-08,1411.44955035,400,-509.952809025,4.65627,1.24252e-05,-509.952809025,0.061742,100,-511.098,1,2.91472,0.9,94.6455785528,500.0,1.19984
-506.788,1566.99482981,3.50449e-18,400.0,-506.7884301,1.0,0.01,39.3869,0.01,1566.99482981,400,-506.7884301,,1.0,-506.7884301,0.01,100,-527.244,2,1.0,0.9,100.0,500.0,1.0
-498.458,1299.58263799,2.1793e-19,400.0,-490.127801156,1.0,0.005,38.5791,0.005,1299.58263799,400,-490.127801156,,1.0,-490.127801156,0.005,100,-512.923,2,1.0,0.9,200.000000102,500.0,1.0
-500.61,1343.41360776,5.43914e-20,400.0,-504.914022358,1.0,0.00333333,38.0108,0.00333333,1343.41360776,400,-504.914022358,,1.0,-504.914022358,0.00333333,100,-512.42,2,1.0,0.9,299.999969474,500.0,1.0
