Bound,MaxNormIw,VarNormIw,AvgEpLen,VarDiscRet,AvgVanillaIw,MinNormIw,MaxVanillaIw,AvgRet,VarRet,AvgDiscRet,ESSRenyi,VanillaAvgRet,Delta,BatchSize,eRenyi2,EpsThisIter,MinVanillaIw,AvgNormIw,VarVanillaIw,ESSClassic,IterType,J,VarJ
-114.821,0.149751,0.00100171,385.49,22396.0299037,1.19596,3.77341e-34,17.9096,-313.050702843,22396.0299037,-313.050702843,9.70752607858,-313.050702843,0.9,100,10.3013,100,4.51284e-32,0.01,14.3276,9.16008281342,1,-70.1928,56.116
-92.6526,0.0551511,0.000202575,129.78,8146.73143112,1.06924,1.13214e-09,5.89698,-94.4496393521,8146.73143112,-94.4496393521,33.0518195899,-94.4496393521,0.9,100,3.02555,100,1.21053e-07,0.01,2.316,33.2723675837,1,-68.4667,30.9003
-100.374,0.111156,0.000148826,123.55,7110.55297513,0.965377,0.000609771,10.7308,-89.4801407595,7110.55297513,-89.4801407595,56.6108142168,-89.4801407595,0.9,100,1.76645,100,0.0588658,0.01,1.38698,40.4305844972,1,-81.8934,80.7334
-85.6798,0.0562589,0.000187115,108.42,4961.28327332,0.804265,1.17338e-07,4.52471,-77.9322217849,4961.28327332,-77.9322217849,41.3280374743,-77.9322217849,0.9,100,2.41966,100,9.43708e-06,0.01,1.21034,35.0577488124,1,-64.0508,28.0982
-83.2001,0.0131645,7.52917e-06,99.92,2569.0532358,1.00726,0.000918069,1.32601,-69.8141452163,2569.0532358,-69.8141452163,93.9919538948,-69.8141452163,0.9,100,1.06392,100,0.0924738,0.01,0.0763896,93.0631793527,1,-68.858,48.4888
-88.8938,0.0287836,1.56754e-05,107.46,4971.20349156,1.06535,0.00282265,3.06647,-76.9239984415,4971.20349156,-76.9239984415,84.3592849731,-76.9239984415,0.9,100,1.18541,100,0.300712,0.01,0.177912,86.5661254409,1,-73.755,57.0202
-83.6648,0.0251069,5.85992e-05,103.49,3796.72216867,0.951793,6.82966e-05,2.38966,-73.5104264393,3796.72216867,-73.5104264393,67.0554878317,-73.5104264393,0.9,100,1.4913,100,0.00650042,0.01,0.530855,63.2858759928,1,-66.6846,30.3447
-84.092,0.0361684,0.000131598,112.54,6135.35567419,1.05088,4.98881e-14,3.80086,-81.1201970518,6135.35567419,-81.1201970518,43.729298769,-81.1201970518,0.9,100,2.2868,100,5.24262e-12,0.01,1.45329,43.4250924719,1,-63.0652,18.0311
-87.654,0.114255,0.00013859,107.37,4974.75542432,1.0442,0.00339674,11.9305,-76.5008020285,4974.75542432,-76.5008020285,72.0959731714,-76.5008020285,0.9,100,1.38704,100,0.354688,0.01,1.51111,42.1578688011,1,-71.2781,51.5651
-91.2436,0.0505167,0.000117585,114.37,7299.93014512,0.78398,3.48543e-07,3.96041,-83.1386081566,7299.93014512,-83.1386081566,45.0015380312,-83.1386081566,0.9,100,2.22215,100,2.73251e-05,0.01,0.722705,46.2088301228,1,-70.5159,59.8234
-78.4357,0.0166328,1.91703e-05,96.04,1353.44467631,1.01198,0.00062469,1.6832,-66.5365804145,1353.44467631,-66.5365804145,84.3740658472,-66.5365804145,0.9,100,1.1852,100,0.0632173,0.01,0.196323,84.0487769794,1,-63.2981,13.6044
-81.8878,0.0224507,4.86793e-05,105.05,3764.08220573,1.06431,8.27125e-10,2.38945,-74.4639319259,3764.08220573,-74.4639319259,63.5033663883,-74.4639319259,0.9,100,1.57472,100,8.80318e-08,0.01,0.55142,67.4797765906,1,-64.4394,14.7913
-inf,0.999571,0.00999135,105.05,7209.91488096,113644.0,3.68261e-08,1.13595e+07,-74.4639319259,3764.08220573,-84.6878343166,nan,-74.4639319259,0.9,200,nan,100,0.418506,0.01,1.29038e+12,1.00085761386,,-59.7268,0.0611766
-83.2269,0.138789,0.000115334,116.29,7257.35118334,1.20971,8.32896e-05,33.579,-84.3982661352,7257.35118334,-84.3982661352,115.078916561,-84.3982661352,0.9,200,1.73794,100,0.0201513,0.005,6.75116,35.7764203496,1,-70.2646,68.8245
-97.7227,0.01,3.50449e-18,116.18,7245.46219742,1.0,0.01,1.0,-83.8179513608,7245.46219742,-83.8179513608,200.0,-83.8179513608,0.9,200,1.0,100,1.0,0.01,,100.0,2,-83.8179,84.6936
-87.2443,0.129691,0.000123414,116.29,7283.09579032,1.91319,7.78296e-05,49.6247,-84.3982661352,7257.35118334,-83.4715088727,156.681999188,-84.3982661352,0.9,300,1.91471,100,0.0297805,0.005,18.0692,33.8302741422,,-73.6393,69.2244
-80.3936,0.08983,3.27313e-05,99.99,2599.90442586,1.10625,0.000141054,29.8124,-69.8457349622,2599.90442586,-69.8457349622,189.428967705,-69.8457349622,0.9,300,1.58371,100,0.0468125,0.00333333,3.60507,76.2196484886,1,-70.2904,63.4229
-88.032,0.01,3.50449e-18,104.82,3776.91379626,1.0,0.01,1.0,-74.1273338377,3776.91379626,-74.1273338377,300.0,-74.1273338377,0.9,300,1.0,100,1.0,0.01,,100.0,2,-74.1273,61.1485
-85.7462,0.005,2.1793e-19,108.72,4954.28962453,1.0,0.005,1.0,-77.7009146683,4954.28962453,-77.7009146683,300.0,-77.7009146683,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-75.9141,65.7658
-79.9173,0.0130867,7.40428e-06,104.9,3773.77364633,1.07798,1.34098e-05,4.23218,-74.2459972344,3773.77364633,-74.2459972344,169.624161832,-74.2459972344,0.9,300,1.76862,100,0.00433665,0.00333333,0.77437,180.270666049,1,-69.2411,45.4446
-82.7911,0.01,3.50449e-18,97.97,2590.98023186,1.0,0.01,1.0,-68.8864212221,2590.98023186,-68.8864212221,300.0,-68.8864212221,0.9,300,1.0,100,1.0,0.01,,100.0,2,-68.8864,50.6465
-86.1957,0.005,2.1793e-19,116.04,7252.97626638,1.0,0.005,1.0,-83.8407451476,7252.97626638,-83.8407451476,300.0,-83.8407451476,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-76.3636,70.2045
-81.5692,0.0360231,5.63982e-06,98.68,2586.29738865,1.03918,4.21176e-05,11.2303,-69.2472512992,2586.29738865,-69.2472512992,238.613502304,-69.2472512992,0.9,300,1.25726,100,0.0131303,0.00333333,0.548135,199.217567143,1,-72.5677,58.8666
-102.408,0.01,3.50449e-18,121.36,8310.55623574,1.0,0.01,1.0,-88.5033808535,8310.55623574,-88.5033808535,300.0,-88.5033808535,0.9,300,1.0,100,1.0,0.01,,100.0,2,-88.5034,90.7053
-91.1441,0.005,2.1793e-19,104.99,3777.59086522,1.0,0.005,1.0,-74.1189362395,3777.59086522,-74.1189362395,300.0,-74.1189362395,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-81.3112,77.6876
-82.5564,0.0245928,3.75075e-05,106.16,5018.84559141,0.979208,3.19195e-15,7.22443,-75.8212564526,5018.84559141,-75.8212564526,69.0817200244,-75.8212564526,0.9,300,4.34268,100,9.37675e-13,0.00333333,3.23676,68.7376422916,1,-65.8256,35.6471
-85.8799,0.01,3.50449e-18,101.65,3806.24514668,1.0,0.01,1.0,-71.9759504531,3806.24514668,-71.9759504531,300.0,-71.9759504531,0.9,300,1.0,100,1.0,0.01,,100.0,2,-71.976,61.3855
-79.5386,0.005,2.1793e-19,97.67,1341.6070514,1.0,0.005,1.0,-67.4381098308,1341.6070514,-67.4381098308,300.0,-67.4381098308,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-69.707,50.5305
-85.8217,0.0257793,2.87389e-06,132.77,11482.0422302,1.0058,0.00121621,7.77861,-98.595884829,11482.0422302,-98.595884829,244.941932219,-98.595884829,0.9,300,1.22478,100,0.366978,0.00333333,0.261657,238.514005549,1,-76.9372,66.2627
-90.5385,0.01,3.50449e-18,107.13,4964.90795896,1.0,0.01,1.0,-76.6337440814,4964.90795896,-76.6337440814,300.0,-76.6337440814,0.9,300,1.0,100,1.0,0.01,,100.0,2,-76.6337,70.1089
-86.9713,0.005,2.1793e-19,108.72,4969.74004979,1.0,0.005,1.0,-77.6445101015,4969.74004979,-77.6445101015,300.0,-77.6445101015,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-77.1391,70.1278
-76.9016,0.0161244,2.09261e-05,109.26,4945.01429067,0.975227,1.77161e-15,4.71748,-77.5045821331,4945.01429067,-77.5045821331,110.592697684,-77.5045821331,0.9,300,2.71266,100,5.18316e-13,0.00333333,1.79119,104.272726755,1,-63.6795,20.7408
-92.6378,0.01,3.50449e-18,109.65,6164.78603314,1.0,0.01,1.0,-78.7331216474,6164.78603314,-78.7331216474,300.0,-78.7331216474,0.9,300,1.0,100,1.0,0.01,,100.0,2,-78.7331,78.1226
-83.0179,0.005,2.1793e-19,97.45,1384.39921785,1.0,0.005,1.0,-67.6385503353,1384.39921785,-67.6385503353,300.0,-67.6385503353,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-73.1858,61.3809
-78.3648,0.0261026,5.43293e-06,100.11,2581.56920821,1.02275,0.00104381,8.00897,-69.7786171269,2581.56920821,-69.7786171269,207.913027206,-69.7786171269,0.9,300,1.44291,100,0.320267,0.00333333,0.511469,201.703157148,1,-68.7216,47.2253
-87.6421,0.01,3.50449e-18,104.66,3775.83364416,1.0,0.01,1.0,-73.7374240264,3775.83364416,-73.7374240264,300.0,-73.7374240264,0.9,300,1.0,100,1.0,0.01,,100.0,2,-73.7374,61.1398
-80.6038,0.005,2.1793e-19,98.24,1323.28134449,1.0,0.005,1.0,-67.8057739325,1323.28134449,-67.8057739325,300.0,-67.8057739325,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-70.7716,50.3275
-80.9378,0.0176841,2.71909e-06,112.47,6116.26515498,1.02258,0.000680492,5.42499,-80.8415500222,6116.26515498,-80.8415500222,234.628219914,-80.8415500222,0.9,300,1.27862,100,0.208756,0.00333333,0.255892,241.176508285,1,-71.8601,53.8305
-91.6436,0.01,3.50449e-18,108.76,4969.00819213,1.0,0.01,1.0,-77.7389539145,4969.00819213,-77.7389539145,300.0,-77.7389539145,0.9,300,1.0,100,1.0,0.01,,100.0,2,-77.739,70.1379
-87.3543,0.005,2.1793e-19,108.45,4967.89996986,1.0,0.005,1.0,-77.3052457677,4967.89996986,-77.3052457677,300.0,-77.3052457677,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-77.5221,70.1343
-82.8346,0.00995194,6.18244e-06,104.72,3766.9050495,0.979563,3.49762e-07,2.92457,-74.2217287309,3766.9050495,-74.2217287309,192.774454073,-74.2217287309,0.9,300,1.55622,100,0.000102784,0.00333333,0.533909,192.980021066,1,-72.8198,61.4954
-102.692,0.01,3.50449e-18,122.38,8283.56069988,1.0,0.01,1.0,-88.7869129364,8283.56069988,-88.7869129364,300.0,-88.7869129364,0.9,300,1.0,100,1.0,0.01,,100.0,2,-88.7869,90.5579
-94.495,0.005,2.1793e-19,111.6,6138.98161241,1.0,0.005,1.0,-80.5387416217,6138.98161241,-80.5387416217,300.0,-80.5387416217,0.9,300,1.0,100,1.0,0.005,,200.000000102,2,-84.6628,84.5941
-inf,0.441083,0.00075921,104.72,7233.83832803,73.5246,1.55019e-05,9729.13,-74.2217287309,3766.9050495,-84.1748841976,nan,-74.2217287309,0.9,400,nan,100,0.341931,0.00333333,369376.0,4.34146711071,,-79.3558,279.034
-83.6827,0.00489375,1.11473e-07,109.15,4973.53163825,0.994805,0.00217807,1.94733,-77.9795052898,4973.53163825,-77.9795052898,391.293145741,-77.9795052898,0.9,400,1.02225,100,0.866701,0.0025,0.0176508,393.007998802,1,-76.6534,68.2196
-95.0622,0.01,3.50449e-18,113.94,6093.24460646,1.0,0.01,1.0,-81.1575278281,6093.24460646,-81.1575278281,400.0,-81.1575278281,0.9,400,1.0,100,1.0,0.01,,100.0,2,-81.1575,77.668
-84.9912,0.005,2.1793e-19,98.55,2614.5233749,1.0,0.005,1.0,-69.1607089369,2614.5233749,-69.1607089369,400.0,-69.1607089369,0.9,400,1.0,100,1.0,0.005,,200.000000102,2,-75.1591,65.9267
-83.5827,0.00333333,5.43914e-20,107.1,4964.38499121,1.0,0.00333333,1.0,-76.3461151887,4964.38499121,-76.3461151887,400.0,-76.3461151887,0.9,400,1.0,100,1.0,0.00333333,,299.999969474,2,-75.5548,67.3507
-83.2554,0.00881038,2.1116e-06,120.53,8313.6147537,0.995665,2.89821e-05,3.50888,-87.5251852305,8313.6147537,-87.5251852305,302.152509502,-87.5251852305,0.9,400,1.32383,100,0.0115426,0.0025,0.334933,299.174765827,1,-75.2562,73.6568
-92.4457,0.01,3.50449e-18,110.2,4948.59537917,1.0,0.01,1.0,-78.5410027745,4948.59537917,-78.5410027745,400.0,-78.5410027745,0.9,400,1.0,100,1.0,0.01,,100.0,2,-78.541,69.9936
-89.6209,0.005,2.1793e-19,112.82,6132.14571959,1.0,0.005,1.0,-81.0366684766,6132.14571959,-81.0366684766,400.0,-81.0366684766,0.9,400,1.0,100,1.0,0.005,,200.000000102,2,-79.7888,74.0711
-85.8568,0.00333333,5.43914e-20,104.81,3784.05209673,1.0,0.00333333,1.0,-73.9091950621,3784.05209673,-73.9091950621,400.0,-73.9091950621,0.9,400,1.0,100,1.0,0.00333333,,299.999969474,2,-77.829,70.1007
-78.7689,0.0117279,1.03939e-05,103.0,3793.40448177,1.08263,7.43862e-10,5.07876,-72.9646153149,3793.40448177,-72.9646153149,146.379000777,-72.9646153149,0.9,400,2.73263,100,3.2213e-07,0.0025,1.9492,150.439756809,1,-67.2762,34.1128
-81.9653,0.01,3.50449e-18,96.81,2628.9195908,1.0,0.01,1.0,-68.0605123682,2628.9195908,-68.0605123682,400.0,-68.0605123682,0.9,400,1.0,100,1.0,0.01,,100.0,2,-68.0605,51.016
-78.4563,0.005,2.1793e-19,98.53,2582.85545439,1.0,0.005,1.0,-69.1877229446,2582.85545439,-69.1877229446,400.0,-69.1877229446,0.9,400,1.0,100,1.0,0.005,,200.000000102,2,-68.6241,50.7951
-80.5066,0.00333333,5.43914e-20,111.8,6114.17676898,1.0,0.00333333,1.0,-80.1878742622,6114.17676898,-80.1878742622,400.0,-80.1878742622,0.9,400,1.0,100,1.0,0.00333333,,299.999969474,2,-72.4787,61.3799
-80.9919,0.0128879,1.21944e-06,112.62,6143.649345,1.02204,0.00031886,5.26875,-80.7929061913,6143.649345,-80.7929061913,340.836315046,-80.7929061913,0.9,400,1.17358,100,0.130354,0.0025,0.203804,334.83374826,1,-73.4599,62.4785
