ESSClassic,MaxVanillaIw,VarNormIw,MinVanillaIw,VarRet,VarVanillaIw,BatchSize,Delta,AvgEpLen,AvgNormIw,VanillaAvgRet,J,AvgDiscRet,AvgVanillaIw,MinNormIw,VarDiscRet,Bound,EpsThisIter,VarJ,eRenyi2,IterType,AvgRet,MaxNormIw,ESSRenyi
22.3612049109,66.5099,0.00035071,0.00943504,85.479104066,763.22,100,0.9,500.0,0.01,-5.14520982434,8.15418,-5.14520982434,14.752,6.39578e-06,85.479104066,7.1681,100,0.292175,1.94468,1,-5.14520982434,0.0450854,51.422408823
20.1793430163,105.988,0.000399552,0.0150353,85.479104066,1106.79,200,0.9,500.0,0.01,-5.14520982434,-1.76204,-1.07882975783,16.6436,9.03373e-06,56.0250539449,-2.60911,100,7.4268,2.85012,,-5.14520982434,0.063681,70.1725175218
10.0983308193,1887.09,0.000472494,0.0132063,148.453307245,169916.0,200,0.9,500.0,0.005,-6.82180592305,17.8073,-6.82180592305,94.8175,6.96405e-07,148.453307245,16.8742,100,0.461223,2.34487,1,-6.82180592305,0.0995119,85.2926149249
100.0,1.0,3.50449e-18,1.0,405.162491209,,200,0.9,500.0,0.01,-1.29224498914,-1.29224,-1.29224498914,1.0,0.01,405.162491209,-3.17396,100,20.0278,1.0,2,-1.29224498914,0.01,200.0
32.7779177749,75.7216,0.000128183,0.000529916,148.453307245,321.454,300,0.9,500.0,0.005,-6.82180592305,-14.4926,-6.85413160984,7.91799,3.34627e-07,220.586362208,-16.4848,100,15.3813,2.24168,,-6.82180592305,0.0478162,133.827935402
22.9948502343,33.4424,0.000134296,0.00633877,363.60068486,35.9137,300,0.9,500.0,0.00333333,1.09962608198,17.6443,1.09962608198,1.72376,1.22577e-05,363.60068486,16.572,100,18.1953,2.0558,1,1.09962608198,0.0646696,145.928730429
100.0,1.0,3.50449e-18,1.0,271.596023224,,300,0.9,500.0,0.01,5.46717747085,5.46718,5.46717747085,1.0,0.01,271.596023224,4.22801,100,16.3976,1.0,2,5.46717747085,0.01,300.0
200.000000102,1.0,2.1793e-19,1.0,134.380668463,,300,0.9,500.0,0.005,-5.41025871588,0.0284591,-5.41025871588,1.0,0.005,134.380668463,-0.847763,100,15.1835,1.0,2,-5.41025871588,0.005,300.0
34.4078910631,157.759,8.60528e-05,0.0299021,363.60068486,934.919,400,0.9,500.0,0.00333333,1.09962608198,-2.06322,-2.57401450278,10.9871,9.07188e-06,72.4721468345,-3.51374,100,12.0834,4.11066,,1.09962608198,0.0478619,97.3079956481
10.1962669811,2492.77,0.000239537,0.00130615,51.7204381988,151768.0,400,0.9,500.0,0.0025,-2.56319410037,17.8008,-2.56319410037,62.928,5.18905e-08,51.7204381988,16.6115,100,0.691135,3.37175,1,-2.56319410037,0.0990326,118.632652713
