AvgNormIw,J,VanillaAvgRet,AvgVanillaIw,VarRet,EpsThisIter,BatchSize,VarDiscRet,eRenyi2,MinNormIw,Delta,AvgDiscRet,AvgRet,Bound,ESSClassic,VarNormIw,MaxNormIw,ESSRenyi,MinVanillaIw,VarJ,VarVanillaIw,AvgEpLen,IterType,MaxVanillaIw
0.01,411.018,153.812071012,20.6947,10464.2007747,100,100,10464.2007747,inf,2.49989e-35,1.0,153.812071012,153.812071012,411.018,1.04375990207,0.00957651,0.978607,,5.17344e-32,25.3508,41013.3,16.78,1,2025.2
0.01,334.474,153.812071012,1.93295e+29,10464.2007747,100,200,12910.1565145,nan,2.55454e-35,1.0,340.568942588,153.812071012,nan,,0.01,1.0,nan,0.00049378,5.70648e-10,inf,16.78,,1.93295e+31
0.005,409.38,135.159808231,6.99261e-15,7363.74793106,100,200,7363.74793106,8.75056e+09,,1.0,135.159808231,135.159808231,409.38,1.00000015505,0.005,1.0,2.2855679425e-08,,9.4096e-05,9.77933e-27,14.78,1,1.39852e-12
0.01,325.061,325.061321219,1.0,5142.01934928,100,200,5142.01934928,1.0,0.01,1.0,325.061321219,325.061321219,325.061,100.0,3.50449e-18,0.01,200.0,1.0,71.3484,,35.07,2,1.0
nan,nan,135.159808231,inf,7363.74793106,100,300,8792.49356805,1.9325e-09,nan,1.0,357.662678315,135.159808231,nan,nan,nan,nan,155239011223.0,7.1504e+11,nan,nan,14.78,,inf
0.00333333,295.409,133.199634,1.0105,7820.00379999,100,300,7820.00379999,inf,3.86827e-10,1.0,133.199634,133.199634,295.409,8.51991138841,0.000381401,0.254385,,1.17266e-07,543.542,35.0507,14.57,1,77.1169
0.01,284.524,284.52355317,1.0,6683.21073183,100,300,6683.21073183,1.0,0.01,1.0,284.52355317,284.52355317,284.524,100.0,3.50449e-18,0.01,300.0,1.0,81.3411,,30.76,2,1.0
0.005,286.317,288.110095446,1.0,5930.75798541,100,300,5930.75798541,1.0,0.005,1.0,288.110095446,288.110095446,286.317,200.000000102,2.1793e-19,0.005,300.0,1.0,79.0388,,31.15,2,1.0
0.00333333,305.006,133.199634,60864.3,7820.00379999,100,400,5082.53793861,nan,7.10177e-10,1.0,293.108730882,133.199634,nan,2.81703831881,0.00117609,0.467027,nan,0.0129673,260.361,3.92109e+11,14.57,,8.52759e+06
0.0025,275.666,130.808240757,0.58998,7696.67419593,100,400,7696.67419593,inf,3.47317e-10,1.0,130.808240757,130.808240757,275.666,12.5616618932,0.000193252,0.216624,,8.1964e-08,376.435,10.7626,14.32,1,51.1216
0.01,306.507,306.506491999,1.0,8024.71929826,100,400,8024.71929826,1.0,0.01,1.0,306.506491999,306.506491999,306.507,100.0,3.50449e-18,0.01,400.0,1.0,89.1318,,33.11,2,1.0
0.005,303.777,301.048435353,1.0,9337.74033878,100,400,9337.74033878,1.0,0.005,1.0,301.048435353,301.048435353,303.777,200.000000102,2.1793e-19,0.005,400.0,1.0,92.7462,,32.54,2,1.0
0.00333333,300.724,294.618466015,1.0,8318.98541471,100,400,8318.98541471,1.0,0.00333333,1.0,294.618466015,294.618466015,300.724,299.999969474,5.43914e-20,0.00333333,400.0,1.0,92.1872,,31.84,2,1.0
0.0025,409.239,292.82326184,1.51362,7952.55791162,100,400,7952.55791162,inf,2.36307e-14,1.0,292.82326184,292.82326184,409.239,16.4001436339,0.000146554,0.141825,,1.43072e-11,581.294,53.7218,31.66,1,85.8678
0.01,387.685,387.685307145,1.0,26515.6335084,100,400,26515.6335084,1.0,0.01,1.0,387.685307145,387.685307145,387.685,100.0,3.50449e-18,0.01,400.0,1.0,162.02,,41.83,2,1.0
0.005,386.642,385.599067258,1.0,15833.3166558,100,400,15833.3166558,1.0,0.005,1.0,385.599067258,385.599067258,386.642,200.000000102,2.1793e-19,0.005,400.0,1.0,144.789,,41.62,2,1.0
0.00333333,383.854,378.278590473,1.0,19145.2138583,100,400,19145.2138583,1.0,0.00333333,1.0,378.278590473,378.278590473,383.854,299.999969474,5.43914e-20,0.00333333,400.0,1.0,142.511,,40.83,2,1.0
