ESSRenyi,MaxNormIw,MaxVanillaIw,AvgDiscRet,VarRet,ESSClassic,AvgEpLen,J,Bound,IterType,VarVanillaIw,AvgRet,VarDiscRet,VarJ,EpsThisIter,AvgNormIw,Delta,MinVanillaIw,VanillaAvgRet,eRenyi2,AvgVanillaIw,BatchSize,MinNormIw,VarNormIw
3.35318303233e-08,0.668463,3.16103e-36,-309.32856151,23344.6619147,inf,379.06,-60.4656,-60.4656,1,,-309.32856151,23344.6619147,33.8354,100,0.01,1.0,,-309.32856151,2.98224e+09,4.72881e-38,100,,0.00552282
1.70106584809e+24,nan,inf,-63.1945248286,23344.6619147,nan,379.06,nan,nan,,nan,-309.32856151,1336.94239592,nan,100,nan,1.0,3.16352e+35,-309.32856151,1.17573e-22,inf,200,nan,nan
8.25832044514e-16,1.0,9.72096e-37,-309.537108895,22132.5305344,inf,381.9,-50.1394,-50.1394,1,,-309.537108895,22132.5305344,,100,0.005,1.0,,-309.537108895,2.4218e+17,4.86048e-39,200,,0.005
200.0,0.01,1.0,-66.1567321359,2590.44652952,100.0,94.64,-66.1567,-66.1567,2,,-66.1567321359,2590.44652952,50.6413,100,0.01,1.0,1.0,-66.1567321359,1.0,1.0,200,0.01,3.50449e-18
inf,nan,inf,-58.9663613954,22132.5305344,nan,381.9,nan,nan,,nan,-309.537108895,37.3995024315,nan,100,nan,1.0,1.0287e+36,-309.537108895,,inf,300,nan,nan
6.99913148953e-09,1.0,2.21291e-36,-339.798521919,17914.8358488,inf,414.98,-50.1394,-50.1394,1,,-339.798521919,17914.8358488,,100,0.00333333,1.0,,-339.798521919,4.28625e+10,7.37637e-39,300,,0.00333333
300.0,0.01,1.0,-62.079847524,1327.15894748,100.0,89.89,-62.0798,-62.0798,2,,-62.079847524,1327.15894748,36.2476,100,0.01,1.0,1.0,-62.079847524,1.0,1.0,300,0.01,3.50449e-18
300.0,0.005,1.0,-61.9678472126,1348.06841899,200.000000102,89.72,-62.0238,-62.0238,2,,-61.9678472126,1348.06841899,36.3901,100,0.005,1.0,1.0,-61.9678472126,1.0,1.0,300,0.005,2.1793e-19
nan,nan,inf,-67.2117032611,17914.8358488,nan,414.98,nan,nan,,nan,-339.798521919,2585.58562372,nan,100,nan,1.0,4.51894e+35,-339.798521919,nan,inf,400,nan,nan
3.05348207566e-09,1.0,2.42661e-36,-325.663387111,19870.8986119,inf,399.73,-50.1394,-50.1394,1,,-325.663387111,19870.8986119,,100,0.0025,1.0,,-325.663387111,1.30998e+11,6.06652e-39,400,,0.0025
400.0,0.01,1.0,-59.4687525696,67.4125408602,100.0,87.38,-59.4688,-59.4688,2,,-59.4687525696,67.4125408602,8.16936,100,0.01,1.0,1.0,-59.4687525696,1.0,1.0,400,0.01,3.50449e-18
