AvgEpLen,AvgDiscRet,VanillaAvgRet,renyi2,AvgRet,Bound,MinNormIw,MaxNormIw,IterType,VarJ,SamplesThisIter,AvgVanillaIw,ESSClassic,MinVanillaIw,VarDiscRet,VarVanillaIw,VarNormIw,AvgNormIw,ESSRenyi,J,BatchSize,VarRet,EpsThisIter,delta,MaxVanillaIw
6.02990834539,50.2912327389,50.2912327389,nan,50.2912327389,633.898,,0.0452481,1,7194.32,50000,6.21623e+18,21.9995407524,,4319.06122459,inf,3.01783e-08,6.6999e-07,nan,87535.9,100,4319.06122459,8292,0.8,4.19816e+23
6.61025912216,56.0949360242,56.0949360242,nan,56.0949360242,436.198,,0.0565297,1,12043.5,50000,6.69918e+18,9.79970394078,,3880.86811814,inf,3.44883e-08,7.34473e-07,nan,56599.9,100,3880.86811814,7564,0.8,5.15611e+23
3.22872271729,22.2860387589,22.2860387589,nan,22.2860387589,36.4286,,0.0460016,1,1071.93,50000,156353.0,12.0000272917,,103.377796058,2.3496e+15,1.23697e-08,3.58747e-07,nan,6141.42,100,103.377796058,15486,0.8,2.0049e+10
3.28860826098,22.8702476547,22.8702476547,nan,22.8702476547,37.7076,,0.00417786,1,898.059,50000,5.23243,41.8450238789,,98.8718202184,72234.5,3.5227e-10,3.65401e-07,nan,6404.05,100,98.8718202184,15204,0.8,59825.7
3.23373431639,22.335942031,22.335942031,nan,22.335942031,37.5015,,0.1,1,881.427,50000,9.25266e+13,10.0000009565,,103.083622146,inf,3.59302e-08,3.59304e-07,nan,6429.69,100,103.083622146,15462,0.8,2.57516e+19
3.25055259394,22.504159839,22.504159839,nan,22.504159839,142.047,,0.0999895,1,2466.7,50000,1.65504e+19,10.0000013008,,141.000881325,inf,3.61095e-08,3.61172e-07,nan,15973.2,100,141.000881325,15382,0.8,4.58194e+24
3.35480407944,23.5462257757,23.5462257757,nan,23.5462257757,227.205,,0.0999964,1,4083.66,50000,2.38524e+15,10.0000025786,,235.426646408,inf,3.72727e-08,3.72756e-07,nan,18901.4,100,235.426646408,14904,0.8,6.39871e+20
3.86757425743,28.6737297454,28.6737297454,nan,28.6737297454,597.602,,0.0684023,1,12809.3,50000,4.44013e+10,9.07966254813,,1234.14286029,2.36407e+26,2.21443e-08,4.2973e-07,nan,34427.7,100,1234.14286029,12928,0.8,7.06757e+15
4.24808836024,32.4777842475,32.4777842475,nan,32.4777842475,400.215,,0.0833249,1,9628.98,50000,7.02545e+19,12.0000033691,,1437.11979918,inf,3.93259e-08,4.7201e-07,nan,50956.3,100,1437.11979918,11770,0.8,1.24022e+25
6.79717237629,57.9665674635,57.9665674635,nan,57.9665674635,829.765,,0.0396233,1,17915.9,50000,2.59798e+11,7.40879924474,,8885.77850159,2.7276e+27,2.30505e-08,7.55242e-07,nan,129662.0,100,8885.77850159,7356,0.8,1.36302e+16
