VarJ,AvgVanillaIw,MaxNormIw,MinVanillaIw,SamplesThisIter,renyi2,MinNormIw,VanillaAvgRet,AvgRet,IterType,ESSRenyi,AvgNormIw,AvgDiscRet,VarNormIw,AvgEpLen,delta,VarVanillaIw,MaxVanillaIw,Bound,VarRet,EpsThisIter,J,VarDiscRet,BatchSize,ESSClassic
19956.973,5.4429907e+20,0.4625714,,50000,nan,,48.57271445817556,48.57271445817556,1,nan,6.511434e-07,48.57271445817556,2.8047722e-07,5.860290670417252,0.4,inf,3.8666932e+26,246.04828,3615.0666183933386,8532,44876.6,3615.0666183933386,100,1.986991073342558
24854.092,1.037724,0.009916291,1.9992339e-23,50000,nan,1.2494853e-29,48.34052935766066,48.34052935766066,1,nan,6.4855897e-07,48.34052935766066,2.2133342e-10,5.837030119075415,0.4,566.6461,15866.5205,194.23624,3248.4578760686272,8566,18933.6,3248.4578760686272,100,6.883298642862284
35628.17,1.1389091,0.035187695,,50000,nan,,49.921458252498944,49.921458252498944,1,nan,6.66134e-07,49.921458252498944,1.7771101e-09,5.995203836930456,0.4,5194.805,60161.473,303.493,3822.375940872473,8340,28562.947,3822.375940872473,100,2.330879095839075
79123.69,118185.71,0.41308787,,50000,nan,,49.777929443217225,49.777929443217225,1,nan,6.645407e-07,49.777929443217225,2.3666746e-07,5.980861244019139,0.4,7485590000000000.0,73465970000.0,306.03604,4078.42527208687,8360,55453.297,4078.42527208687,100,1.9999984313591357
26172.732,7.026847,0.3355918,1.4157116e-32,50000,nan,1.366318e-39,51.00336846827359,51.00336846827359,1,nan,6.78168e-07,51.00336846827359,1.6110202e-07,6.103515625,0.4,17296040.0,3477236.8,208.42693,4320.005501353974,8192,19401.29,4320.005501353974,100,1.8967124755316127
12413.307,448270.6,0.23683935,,50000,nan,,52.23436515508349,52.23436515508349,1,nan,6.9185e-07,52.23436515508349,1.2043994e-07,6.226650062266501,0.4,5.0562283e+16,153455400000.0,150.92438,4535.591972604153,8030,34440.805,4535.591972604153,100,1.288866901046281
31678.521,155523920000.0,0.24108578,,50000,nan,,52.86056276852843,52.86056276852843,1,nan,6.98812e-07,52.86056276852843,1.1200212e-07,6.289308176100629,0.4,5.54753e+27,5.3654784e+16,300.37683,5320.049511756949,7950,70784.26,5320.049511756949,100,1.450559871621091
12917.585,0.99920017,0.00027519674,4.6795822e-08,50000,nan,3.311926e-14,53.613287963814955,53.613287963814955,1,nan,7.071736e-07,53.613287963814955,1.5215038e-12,6.364562118126273,0.4,3.0375686,388.83896,136.39821,4862.8331489109205,7856,13625.452,4862.8331489109205,100,39.85500098868612
46071.395,52008344.0,0.34358904,,50000,nan,,55.08803547497757,55.08803547497757,1,nan,7.235681e-07,55.08803547497757,1.947632e-07,6.512112529304506,0.4,1.0062229e+21,24696360000000.0,542.54724,6596.819908739941,7678,81462.125,6596.819908739941,100,1.7543237056736987
63578.055,2.792332e+22,0.5,,50000,nan,,54.21905415823265,54.21905415823265,1,nan,7.1389815e-07,54.21905415823265,3.569483e-07,6.425083526085839,0.4,inf,1.9556935e+28,785.81604,7991.95138587707,7782,111432.55,7991.95138587707,100,2.000000015589089
