VarVanillaIw,AvgEpLen,AvgVanillaIw,J,MinNormIw,EpsThisIter,delta,VarJ,ESSClassic,VanillaAvgRet,MinVanillaIw,ESSRenyi,MaxNormIw,AvgDiscRet,BatchSize,AvgNormIw,IterType,VarRet,VarNormIw,MaxVanillaIw,renyi2,VarDiscRet,SamplesThisIter,Bound,AvgRet
3.34186e+16,14.4175317186,767559.0,67675.7,,3468,0.5,3436.9,10.9999993225,131.647778908,,nan,0.0908896,131.647778908,100,1.60195e-06,1,5081.57331816,1.45567e-07,4.35489e+10,nan,5081.57331816,50000,336.307,131.647778908
9.26015e+23,13.3404482391,3.99958e+09,63108.3,,3748,0.5,4036.23,10.9937434068,121.612801861,,nan,0.0882962,121.612801861,100,1.48227e-06,1,3825.92029761,1.27188e-07,2.38248e+14,nan,3825.92029761,50000,312.374,121.612801861
4.73342e+13,14.6713615023,31884.2,79506.7,,3408,0.5,5778.86,10.9213623816,134.039144985,,nan,0.0827698,134.039144985,100,1.63015e-06,1,6171.80266332,1.23731e-07,1.6189e+09,nan,6171.80266332,50000,385.782,134.039144985
6.63574e+25,14.3513203215,3.41172e+10,76984.6,,3484,0.5,7607.73,11.0000008898,131.020401093,,nan,0.0909083,131.020401093,100,1.59459e-06,1,5415.11317746,1.44958e-07,1.94503e+15,nan,5415.11317746,50000,346.356,131.020401093
inf,15.6739811912,1.79611e+14,93564.8,,3190,0.5,11009.7,10.4656556963,143.312979421,,nan,0.0708257,143.312979421,100,1.74155e-06,1,5304.90713634,1.01001e-07,7.30443e+18,nan,5304.90713634,50000,372.739,143.312979421
9.61539e+18,15.7480314961,1.35021e+07,79322.4,,3175,0.5,7845.74,9.98583008912,144.02549229,,nan,0.0959998,144.02549229,100,1.74978e-06,1,5709.67553243,1.61486e-07,7.40775e+11,nan,5709.67553243,50000,352.087,144.02549229
71980.7,22.7169468423,7.46395,72391.9,,2201,0.5,4506.55,18.0232952727,209.137648083,,nan,0.0153582,209.137648083,100,2.5241e-06,1,7578.3073722,8.23177e-09,45415.2,nan,7578.3073722,50000,351.039,209.137648083
1.74068e+10,25.3164556962,1097.03,84878.9,,1975,0.5,3176.0,8.45835864481,233.40684102,,nan,0.0583684,233.40684102,100,2.81294e-06,1,8114.42814898,1.14448e-07,2.27633e+07,nan,8114.42814898,50000,436.084,233.40684102
5.15493e+20,27.8551532033,1.26736e+08,114478.0,,1795,0.5,3857.18,9.99999222076,257.009633632,,nan,0.0996665,257.009633632,100,3.09502e-06,1,9094.22726083,3.07432e-07,4.08118e+12,nan,9094.22726083,50000,581.109,257.009633632
inf,26.6240681576,3.07426e+14,nan,,1878,0.5,nan,10.0000026667,245.532436975,,nan,0.1,245.532436975,100,2.95823e-06,1,9466.78034598,2.95815e-07,1.03922e+19,nan,9466.78034598,50000,nan,245.532436975
6.6651e+29,26.3296471827,4.43034e+12,106640.0,,1899,0.5,3015.15,9.99994004523,242.861816265,,nan,0.0996718,242.861816265,100,2.92552e-06,1,7830.6505137,2.90629e-07,1.50941e+17,nan,7830.6505137,50000,536.236,242.861816265
2.34788e+09,26.0145681582,424.401,85561.7,,1922,0.5,6724.68,8.95482579813,239.846115524,,nan,0.0580801,239.846115524,100,2.89051e-06,1,7728.84734855,1.08911e-07,8.52765e+06,nan,7728.84734855,50000,404.948,239.846115524
8.80956e+20,28.7852619459,1.69065e+08,106595.0,,1737,0.5,3960.3,9.99973008896,265.708740366,,nan,0.0992861,265.708740366,100,3.19836e-06,1,9853.26156229,3.15285e-07,5.24824e+12,nan,9853.26156229,50000,515.574,265.708740366
7.11104e+16,26.5533722783,1.73082e+06,nan,,1883,0.5,nan,9.6233336389,244.83314685,,nan,0.0820964,244.83314685,100,2.95037e-06,1,11975.7501713,2.06625e-07,4.81614e+10,nan,11975.7501713,50000,nan,244.83314685
2.59714e+09,30.0480769231,609.57,99032.2,,1664,0.5,3232.31,9.44323881767,277.429032709,,nan,0.0424062,277.429032709,100,3.33868e-06,1,8832.9744868,7.79106e-08,7.74245e+06,nan,8832.9744868,50000,486.012,277.429032709
1.39596e+17,30.4506699147,2.27049e+06,124626.0,,1642,0.5,4569.75,9.9957537266,281.286699383,,nan,0.0956992,281.286699383,100,3.38341e-06,1,13458.9478159,3.09986e-07,6.42206e+10,nan,13458.9478159,50000,562.235,281.286699383
2.41027e+26,29.9760191847,8.95999e+10,125934.0,,1668,0.5,4469.4,10.0000007746,276.581028727,,nan,0.0999994,276.581028727,100,3.33067e-06,1,14521.4520054,3.33053e-07,2.69013e+15,nan,14521.4520054,50000,624.18,276.581028727
2.01967e+08,36.3901018923,235.421,126065.0,,1374,0.5,4867.85,11.8262014298,336.516354324,,nan,0.0346429,336.516354324,100,4.04334e-06,1,16437.5374911,5.9576e-08,2.01706e+06,nan,16437.5374911,50000,592.716,336.516354324
3.20644e+11,35.360678925,5001.36,130911.0,,1414,0.5,4849.39,9.30421074723,326.861009174,,nan,0.0684403,326.861009174,100,3.92896e-06,1,18142.4110628,1.97881e-07,8.71208e+07,nan,18142.4110628,50000,631.595,326.861009174
2.01764e+15,34.0599455041,298922.0,128064.0,,1468,0.5,4730.33,9.98493268386,314.860415116,,nan,0.0923731,314.860415116,100,3.78444e-06,1,18914.5326778,3.23393e-07,7.29629e+09,nan,18914.5326778,50000,609.724,314.860415116
2.27714e+12,35.4107648725,10352.6,121902.0,,1412,0.5,5789.26,9.97948644128,327.366760483,,nan,0.0913371,327.366760483,100,3.93453e-06,1,15836.7289015,3.28909e-07,2.40328e+08,nan,15836.7289015,50000,547.173,327.366760483
1.73496e+26,33.692722372,8.05936e+10,128614.0,,1484,0.5,2005.36,10.0000005921,311.302333911,,nan,0.0999996,311.302333911,100,3.74364e-06,1,14637.1221087,3.74348e-07,2.15281e+15,nan,14637.1221087,50000,647.885,311.302333911
1.27519e+12,34.5303867403,12227.2,121213.0,,1448,0.5,4012.54,5.52269039751,318.960033536,,nan,0.0425076,318.960033536,100,3.83671e-06,1,14229.3754368,1.25555e-07,1.35468e+08,nan,14229.3754368,50000,577.881,318.960033536
1.35864e+08,34.1530054645,145.812,122814.0,,1464,0.5,4519.82,8.69179311722,315.587135994,,nan,0.0454911,315.587135994,100,3.79478e-06,1,22445.2286071,9.20214e-08,1.74797e+06,nan,22445.2286071,50000,611.164,315.587135994
1.89963e+29,37.2856077554,2.80543e+12,158537.0,,1341,0.5,4143.39,9.99999973936,344.703018715,,nan,0.0999984,344.703018715,100,4.14285e-06,1,27250.6380623,4.14256e-07,6.77164e+16,nan,27250.6380623,50000,751.525,344.703018715
7.18804e+07,36.9549150037,171.59,126082.0,,1353,0.5,4061.07,6.29762301963,341.627465756,,nan,0.0232896,341.627465756,100,4.1061e-06,1,20808.1312566,4.11612e-08,973245.0,nan,20808.1312566,50000,640.84,341.627465756
4.89518e+15,36.4166059723,445830.0,138607.0,,1373,0.5,4302.13,9.99998801485,336.47597996,,nan,0.0998276,336.47597996,100,4.04629e-06,1,23354.0475071,4.03221e-07,1.09993e+10,nan,23354.0475071,50000,667.69,336.47597996
inf,39.7140587768,1.15503e+18,170623.0,,1259,0.5,5178.23,9.99985139616,367.110646547,,nan,0.099615,367.110646547,100,4.41267e-06,1,34258.4986965,4.37865e-07,2.60744e+22,nan,34258.4986965,50000,805.292,367.110646547
3.97034e+09,36.523009496,1122.2,145570.0,,1369,0.5,5008.72,5.71403219731,337.429789839,,nan,0.0263458,337.429789839,100,4.05811e-06,1,29182.7415482,5.19202e-08,7.28546e+06,nan,29182.7415482,50000,758.088,337.429789839
2.0282e+08,37.5939849624,232.897,136656.0,,1330,0.5,6295.17,5.98788568509,347.376599192,,nan,0.030298,347.376599192,100,4.17711e-06,1,25545.3731108,6.52431e-08,1.68928e+06,nan,25545.3731108,50000,633.691,347.376599192
3.24717e+14,37.9650721336,221863.0,156525.0,,1317,0.5,7017.88,5.98574688604,350.87757657,,nan,0.0408009,350.87757657,100,4.21834e-06,1,27812.2558155,1.17387e-07,2.14591e+09,nan,27812.2558155,50000,742.054,350.87757657
9.85712e+07,38.5802469136,116.223,143657.0,,1296,0.5,5828.96,9.88997696703,356.712207034,,nan,0.0554031,356.712207034,100,4.28669e-06,1,29213.5483453,1.34093e-07,1.50212e+06,nan,29213.5483453,50000,681.434,356.712207034
5.58104e+08,41.1184210526,314.833,156085.0,,1216,0.5,6758.12,6.01006469572,380.082041002,,nan,0.0392566,380.082041002,100,4.56871e-06,1,34646.2217513,1.17529e-07,2.70519e+06,nan,34646.2217513,50000,744.284,380.082041002
6.4585e+12,42.4088210348,23907.4,179548.0,,1179,0.5,5145.12,9.60581896861,392.314334122,,nan,0.0715148,392.314334122,100,4.71209e-06,1,40901.3998172,2.50895e-07,3.6284e+08,nan,40901.3998172,50000,876.562,392.314334122
inf,42.1229991575,2.68056e+21,181522.0,,1187,0.5,3489.6,9.99999966856,389.029339792,,nan,0.0999999,389.029339792,100,4.68033e-06,1,37715.0120125,4.68013e-07,5.72728e+25,nan,37715.0120125,50000,816.534,389.029339792
2.81325e+10,40.9165302782,3251.55,163260.0,,1222,0.5,5623.09,5.81746431194,378.330463214,,nan,0.0256722,378.330463214,100,4.54628e-06,1,31573.6700245,5.49972e-08,1.8361e+07,nan,31573.6700245,50000,780.098,378.330463214
5.52529e+21,38.85003885,5.37143e+08,209897.0,,1287,0.5,5464.65,9.94621326924,358.84624613,,nan,0.0906779,358.84624613,100,4.31667e-06,1,38990.254834,3.5684e-07,1.12835e+13,nan,38990.254834,50000,1031.42,358.84624613
