SamplesThisIter,Bound,MinVanillaIw,MaxVanillaIw,renyi2,J,AvgVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgNormIw,MinNormIw,VarVanillaIw,VarNormIw,EpsThisIter,IterType,VarRet,VarDiscRet,MaxNormIw,ESSClassic,AvgRet,VarJ,BatchSize,delta
50000,400.527,,5.86215e+07,nan,76430.9,635.1,14.5053669858,132.463944924,132.463944924,nan,1.61171e-06,,2.46674e+10,1.58859e-07,3447,1,5942.53640363,5942.53640363,0.148765,2.02302405228,132.463944924,17119.3,100,0.6
50000,332.581,,2.61406e+15,nan,61860.8,1.27168e+10,14.5942790426,133.286023485,133.286023485,nan,1.62159e-06,,3.32422e+25,5.40527e-07,3426,1,5324.45995797,5324.45995797,0.333333,3.000000107,133.286023485,17042.9,100,0.6
50000,309.591,,6.39323e+07,nan,57015.8,499.578,14.3802128271,131.264922339,131.264922339,nan,1.5978e-06,,2.69947e+10,2.76132e-07,3477,1,5099.60007069,5099.60007069,0.204475,5.67667967968,131.264922339,27314.3,100,0.6
50000,309.24,1.1305e-35,40397.7,nan,55994.9,2.11456,16.0359204618,146.741346669,146.741346669,nan,1.78177e-06,9.52603e-42,22221.4,1.57773e-08,3118,1,7146.34121764,7146.34121764,0.0340399,9.03998796998,146.741346669,34318.5,100,0.6
50000,274.637,,1220.97,nan,53895.7,1.35151,17.6740897844,162.062583461,162.062583461,nan,1.96379e-06,,195.096,4.11908e-10,2829,1,8352.42744056,8352.42744056,0.00177411,13.035252341,162.062583461,14207.2,100,0.6
50000,383.483,,14666.3,nan,77584.1,2.29201,22.6244343891,208.230279479,208.230279479,nan,2.51383e-06,,4700.38,5.6542e-09,2210,1,10512.2560778,10512.2560778,0.0160857,4.79327504951,208.230279479,26514.3,100,0.6
50000,503.188,,9.27295e+17,nan,104943.0,5.2687e+12,25.5362614913,235.377810691,235.377810691,nan,2.83736e-06,,4.87955e+30,1.41515e-06,1958,1,10477.0600605,10477.0600605,0.499378,1.9999968594,235.377810691,16487.7,100,0.6
50000,502.93,,1.97007e+06,nan,96391.7,25.1979,26.581605529,245.158463023,245.158463023,nan,2.95351e-06,,2.56778e+07,3.52782e-07,1881,1,10248.6394236,10248.6394236,0.230917,1.79568059712,245.158463023,24293.1,100,0.6
50000,427.062,,22182.0,nan,84146.0,3.32792,27.397260274,252.842773136,252.842773136,nan,3.04414e-06,,8789.59,7.35448e-09,1825,1,7888.19689273,7888.19689273,0.0202904,1.4966269154,252.842773136,26929.8,100,0.6
50000,416.508,,2298.98,nan,78425.1,1.70361,29.9760191847,276.921525402,276.921525402,nan,3.33067e-06,,359.87,1.37553e-09,1668,1,7746.24133079,7746.24133079,0.00449465,2.36245569256,276.921525402,19847.9,100,0.6
