VarRet,ESSClassic,Bound,renyi2,BatchSize,J,AvgDiscRet,delta,AvgEpLen,MaxNormIw,EpsThisIter,VanillaAvgRet,VarJ,AvgRet,IterType,AvgVanillaIw,VarVanillaIw,SamplesThisIter,ESSRenyi,MaxVanillaIw,VarDiscRet,AvgNormIw,VarNormIw,MinNormIw,MinVanillaIw
4809.671595,2.77786481798,346.128,nan,100,69355.7,129.497622376,0.6,14.1884222474,0.259852,3524,129.497622376,16197.8,129.497622376,1,2.50441e+12,8.70357e+29,50000,nan,4.12799e+17,4809.671595,1.57649e-06,3.44882e-07,,
4655.40980565,5.63374690479,250.257,nan,100,47876.0,126.88743951,0.6,13.9120756817,0.053445,3594,126.88743951,17150.4,126.88743951,1,2.03301,30691.0,50000,nan,70290.6,4655.40980565,1.54579e-06,1.77432e-08,,
5475.530539,8.83869853717,307.234,nan,100,56623.4,130.242518737,0.6,14.2694063927,0.0190461,3504,130.242518737,24341.5,130.242518737,1,2.4474,14446.9,50000,nan,29400.0,5475.530539,1.58549e-06,6.06306e-09,,
7673.16854974,2.99999988321,365.727,nan,100,75661.6,159.33813967,0.6,17.3913043478,0.333333,2875,159.33813967,15602.7,159.33813967,1,3.25221e+12,1.8245e+30,50000,nan,5.61006e+17,7673.16854974,1.93237e-06,6.4412e-07,,
9119.8039279,3.0000001441,440.568,nan,100,92612.6,187.125571191,0.6,20.3748981255,0.333333,2454,187.125571191,15047.7,187.125571191,1,6.01711e+21,inf,50000,nan,8.8596e+26,9119.8039279,2.26388e-06,7.54622e-07,,
9633.33275197,3.13778104814,378.223,nan,100,73892.2,226.145924553,0.6,24.5459008346,0.00215936,2037,226.145924553,12481.7,226.145924553,1,2.04445,648.612,50000,nan,1618.69,9633.33275197,2.72732e-06,1.15426e-09,,
10065.9871366,2.50491423729,422.016,nan,100,94044.5,269.747693462,0.6,29.2226767972,0.162233,1711,269.747693462,47588.3,269.747693462,1,19.357,1.09263e+07,50000,nan,967160.0,10065.9871366,3.24696e-06,3.07437e-07,,
11749.4240051,4.3160225775,485.613,nan,100,96624.3,295.647868027,0.6,31.9897632758,0.00819115,1563,295.647868027,19041.7,295.647868027,1,2.52742,2137.43,50000,nan,5824.42,11749.4240051,3.55442e-06,4.22743e-09,,
14385.1325142,4.09666275655,560.263,nan,100,102290.0,321.989891098,0.6,34.8189415042,0.0144713,1436,321.989891098,18619.0,321.989891098,1,2.36364,2006.15,50000,nan,8841.3,14385.1325142,3.86877e-06,5.3746e-09,,
13952.7732681,2.88207436652,604.188,nan,100,105938.0,333.751710329,0.6,36.075036075,0.0137922,1386,333.751710329,18476.5,333.751710329,1,1.97412,1469.46,50000,nan,6792.68,13952.7732681,4.00834e-06,6.05816e-09,,
15720.2215637,1.73432861523,547.144,nan,100,103705.0,356.415415966,0.6,38.5208012327,0.00341783,1298,356.415415966,18318.6,356.415415966,1,1.63175,296.395,50000,nan,1303.02,15720.2215637,4.28009e-06,2.03925e-09,,
19540.9281199,1.99611032795,669.675,nan,100,142730.0,364.254383494,0.6,39.3700787402,0.467383,1270,364.254383494,23085.9,364.254383494,1,5001.21,2.50291e+12,50000,nan,5.34348e+08,19540.9281199,4.37445e-06,1.91488e-06,,
19176.0243763,4.33861096626,667.66,nan,100,128843.0,364.312416604,0.6,39.3700787402,0.0145321,1270,364.312416604,22168.8,364.312416604,1,3.01849,6370.83,50000,nan,10027.5,19176.0243763,4.37445e-06,1.33802e-08,,
24790.9000001,6.07120847551,651.79,nan,100,124116.0,373.874972205,0.6,40.4203718674,0.0420327,1237,373.874972205,21979.0,373.874972205,1,2.87146,15187.9,50000,nan,26874.0,24790.9000001,4.49115e-06,3.71544e-08,,
30724.6238577,2.26412427106,777.048,nan,100,157497.0,400.419219329,0.6,43.29004329,0.112868,1155,400.419219329,26293.1,400.419219329,1,8.36909,593932.0,50000,nan,196383.0,30724.6238577,4.81e-06,1.96187e-07,,
32555.4773118,1.87888019908,808.281,nan,100,174347.0,422.083402016,0.6,45.6204379562,0.363721,1096,422.083402016,29996.1,422.083402016,1,411.557,9.44607e+09,50000,nan,2.95312e+07,32555.4773118,5.06894e-06,1.43293e-06,,
38278.5425716,1.81668201982,837.112,nan,100,171409.0,433.354123901,0.6,46.8603561387,0.26652,1067,433.354123901,23443.8,433.354123901,1,27.3357,2.24498e+07,50000,nan,1.39926e+06,38278.5425716,5.20671e-06,8.14476e-07,,
40136.9028348,1.92459695725,776.245,nan,100,152505.0,431.304160236,0.6,46.6417910448,0.0195654,1072,431.304160236,31990.7,431.304160236,1,2.0458,1269.85,50000,nan,7723.59,40136.9028348,5.18242e-06,8.14879e-09,,
47323.2836599,1.88087225437,882.975,nan,100,184336.0,460.620938421,0.6,49.8007968127,0.308438,1004,460.620938421,24768.2,460.620938421,1,30.3916,3.38527e+07,50000,nan,1.69406e+06,47323.2836599,5.53342e-06,1.12221e-06,,
44682.8117774,1.59181685403,907.077,nan,100,186455.0,452.789433864,0.6,48.971596474,0.0558877,1021,452.789433864,23579.5,452.789433864,1,5.05076,72744.7,50000,nan,51876.6,44682.8117774,5.44129e-06,8.44288e-08,,
48007.3245911,1.99054572787,890.883,nan,100,173570.0,487.839119813,0.6,52.7426160338,0.132653,948,487.839119813,22803.8,487.839119813,1,4.52992,142621.0,50000,nan,102539.0,48007.3245911,5.86029e-06,2.38695e-07,,
59629.321278,2.25878452842,937.74,nan,100,182162.0,489.236794354,0.6,52.9100529101,0.0220513,945,489.236794354,22467.0,489.236794354,1,2.50487,2081.28,50000,nan,9395.58,59629.321278,5.8789e-06,1.14644e-08,,
58250.3632988,1.03138564448,969.208,nan,100,202060.0,515.564675937,0.6,55.7413600892,0.0519277,897,515.564675937,31653.0,515.564675937,1,4.34169,37786.9,50000,nan,36401.8,58250.3632988,6.19348e-06,7.68943e-08,,
65576.6197433,3.98879481261,1011.51,nan,100,206989.0,539.683713923,0.6,58.3430571762,0.0291513,857,539.683713923,50377.4,539.683713923,1,3.20353,11695.9,50000,nan,14405.9,65576.6197433,6.48256e-06,4.78927e-08,,
69631.6063519,4.71944901014,997.933,nan,100,202758.0,552.376340209,0.6,59.7371565114,0.0280488,837,552.376340209,22618.3,552.376340209,1,2.37965,2498.89,50000,nan,10056.0,69631.6063519,6.63746e-06,1.94412e-08,,
69230.3545627,2.01625252967,1037.02,nan,100,211988.0,567.716870275,0.6,61.4250614251,0.326538,814,567.716870275,25736.4,567.716870275,1,10.946,3.75875e+06,50000,nan,523706.0,69230.3545627,6.82501e-06,1.46129e-06,,
90495.6929142,2.08616355561,1206.51,nan,100,246858.0,612.453227334,0.6,66.2251655629,0.0776942,755,612.453227334,25380.5,612.453227334,1,4.69764,44563.6,50000,nan,49600.7,90495.6929142,7.35835e-06,1.09341e-07,,
79283.1658066,1.76484643385,1181.68,nan,100,251278.0,600.769570765,0.6,65.0195058518,0.177292,769,600.769570765,32766.3,600.769570765,1,14.2369,2.07134e+06,50000,nan,349386.0,79283.1658066,7.22439e-06,5.3336e-07,,
130456.188296,2.20852583597,1348.56,nan,100,262950.0,663.563899081,0.6,71.8390804598,0.0129617,696,663.563899081,21505.1,663.563899081,1,3.14453,2007.01,50000,nan,5106.23,130456.188296,7.98212e-06,1.29323e-08,,
117301.225297,2.27209965503,1427.71,nan,100,306112.0,674.391014085,0.6,72.9927007299,0.11973,685,674.391014085,26103.6,674.391014085,1,16.367,1.38061e+06,50000,nan,241621.0,117301.225297,8.1103e-06,3.39005e-07,,
114765.549567,1.62601063441,1275.52,nan,100,324076.0,675.547242955,0.6,73.0994152047,0.215132,684,675.547242955,38727.7,675.547242955,1,570.529,4.56581e+09,50000,nan,1.51116e+07,114765.549567,8.12216e-06,9.2535e-07,,
117409.937611,2.39395176548,1227.06,nan,100,255710.0,689.009967993,0.6,74.6268656716,0.0254289,670,689.009967993,34534.7,689.009967993,1,3.0079,4829.93,50000,nan,9224.41,117409.937611,8.29187e-06,3.67046e-08,,
136759.051056,3.84264954006,1438.39,nan,100,288497.0,723.433014854,0.6,78.3699059561,0.0501155,638,723.433014854,24397.3,723.433014854,1,5.00025,26766.9,50000,nan,28777.7,136759.051056,8.70777e-06,8.11764e-08,,
135945.393144,3.33790686976,1406.4,nan,100,284349.0,694.958589214,0.6,75.3012048193,0.0552502,664,694.958589214,27167.2,694.958589214,1,5.55636,58409.2,50000,nan,36691.5,135945.393144,8.3668e-06,1.3244e-07,,
169022.947724,1.24175101394,1450.39,nan,100,321926.0,770.915498541,0.6,83.4724540902,0.0760364,599,770.915498541,49930.5,770.915498541,1,5.32107,63234.8,50000,nan,43623.4,169022.947724,9.27472e-06,1.92114e-07,,
173158.663041,4.54496017912,1475.57,nan,100,298326.0,803.743627633,0.6,87.1080139373,0.00859825,574,803.743627633,29552.0,803.743627633,1,2.77135,953.34,50000,nan,2461.99,173158.663041,9.67867e-06,1.16278e-08,,
219292.433365,0.69575724713,1809.17,nan,100,498319.0,870.651397766,0.6,94.3396226415,0.0676272,530,870.651397766,85754.7,870.651397766,1,33.3886,2.95677e+06,50000,nan,215411.0,219292.433365,1.04822e-05,2.91423e-07,,
205891.16571,1.35330654435,1800.59,nan,100,469268.0,849.915295416,0.6,92.0810313076,0.143273,543,849.915295416,44617.7,849.915295416,1,218.213,2.83358e+08,50000,nan,3.05574e+06,205891.16571,1.02312e-05,6.22915e-07,,
182492.761728,2.00941594365,1526.15,nan,100,336421.0,796.084878297,0.6,86.2068965517,0.419749,580,796.084878297,39672.2,796.084878297,1,49.8997,9.1768e+07,50000,nan,2.18669e+06,182492.761728,9.57854e-06,3.38139e-06,,
249787.843556,2.05603198183,1911.07,nan,100,409927.0,908.659314274,0.6,98.4251968504,0.148949,508,908.659314274,32242.2,908.659314274,1,14.2865,950001.0,50000,nan,194581.0,249787.843556,1.09361e-05,5.56671e-07,,
327307.156253,1.80659071914,2065.37,nan,100,488215.0,1097.06951749,0.6,118.764845606,0.0740106,421,1097.06951749,56150.3,1097.06951749,1,13.4241,351842.0,50000,nan,75289.5,327307.156253,1.31961e-05,3.39991e-07,,
320667.034208,1.99960743415,2323.32,nan,100,548173.0,972.582809654,0.6,105.263157895,0.470017,475,972.582809654,33830.1,972.582809654,1,188230.0,1.34099e+15,50000,nan,7.56429e+09,320667.034208,1.16959e-05,5.17747e-06,,
285655.756944,3.13018740101,1825.78,nan,100,453253.0,979.949735152,0.6,106.157112527,0.0862061,471,979.949735152,121312.0,979.949735152,1,4.88288,37614.9,50000,nan,35686.8,285655.756944,1.17952e-05,2.19493e-07,,
308388.345511,0.998890077689,2201.25,nan,100,519620.0,985.922753847,0.6,106.837606838,0.147085,468,985.922753847,43732.1,985.922753847,1,563.854,2.33328e+09,50000,nan,6.9864e+06,308388.345511,1.18708e-05,1.03418e-06,,
313822.846286,0.877468997456,2079.91,nan,100,446040.0,934.98603904,0.6,101.214574899,0.0561863,494,934.98603904,43045.5,934.98603904,1,19.3923,699814.0,50000,nan,96885.5,313822.846286,1.12461e-05,2.35356e-07,,
350528.610187,3.92501467635,2207.65,nan,100,505687.0,982.800778959,0.6,106.382978723,0.202252,470,982.800778959,42450.4,982.800778959,1,104.169,1.27002e+08,50000,nan,1.78239e+06,350528.610187,1.18203e-05,1.63529e-06,,
465040.766737,0.883276998677,2309.22,nan,100,537023.0,1106.36944689,0.6,119.904076739,0.0470283,417,1106.36944689,52357.9,1106.36944689,1,13.2444,167610.0,50000,nan,46751.9,465040.766737,1.33227e-05,1.69598e-07,,
418924.088883,1.9945947055,2288.35,nan,100,527158.0,1120.80567005,0.6,121.359223301,0.438155,412,1120.80567005,46985.8,1120.80567005,1,415.91,4.93936e+09,50000,nan,1.35144e+07,418924.088883,1.34844e-05,5.19197e-06,,
464377.999574,1.77025616891,2458.3,nan,100,561299.0,1228.14854044,0.6,132.978723404,0.226956,376,1228.14854044,50808.8,1228.14854044,1,135.811,1.47649e+08,50000,nan,2.08611e+06,464377.999574,1.47754e-05,1.74759e-06,,
424421.225191,1.71587286473,2277.91,nan,100,645224.0,1163.7745673,0.6,125.944584383,0.214464,397,1163.7745673,51044.0,1163.7745673,1,5996.78,2.75531e+11,50000,nan,9.19043e+07,424421.225191,1.39938e-05,1.50041e-06,,
474677.109795,1.71263783202,2285.14,nan,100,529418.0,1272.38082839,0.6,137.741046832,0.107388,363,1272.38082839,43601.4,1272.38082839,1,13.3428,409940.0,50000,nan,93622.8,474677.109795,1.53046e-05,5.39345e-07,,
519363.817461,3.01086862728,2605.39,nan,100,567716.0,1256.22253367,0.6,135.869565217,0.040364,368,1256.22253367,50643.0,1256.22253367,1,8.85161,51232.8,50000,nan,23666.7,519363.817461,1.50966e-05,1.49026e-07,,
