MaxVanillaIw,Bound,VanillaAvgRet,renyi2,BatchSize,J,AvgDiscRet,AvgEpLen,EpsThisIter,delta,VarRet,AvgRet,ESSClassic,AvgVanillaIw,VarVanillaIw,VarDiscRet,MinNormIw,MinVanillaIw,SamplesThisIter,VarNormIw,IterType,AvgNormIw,ESSRenyi,MaxNormIw,VarJ
1.30779e+10,332.298,130.276695259,nan,100,66028.4,130.276695259,14.2694063927,3504,0.6,5071.30637645,130.276695259,8.00019282376,166115.0,2.16933e+15,5071.30637645,,,50000,1.97622e-07,1,1.58549e-06,nan,0.124822,3907.46
2.46671e+07,311.579,136.280066302,nan,100,61387.8,136.280066302,14.9164677804,3352,0.6,5991.60340368,136.280066302,8.00584499727,343.164,8.08028e+09,5991.60340368,,,50000,1.88482e-07,1,1.65739e-06,nan,0.119135,12289.1
4.65744e+14,395.194,133.995710443,nan,100,75218.2,133.995710443,14.6713615023,3408,0.6,6048.41087353,133.995710443,7.99785919019,6.17342e+09,2.82959e+24,6048.41087353,,,50000,1.97301e-07,1,1.63015e-06,nan,0.122984,6405.47
2.5471e+11,406.773,155.968434256,nan,100,82448.5,155.968434256,17.029972752,2936,0.6,7520.24359123,155.968434256,3.86923162996,2.28334e+06,5.07637e+17,7520.24359123,,,50000,3.48621e-07,1,1.89222e-06,nan,0.211079,12690.9
4.82921e+12,395.112,167.048176496,nan,100,82331.6,167.048176496,18.221574344,2744,0.6,7159.37271949,167.048176496,7.99941771425,7.89197e+07,3.77756e+20,7159.37271949,,,50000,2.48615e-07,1,2.02462e-06,nan,0.123889,17295.6
1.46075e+10,404.688,194.113282522,nan,100,81067.5,194.113282522,21.1148648649,2368,0.6,8110.33744763,194.113282522,8.00000071443,274782.0,4.0048e+15,8110.33744763,,,50000,2.91941e-07,1,2.3461e-06,nan,0.124719,7221.26
3.69467e+14,559.731,227.131703094,nan,100,123702.0,227.131703094,24.6548323471,2028,0.6,11743.4515517,227.131703094,3.68856071259,6.01511e+09,1.6553e+24,11743.4515517,,,50000,3.43326e-07,1,2.73943e-06,nan,0.168264,10694.3
1.82021e+21,553.669,265.230855456,nan,100,118324.0,265.230855456,28.7356321839,1740,0.6,11179.1133795,265.230855456,3.99939635908,2.35334e+16,inf,11179.1133795,,,50000,7.78985e-07,1,3.19285e-06,nan,0.246953,8767.9
1.02685e+17,547.723,272.974798402,nan,100,113435.0,272.974798402,29.5508274232,1692,0.6,9653.83676842,272.974798402,4.0,1.34878e+12,1.38483e+29,9653.83676842,,,50000,8.20664e-07,1,3.28343e-06,nan,0.249972,6359.71
6.42809e+10,700.917,294.826402782,nan,100,140668.0,294.826402782,31.887755102,1568,0.6,15303.2653795,294.826402782,3.99911825613,926963.0,5.85728e+16,15303.2653795,,,50000,8.55724e-07,1,3.54308e-06,nan,0.245697,12077.3
