VanillaAvgRet,VarDiscRet,AvgVanillaIw,VarJ,AvgNormIw,IterType,AvgEpLen,AvgRet,ESSRenyi,AvgDiscRet,delta,MinVanillaIw,VarNormIw,renyi2,SamplesThisIter,BatchSize,ESSClassic,EpsThisIter,VarRet,MaxNormIw,MaxVanillaIw,VarVanillaIw,MinNormIw,J,Bound
131.655711952,5579.28062641,6.65694e+15,18512.2,1.60195e-06,1,14.4175317186,131.655711952,nan,131.655711952,0.7,,8.00972e-07,nan,50000,100,2.00000016282,3468,5579.28062641,0.5,2.07776e+21,inf,,77898.0,362.977
130.652091707,5194.39604969,7.61979e+10,17122.5,1.59003e-06,1,14.3102461362,130.652091707,nan,130.652091707,0.7,,4.08553e-07,nan,50000,100,2.00000017878,3494,5194.39604969,0.291742,1.3981e+16,9.38264e+26,,72266.9,362.493
138.623353129,6558.90300851,7.20184e+11,27471.0,1.68554e-06,1,15.1699029126,138.623353129,nan,138.623353129,0.7,,7.19776e-07,nan,50000,100,1.98772216491,3296,6558.90300851,0.460656,1.96825e+17,1.31403e+29,,94929.3,493.236
170.348748708,9188.11819684,6.807e+09,18272.5,2.06373e-06,1,18.573551263,170.348748708,nan,170.348748708,0.7,,1.0278e-06,nan,50000,100,1.99999980115,2692,9188.11819684,0.499015,1.64595e+15,1.11819e+25,,96476.4,465.405
235.766926543,11654.1603478,9.23576e+07,nan,2.84317e-06,1,25.5885363357,235.766926543,nan,235.766926543,0.7,,1.42056e-06,nan,50000,100,1.99999978836,1954,11654.1603478,0.49982,1.62362e+13,1.49899e+21,,nan,nan
253.452736926,12885.6396893,39.3164,15036.7,3.0525e-06,1,27.4725274725,253.452736926,nan,253.452736926,0.7,,3.32179e-07,nan,50000,100,1.66671174016,1820,12885.6396893,0.208763,2.68887e+06,5.51071e+07,,107837.0,596.714
278.066499984,14507.3236401,23314.4,14203.4,3.34672e-06,1,30.1204819277,278.066499984,nan,278.066499984,0.7,,1.67171e-06,nan,50000,100,2.00000008939,1660,14507.3236401,0.499755,3.48146e+09,8.11281e+13,,110369.0,590.208
306.088294686,13046.3820899,1261.71,15804.3,3.67918e-06,1,33.1125827815,306.088294686,nan,306.088294686,0.7,,1.81683e-06,nan,50000,100,1.9999980336,1510,13046.3820899,0.496898,1.70403e+08,2.13666e+11,,118803.0,613.072
336.925329653,17322.3326814,2.69202e+12,17326.3,4.04924e-06,1,36.443148688,336.925329653,nan,336.925329653,0.7,,2.02461e-06,nan,50000,100,1.99999995029,1372,17322.3326814,0.5,3.3241e+17,8.9485e+29,,130491.0,655.414
333.477960648,18489.9615165,6.00998,14515.5,4.00834e-06,1,36.075036075,333.477960648,nan,333.477960648,0.7,,2.79991e-07,nan,50000,100,1.98336203687,1386,18489.9615165,0.180946,271304.0,629451.0,,126799.0,677.712
331.602261203,19925.6440368,4.52397e+10,17410.6,3.98533e-06,1,35.8680057389,331.602261203,nan,331.602261203,0.7,,1.99266e-06,nan,50000,100,1.99999988909,1394,19925.6440368,0.5,5.67577e+15,2.56769e+26,,135521.0,753.352
349.837235173,23805.9373009,2992.9,18825.6,4.20239e-06,1,37.8214826021,349.837235173,nan,349.837235173,0.7,,1.96439e-06,nan,50000,100,1.99872348114,1322,23805.9373009,0.483296,3.44199e+08,9.9637e+11,,160751.0,822.002
360.055374886,28014.233857,1.35384e+21,12125.0,4.32676e-06,1,38.9408099688,360.055374886,nan,360.055374886,0.7,,2.16337e-06,nan,50000,100,2.00000016563,1284,28014.233857,0.5,1.5645e+26,inf,,165246.0,1016.68
374.119864012,27733.5587215,7.31127,14466.4,4.49479e-06,1,40.4530744337,374.119864012,nan,374.119864012,0.7,,2.08051e-07,nan,50000,100,2.06116538787,1236,27733.5587215,0.131748,214303.0,550474.0,,148771.0,769.649
415.99420071,46298.8856336,8.68397e+12,12779.9,4.996e-06,1,44.964028777,415.99420071,nan,415.99420071,0.7,,2.45692e-06,nan,50000,100,1.99990198859,1112,46298.8856336,0.495861,8.61897e+17,7.42306e+30,,222186.0,1284.26
382.147743435,35744.0085277,29.5003,18679.5,4.59137e-06,1,41.3223140496,382.147743435,nan,382.147743435,0.7,,5.19177e-07,nan,50000,100,3.67442688963,1210,35744.0085277,0.199751,1.28343e+06,2.14331e+07,,163339.0,881.979
462.285743469,54191.9433631,24.2678,21102.2,5.55556e-06,1,50.0,462.285743469,nan,462.285743469,0.7,,3.53007e-07,nan,50000,100,1.09066517603,1000,54191.9433631,0.125175,546790.0,6.7358e+06,,212626.0,1069.71
511.393387773,86572.8274604,3.03116e+10,20620.3,6.14553e-06,1,55.3097345133,511.393387773,nan,511.393387773,0.7,,3.07274e-06,nan,50000,100,1.99999989048,904,86572.8274604,0.5,2.46616e+15,7.47527e+25,,249133.0,1278.18
509.044709911,77639.9819579,5.23618e+08,25282.5,6.11845e-06,1,55.0660792952,509.044709911,nan,509.044709911,0.7,,2.95663e-06,nan,50000,100,1.9995535859,908,77639.9819579,0.491491,4.20619e+13,2.16543e+22,,275817.0,1271.64
559.697383386,115301.651751,176.038,26347.6,6.72585e-06,1,60.5326876513,559.697383386,nan,559.697383386,0.7,,1.34158e-06,nan,50000,100,1.74211397568,826,115301.651751,0.294603,7.71073e+06,9.19037e+08,,274721.0,1378.71
572.045667189,103926.960483,2.46246e+10,28902.9,6.87569e-06,1,61.8811881188,572.045667189,nan,572.045667189,0.7,,3.4374e-06,nan,50000,100,1.99999979026,808,103926.960483,0.499969,1.79059e+15,4.40896e+25,,331924.0,1545.88
606.435535951,105675.946045,447.607,22177.6,7.29076e-06,1,65.6167979003,606.435535951,nan,606.435535951,0.7,,3.5139e-06,nan,50000,100,2.00257655443,762,105675.946045,0.490889,3.01376e+07,1.32446e+10,,247421.0,1255.92
68.2335642688,89.4614438814,0.951557,268.591,8.44823e-07,1,7.60340632603,68.2335642688,nan,68.2335642688,0.7,2.0218e-13,5.57508e-12,nan,50000,100,42.4668570832,6576,89.4614438814,0.000140862,158.658,7.07276,1.79502e-19,12959.2,74.2887
