AvgVanillaIw,MaxNormIw,VarDiscRet,AvgRet,EpsThisIter,AvgEpLen,BatchSize,renyi2,MinNormIw,MinVanillaIw,VarJ,VarVanillaIw,IterType,AvgNormIw,J,VarNormIw,SamplesThisIter,Bound,ESSClassic,MaxVanillaIw,VanillaAvgRet,AvgDiscRet,ESSRenyi,delta,VarRet
1.46396e+19,0.0909091,4528.08811723,127.625190931,3574,13.9899272524,100,nan,,,2889.96,inf,1,1.55444e-06,88906.6,1.4131e-07,50000,469.015,11.0000012762,8.56178e+23,127.625190931,127.625190931,nan,0.7,4528.08811723
2.38042e+21,0.1,6467.65091691,141.878232274,3223,15.5134967422,100,nan,,,2546.85,inf,1,1.72372e-06,74214.0,1.72369e-07,50000,406.116,9.99999965466,1.38098e+26,141.878232274,141.878232274,nan,0.7,6467.65091691
797476.0,0.0682766,9493.59682766,157.626379695,2906,17.2057811425,100,nan,,,22824.0,1.79339e+16,1,1.91175e-06,125862.0,1.03063e-07,50000,615.934,10.4628262592,2.84812e+10,157.626379695,157.626379695,nan,0.7,9493.59682766
1.85475e+12,0.0908522,10302.6119225,178.591016349,2571,19.4476857254,100,nan,,,7200.65,1.44544e+29,1,2.16085e-06,96407.1,1.96191e-07,50000,487.661,10.9999963802,7.79821e+16,178.591016349,178.591016349,nan,0.7,10302.6119225
76.5753,0.0784669,8973.20942913,179.720849637,2554,19.5771339076,100,nan,,,18696.1,1.67022e+08,1,2.17524e-06,76590.4,1.34775e-07,50000,403.067,9.96494451447,2.76228e+06,179.720849637,179.720849637,nan,0.7,8973.20942913
4.16787e+13,0.0993674,12853.8728513,242.680854025,1900,26.3157894737,100,nan,,,2898.56,5.86609e+31,1,2.92398e-06,105464.0,2.88714e-07,50000,602.906,9.99960108738,1.4164e+18,242.680854025,242.680854025,nan,0.7,12853.8728513
3.67461e+12,0.092014,14197.5178001,253.483684643,1819,27.4876305662,100,nan,,,2539.24,3.75426e+29,1,3.05418e-06,104651.0,2.59354e-07,50000,566.322,9.96999609303,1.10706e+17,253.483684643,253.483684643,nan,0.7,14197.5178001
3.87023e+18,0.0999863,13133.8533347,302.538689284,1527,32.7439423707,100,nan,,,2120.05,inf,1,3.63822e-06,130068.0,3.6371e-07,50000,692.085,10.0000028615,1.06363e+23,302.538689284,302.538689284,nan,0.7,13133.8533347
1.25384e+19,0.1,19979.0770951,286.302089367,1612,31.017369727,100,nan,,,3446.43,inf,1,3.44637e-06,129227.0,3.44627e-07,50000,697.038,10.0000023858,3.63814e+23,286.302089367,286.302089367,nan,0.7,19979.0770951
3.59638e+14,0.0696791,24362.5932598,353.903141492,1307,38.2555470543,100,nan,,,2722.08,inf,1,4.25062e-06,161262.0,2.28748e-07,50000,833.726,9.02125875936,5.89544e+18,353.903141492,353.903141492,nan,0.7,24362.5932598
1385.0,0.0264096,28975.3165723,326.467524732,1415,35.3356890459,100,nan,,,3001.38,7.55934e+09,1,3.92619e-06,141875.0,6.07471e-08,50000,765.157,5.19553726099,9.31626e+06,326.467524732,326.467524732,nan,0.7,28975.3165723
6.94708e+07,0.0576693,35813.2563105,390.174350747,1186,42.1585160202,100,nan,,,2372.31,4.33674e+19,1,4.68428e-06,164274.0,1.97171e-07,50000,904.906,7.9004934823,8.55272e+11,390.174350747,390.174350747,nan,0.7,35813.2563105
