SamplesThisIter,ESSClassic,AvgEpLen,VarJ,VarVanillaIw,AvgVanillaIw,AvgDiscRet,delta,AvgRet,J,VanillaAvgRet,VarNormIw,ESSRenyi,renyi2,MinNormIw,IterType,AvgNormIw,VarRet,VarDiscRet,EpsThisIter,MaxVanillaIw,BatchSize,MinVanillaIw,MaxNormIw,Bound
50000,2.97043149399,14.2775556825,7485.95,5.40883e+27,1.75718e+11,130.335385761,0.8,130.335385761,70784.2,130.335385761,4.40851e-07,nan,nan,,1,1.5864e-06,4924.36998671,4924.36998671,3502,3.35456e+16,100,,0.302852,362.304
50000,3.00000016267,14.3843498274,35009.4,inf,4.57491e+19,131.319282899,0.8,131.319282899,69669.5,131.319282899,5.32752e-07,nan,nan,,1,1.59826e-06,5028.7712026,5028.7712026,3476,9.54142e+24,100,,0.333333,366.302
50000,1.99996327556,14.450867052,39920.5,inf,5.43772e+16,131.954771382,0.8,131.954771382,71405.0,131.954771382,7.95998e-07,nan,nan,,1,1.60565e-06,5478.23895514,5478.23895514,3460,1.68608e+22,100,,0.497865,413.457
50000,2.99999875387,16.4962058726,36392.8,2.50365e+24,3.71301e+09,151.01540041,0.8,151.01540041,65322.0,151.01540041,6.10104e-07,nan,nan,,1,1.83291e-06,7230.10662066,7230.10662066,3031,6.7477e+14,100,,0.333097,321.369
50000,2.99991783542,21.4408233276,35736.2,2.04221e+28,3.84373e+11,197.141738086,0.8,197.141738086,81382.5,197.141738086,7.84497e-07,nan,nan,,1,2.38231e-06,9246.79345143,9246.79345143,2332,5.34546e+16,100,,0.331307,383.733
50000,3.54698676799,28.7026406429,29595.3,1.07368e+11,1180.66,264.9355131,0.8,264.9355131,91192.7,264.9355131,7.83399e-07,nan,nan,,1,3.18918e-06,9675.20173845,9675.20173845,1742,1.0409e+08,100,,0.281165,507.409
50000,1.3468118325,32.175032175,17156.6,1917.18,2.46632,297.284143042,0.8,297.284143042,86484.4,297.284143042,4.02824e-09,nan,nan,,1,3.575e-06,9183.81109779,9183.81109779,1554,6750.29,100,,0.00978474,459.839
50000,2.00000018752,33.5570469799,15767.7,8.95201e+25,2.58379e+10,310.296498841,0.8,310.296498841,110292.0,310.296498841,1.86419e-06,nan,nan,,1,3.72856e-06,8022.44035251,8022.44035251,1490,3.46478e+15,100,,0.499989,615.324
50000,2.00000000295,34.0136054422,18347.3,inf,7.86595e+18,314.436481545,0.8,314.436481545,106951.0,314.436481545,1.88964e-06,nan,nan,,1,3.77929e-06,9895.79597349,9895.79597349,1470,1.04067e+24,100,,0.5,587.448
50000,1.76058204588,33.6247478144,13624.1,1.1364e+06,7.93097,310.861256925,0.8,310.861256925,102286.0,310.861256925,2.52181e-07,nan,nan,,1,3.73608e-06,11353.850845,11353.850845,1487,357977.0,100,,0.168634,543.581
50000,2.99999450492,34.3642611684,45775.4,2.90636e+28,5.77785e+11,317.802678612,0.8,317.802678612,107605.0,317.802678612,1.26925e-06,nan,nan,,1,3.81825e-06,11601.4851062,11601.4851062,1455,5.03713e+16,100,,0.332875,558.212
50000,1.99998670728,30.8451573103,31692.3,4.89741e+10,685.969,284.987358105,0.8,284.987358105,102047.0,284.987358105,1.22249e-06,nan,nan,,1,3.42724e-06,11896.6577545,11896.6577545,1621,8.39333e+07,100,,0.419348,547.427
50000,1.99348044602,37.2856077554,12240.6,2.61964e+25,1.58651e+10,345.013594816,0.8,345.013594816,126502.0,345.013594816,1.78631e-06,nan,nan,,1,4.14285e-06,15642.0607477,15642.0607477,1341,1.77521e+15,100,,0.46356,740.757
50000,2.06117221456,36.075036075,32436.6,2.03275e+06,12.9691,333.685294404,0.8,333.685294404,128972.0,333.685294404,1.94174e-07,nan,nan,,1,4.00834e-06,17633.7775929,17633.7775929,1386,371499.0,100,,0.114819,704.714
50000,1.99999987958,37.6506024096,14374.7,inf,2.75331e+20,348.480586985,0.8,348.480586985,123456.0,348.480586985,2.09169e-06,nan,nan,,1,4.1834e-06,14757.6268604,14757.6268604,1328,3.29076e+25,100,,0.5,677.263
50000,1.0,37.9650721336,23955.2,1.80271e+24,2.7579e+09,351.20938614,0.8,351.20938614,152787.0,351.20938614,4.21747e-06,nan,nan,,1,4.21834e-06,21550.6077918,21550.6077918,1317,6.5372e+14,100,,0.999897,811.202
50000,1.99978577607,38.61003861,11212.8,1.06951e+23,9.68151e+08,357.207841773,0.8,357.207841773,134882.0,357.207841773,2.09998e-06,nan,nan,,1,4.29e-06,17934.8044821,17934.8044821,1295,1.11642e+14,100,,0.4947,733.242
50000,1.99995872957,38.6398763524,16381.5,3.51618e+12,5557.19,357.589777974,0.8,357.589777974,137360.0,357.589777974,2.09869e-06,nan,nan,,1,4.29332e-06,21557.9759907,21557.9759907,1294,6.399e+08,100,,0.494368,759.935
50000,1.92404256133,43.4027777778,27661.2,1.16434e+08,63.8119,401.521249645,0.8,401.521249645,157894.0,401.521249645,6.65007e-07,nan,nan,,1,4.82253e-06,33192.877538,33192.877538,1152,3.27953e+06,100,,0.247847,850.642
