J,MinNormIw,VarDiscRet,MaxNormIw,VarJ,AvgEpLen,BatchSize,ESSRenyi,MaxVanillaIw,delta,Bound,ESSClassic,EpsThisIter,MinVanillaIw,AvgNormIw,AvgRet,IterType,AvgDiscRet,VanillaAvgRet,VarNormIw,VarVanillaIw,VarRet,AvgVanillaIw,renyi2,SamplesThisIter
-29196.5,,9847.22734727,0.0824875,1589.35,450.45045045,100,nan,1.01475e+19,0.7,-161.99,10.970713645,111,,5.00501e-05,-366.923811467,1,-366.923811467,-366.923811467,3.75373e-06,inf,9847.22734727,6.15707e+15,nan,50000
nan,,9398.08822801,0.0903503,nan,446.428571429,100,nan,1.70449e+18,0.7,nan,10.9995997288,112,,4.96032e-05,-359.885513458,1,-359.885513458,-359.885513458,4.45204e-06,1.58449e+33,9398.08822801,9.35781e+14,nan,50000
-30710.3,,9020.35048402,0.0816853,1743.35,454.545454545,100,nan,6.23667e+20,0.7,-164.018,9.60529564179,110,,5.05051e-05,-361.441236632,1,-361.441236632,-361.441236632,3.50605e-06,inf,9020.35048402,3.85606e+17,nan,50000
nan,,1252.62514611,0.937934,nan,495.04950495,100,nan,1.44524e+15,0.7,nan,0.995647195825,101,,5.50055e-05,-401.132576971,1,-401.132576971,-401.132576971,4.86007e-05,1.15392e+26,1252.62514611,8.47566e+10,nan,50000
-36129.7,,8711.02183007,0.0749871,1976.4,450.45045045,100,nan,1.09695e+21,0.7,-197.684,10.6658236168,111,,5.00501e-05,-360.756955658,1,-360.756955658,-360.756955658,3.19043e-06,inf,8711.02183007,7.3216e+17,nan,50000
nan,,21042.2960394,0.00070932,nan,375.939849624,100,nan,99.8458,0.7,nan,2.47705334791,133,,4.17711e-05,-289.397267176,1,-289.397267176,-289.397267176,1.08347e-08,214.681,21042.2960394,5.87981,nan,50000
-29883.1,,12109.6605953,0.0908893,3504.59,442.477876106,100,nan,1.29894e+18,0.7,-173.996,11.0000011632,113,,4.91642e-05,-349.641735697,1,-349.641735697,-349.641735697,4.46533e-06,9.12017e+32,12109.6605953,7.02626e+14,nan,50000
-21771.0,,22260.5671263,0.00143604,1607.87,378.787878788,100,nan,474.652,0.7,-132.592,2.1060956755,132,,4.20875e-05,-305.431201859,1,-305.431201859,-305.431201859,1.96494e-08,2146.69,22260.5671263,13.9112,nan,50000
-19047.2,,24766.7262889,0.00285727,1871.12,347.222222222,100,nan,617.752,0.7,-116.779,10.0088870369,144,,3.85802e-05,-270.755875336,1,-270.755875336,-270.755875336,1.35077e-08,631.407,24766.7262889,8.3412,nan,50000
-23503.4,,15396.8533274,0.00888459,1723.79,406.504065041,100,nan,17864.0,0.7,-134.488,3.31312150185,123,,4.51671e-05,-312.632523941,1,-312.632523941,-312.632523941,1.08826e-07,439962.0,15396.8533274,90.8163,nan,50000
-28203.8,,15675.1237331,0.00678508,1453.26,416.666666667,100,nan,6676.61,0.7,-158.977,4.01956612469,120,,4.62963e-05,-334.784479945,1,-334.784479945,-334.784479945,7.5397e-08,73005.6,15675.1237331,45.5562,nan,50000
nan,,15636.0293991,0.0829392,nan,403.225806452,100,nan,3.12082e+22,0.7,nan,9.76713118008,124,,4.48029e-05,-306.625351352,1,-306.625351352,-306.625351352,3.15357e-06,inf,15636.0293991,1.68583e+19,nan,50000
-20660.1,,21675.1315278,0.00822043,1574.22,378.787878788,100,nan,3747.3,0.7,-120.859,6.24178643505,132,,4.20875e-05,-293.748769979,1,-293.748769979,-293.748769979,4.75507e-08,9881.09,21675.1315278,19.1857,nan,50000
-21418.7,,22859.7747411,0.00107762,1635.51,375.939849624,100,nan,401.948,0.7,-116.444,1.29608694502,133,,4.17711e-05,-303.657759486,1,-303.657759486,-303.657759486,1.99159e-08,2770.8,22859.7747411,15.5804,nan,50000
-19418.6,,20508.2683065,0.00273331,1346.09,378.787878788,100,nan,868.634,0.7,-123.427,1.69431272469,132,,4.20875e-05,-292.677945066,1,-292.677945066,-292.677945066,2.16025e-08,2181.73,20508.2683065,13.3752,nan,50000
nan,,15059.119002,0.00923878,nan,400.0,100,nan,3921.6,0.7,nan,5.92089408969,125,,4.44444e-05,-300.582844258,1,-300.582844258,-300.582844258,7.08274e-08,12761.4,15059.119002,18.8654,nan,50000
nan,,25117.0642769,0.000793838,nan,310.559006211,100,nan,99.3282,0.7,nan,2.6203008127,161,,3.45066e-05,-241.323083063,1,-241.323083063,-241.323083063,5.82594e-09,91.211,25117.0642769,4.3176,nan,50000
-22181.2,,18916.4904865,0.00416791,1389.9,378.787878788,100,nan,1100.42,0.7,-127.315,4.4898312464,132,,4.20875e-05,-283.826342157,1,-283.826342157,-283.826342157,2.18947e-08,1526.22,18916.4904865,11.112,nan,50000
-16805.7,,22691.1650814,0.0999976,1806.58,375.939849624,100,nan,5.44104e+16,0.7,-90.2736,9.99999907048,133,,4.17711e-05,-292.097869404,1,-292.097869404,-292.097869404,4.17534e-06,1.23617e+30,22691.1650814,2.27284e+13,nan,50000
-28427.7,,11606.2284227,0.0933756,2074.24,446.428571429,100,nan,5.70571e+17,0.7,-148.019,9.95587137055,112,,4.96032e-05,-365.227010351,1,-365.227010351,-365.227010351,4.34182e-06,1.62116e+32,11606.2284227,3.031e+14,nan,50000
-27295.6,,12811.5787678,0.0523164,2260.79,434.782608696,100,nan,7.27147e+22,0.7,-154.573,5.48968006384,115,,4.83092e-05,-341.786868618,1,-341.786868618,-341.786868618,2.40634e-06,inf,12811.5787678,6.71451e+19,nan,50000
-17160.9,,21116.422458,0.000849701,1410.4,232.558139535,100,nan,66.1755,0.7,-94.1597,4.00150873364,215,,2.58398e-05,-176.562386622,1,-176.562386622,-176.562386622,3.48159e-09,21.1174,21116.422458,2.01243,nan,50000
-17098.5,,19652.1743576,0.00426552,1304.99,306.748466258,100,nan,1027.23,0.7,-108.643,4.07612289959,163,,3.40832e-05,-232.300858812,1,-232.300858812,-232.300858812,1.74124e-08,1009.84,19652.1743576,8.20798,nan,50000
-19464.5,,24483.2148511,0.00140393,1455.89,316.455696203,100,nan,252.791,0.7,-114.582,3.56552757909,158,,3.51617e-05,-247.53112949,1,-247.53112949,-247.53112949,1.22018e-08,395.6,24483.2148511,6.3312,nan,50000
-16687.3,,22886.6337924,0.0022744,1373.47,299.401197605,100,nan,382.939,0.7,-97.1678,4.82394792863,167,,3.32668e-05,-222.845341025,1,-222.845341025,-222.845341025,7.52367e-09,213.283,22886.6337924,5.60111,nan,50000
-16546.0,,19413.806859,0.0121275,1040.14,255.102040816,100,nan,2178.58,0.7,-100.205,9.7711424012,196,,2.83447e-05,-191.582008892,1,-191.582008892,-191.582008892,4.57434e-08,1476.15,19413.806859,5.09181,nan,50000
-14339.6,,22216.563294,0.00294147,1197.46,255.102040816,100,nan,446.148,0.7,-84.3855,4.98166785987,196,,2.83447e-05,-186.789167934,1,-186.789167934,-186.789167934,5.90834e-09,135.923,22216.563294,4.29918,nan,50000
-16895.4,,19886.4560351,0.00122522,1096.56,250.0,100,nan,64.7461,0.7,-100.034,7.59754047405,200,,2.77778e-05,-184.177365905,1,-184.177365905,-184.177365905,3.75377e-09,10.4825,19886.4560351,1.4679,nan,50000
-14464.5,,23163.0698452,0.000391108,1090.8,217.391304348,100,nan,36.3688,0.7,-85.0054,3.81711655058,230,,2.41546e-05,-165.412900679,1,-165.412900679,-165.412900679,1.713e-09,14.8123,23163.0698452,2.24612,nan,50000
-15032.0,,16202.8416553,0.000732135,1037.9,212.765957447,100,nan,73.2141,0.7,-89.1081,4.1964025292,235,,2.36407e-05,-155.148942741,1,-155.148942741,-155.148942741,2.18661e-09,21.8664,16202.8416553,2.36408,nan,50000
-14163.9,,11324.3160705,0.00118069,822.772,183.15018315,100,nan,114.108,0.7,-87.5418,4.32890632064,273,,2.035e-05,-130.395592026,1,-130.395592026,-130.395592026,1.60423e-09,14.9838,11324.3160705,1.96672,nan,50000
-14504.6,,15199.570943,0.000303546,873.513,194.552529183,100,nan,21.164,0.7,-88.2732,6.64162237738,257,,2.16169e-05,-140.142206745,1,-140.142206745,-140.142206745,9.95142e-10,4.83763,15199.570943,1.50719,nan,50000
-12595.3,,10760.6097008,0.000206332,670.012,146.627565982,100,nan,18.2015,0.7,-78.4046,5.10019072093,341,,1.6292e-05,-107.467914807,1,-107.467914807,-107.467914807,5.14683e-10,4.00515,10760.6097008,1.43718,nan,50000
