renyi2,J,MinNormIw,ESSClassic,BatchSize,ESSRenyi,SamplesThisIter,delta,MaxNormIw,AvgDiscRet,VarNormIw,IterType,MinVanillaIw,AvgEpLen,AvgNormIw,EpsThisIter,MaxVanillaIw,VarJ,VarDiscRet,Bound,VarRet,AvgVanillaIw,VanillaAvgRet,VarVanillaIw,AvgRet
nan,-33242.6,,10.9979719162,100,nan,50000,0.8,0.0894045,-367.912270879,4.39917e-06,1,,450.45045045,5.00501e-05,111,3.32247e+20,1377.48,8912.64006365,-168.918,8912.64006365,1.85997e+17,-367.912270879,inf,-367.912270879
nan,-73783.9,2.30339e-05,0.889021443324,100,nan,50000,0.8,0.000230207,-410.925852878,1.77663e-10,1,0.386877,500.0,5.55556e-05,100,3.86655,206.388,37.3024875478,-430.832,37.3024875478,0.933111,-410.925852878,0.0501199,-410.925852878
nan,nan,,0.998009041966,100,nan,50000,0.8,0.932785,-397.084625537,4.79547e-05,1,,495.04950495,5.50055e-05,101,6.10408e+19,nan,1413.45718787,nan,1413.45718787,3.59952e+15,-397.084625537,inf,-397.084625537
nan,-39142.8,,10.9999614973,100,nan,50000,0.8,0.0906614,-367.779453684,4.56408e-06,1,,454.545454545,5.05051e-05,110,1.13796e+13,2790.25,8716.87459844,-219.638,8716.87459844,6.33927e+09,-367.779453684,7.19055e+22,-367.779453684
nan,-68949.6,,0.958282035286,100,nan,50000,0.8,0.00036071,-396.504414145,4.67418e-09,1,,500.0,5.55555e-05,100,9.61867,250.51,294.00418559,-408.602,294.00418559,1.48144,-396.504414145,3.32367,-396.504414145
nan,-42819.4,,1.0,100,nan,50000,0.8,0.999977,-394.336495917,5.50029e-05,1,,495.04950495,5.50055e-05,101,2.19396e+20,1627.78,1668.05072804,-297.221,1668.05072804,1.20683e+16,-394.336495917,inf,-394.336495917
nan,-41067.0,,1.0,100,nan,50000,0.8,0.820441,-398.214519895,3.84078e-05,1,,490.196078431,5.44662e-05,102,8.86375e+11,2452.18,2486.39754295,-239.571,2486.39754295,5.88434e+07,-398.214519895,4.48291e+19,-398.214519895
nan,-37203.7,,9.99962152078,100,nan,50000,0.8,0.0993661,-363.689508493,4.93968e-06,1,,450.45045045,5.00501e-05,111,1.42603e+20,1148.95,7949.58047506,-202.621,7949.58047506,7.1828e+16,-363.689508493,inf,-363.689508493
nan,-63153.3,,13.0625282933,100,nan,50000,0.8,0.0388832,-398.816584955,1.01275e-06,1,,500.0,5.55556e-05,100,18842.5,406.337,576.548147323,-397.653,576.548147323,26.9218,-398.816584955,237824.0,-398.816584955
nan,nan,,1.97689458972,100,nan,50000,0.8,0.331874,-400.655929875,1.19156e-05,1,,490.196078431,5.44662e-05,102,1.55338e+08,nan,2531.9699467,nan,2531.9699467,25493.6,-400.655929875,2.61051e+12,-400.655929875
nan,-33678.6,,1.0,100,nan,50000,0.8,1.0,-389.549165053,5.39374e-05,1,,485.436893204,5.39374e-05,103,7.38539e+14,3113.03,4414.36257506,-181.045,4414.36257506,3.98349e+10,-389.549165053,2.94196e+25,-389.549165053
nan,nan,,9.99999698527,100,nan,50000,0.8,0.0999169,-323.208515886,4.47104e-06,1,,403.225806452,4.48029e-05,124,2.10963e+09,nan,17534.4610693,nan,17534.4610693,945962.0,-323.208515886,1.99317e+15,-323.208515886
nan,-25984.8,,9.99999935085,100,nan,50000,0.8,0.1,-327.579689459,4.55186e-06,1,,409.836065574,4.55373e-05,122,1.31651e+12,1538.19,16376.0080442,-138.314,16376.0080442,5.99504e+08,-327.579689459,7.8893e+20,-327.579689459
nan,-25002.9,,10.0215808,100,nan,50000,0.8,0.0997088,-322.555687179,4.56277e-06,1,,413.223140496,4.59137e-05,121,2.859e+08,2263.51,15866.5414635,-117.476,15866.5414635,131651.0,-322.555687179,3.75138e+13,-322.555687179
nan,-19780.8,,4.26716405808,100,nan,50000,0.8,0.00533439,-272.419532348,3.24596e-08,1,,349.65034965,3.885e-05,143,2449.74,1536.43,21348.4823155,-110.871,21348.4823155,17.8413,-272.419532348,6845.66,-272.419532348
nan,-19771.1,,9.99981999323,100,nan,50000,0.8,0.0969345,-295.025876248,3.92345e-06,1,,375.939849624,4.17711e-05,133,1.22678e+07,1549.48,20335.0988693,-102.534,20335.0988693,5286.46,-295.025876248,6.28416e+10,-295.025876248
nan,-17269.3,,2.1834933328,100,nan,50000,0.8,0.000820725,-238.204198754,9.29752e-09,1,,304.87804878,3.38753e-05,164,167.133,1218.46,25661.6192495,-98.071,25661.6192495,6.89839,-238.204198754,385.563,-238.204198754
nan,-17817.4,,2.23662335951,100,nan,50000,0.8,0.00257282,-246.674062757,1.54617e-08,1,,318.47133758,3.53857e-05,157,635.184,1571.97,24314.6817745,-96.6926,24314.6817745,8.7361,-246.674062757,942.4,-246.674062757
nan,-15695.4,,8.49072848555,100,nan,50000,0.8,0.000954997,-222.718127738,6.76027e-09,1,,303.03030303,3.367e-05,165,185.072,1024.71,22766.7454669,-89.7757,22766.7454669,6.52503,-222.718127738,253.888,-222.718127738
nan,-15540.0,,2.63331754274,100,nan,50000,0.8,0.000797034,-193.365841027,4.63473e-09,1,,252.525252525,2.80584e-05,198,74.1897,1027.65,21755.3449218,-92.9922,21755.3449218,2.61173,-193.365841027,40.1567,-193.365841027
nan,-14203.1,,5.6448152098,100,nan,50000,0.8,0.0012514,-205.987977058,6.22317e-09,1,,264.55026455,2.93945e-05,189,219.081,1245.84,26643.1239873,-82.4349,26643.1239873,5.14607,-205.987977058,190.736,-205.987977058
nan,-12334.8,,5.81037871486,100,nan,50000,0.8,0.000762434,-135.882780091,1.38112e-09,1,,185.185185185,2.05761e-05,270,65.4049,782.293,16907.4043835,-74.5689,16907.4043835,1.76511,-135.882780091,10.1636,-135.882780091
nan,-11004.3,,7.16199418208,100,nan,50000,0.8,0.00081744,-106.249799185,9.04995e-10,1,,148.80952381,1.65344e-05,336,77.0361,631.995,11861.5422291,-68.8389,11861.5422291,1.55821,-106.249799185,8.03755,-106.249799185
nan,-9772.22,,2.2710816418,100,nan,50000,0.8,0.00127436,-113.838297312,1.73371e-09,1,,151.975683891,1.68862e-05,329,113.698,816.03,15661.701233,-64.7698,15661.701233,1.50659,-113.838297312,13.8007,-113.838297312
nan,-10900.2,7.84756e-34,5.31625688684,100,nan,50000,0.8,7.41666e-05,-71.9923441193,9.65008e-11,1,6.78635e-29,103.734439834,1.15261e-05,482,6.41373,239.966,2448.51013851,-67.9512,2448.51013851,0.996741,-71.9923441193,0.721663,-71.9923441193
35.6613,-9737.5,2.54263e-12,4.58005687461,100,3.25470886776e-14,50000,0.8,0.000119525,-58.3776292202,7.11049e-11,1,3.09956e-07,84.8896434635,9.43218e-06,589,14.5705,319.714,356.232914081,-61.7066,356.232914081,1.14981,-58.3776292202,1.05665,-58.3776292202
nan,-10122.1,6.7421e-10,5.95686432851,100,nan,50000,0.8,6.78261e-05,-61.0587959489,7.0561e-11,1,7.93466e-05,89.928057554,9.99201e-06,556,7.98235,220.238,564.10913774,-63.4963,564.10913774,1.17594,-61.0587959489,0.977309,-61.0587959489
