ESSRenyi,renyi2,MinNormIw,delta,AvgEpLen,ESSClassic,BatchSize,VarNormIw,AvgNormIw,MaxNormIw,J,VarJ,SamplesThisIter,MinVanillaIw,VanillaAvgRet,AvgVanillaIw,VarRet,AvgRet,VarVanillaIw,AvgDiscRet,MaxVanillaIw,IterType,EpsThisIter,VarDiscRet,Bound
nan,nan,,0.4,500.0,1.29805503967,100,2.45196e-07,5.52486e-05,0.0244503,nan,nan,50000,,-4.55134022352,9.92692,35.7093111622,-4.55134022352,7915.89,-4.55134022352,4393.17,1,100,35.7093111622,nan
nan,nan,,0.4,500.0,1.21259931464,100,2.70388e-08,5.52486e-05,0.00175239,305.181,41.6689,50000,,-5.68526608271,4.028,22.3797263315,-5.68526608271,143.722,-5.68526608271,127.761,1,100,22.3797263315,-2.04636
nan,nan,,0.4,500.0,0.70558515061,100,5.71231e-08,5.52486e-05,0.00533653,583.287,75.7364,50000,,-6.00947065222,6.31726,20.4597230085,-6.00947065222,746.837,-6.00947065222,610.191,1,100,20.4597230085,-2.28386
nan,nan,,0.4,500.0,0.709457856991,100,2.12246e-08,5.52486e-05,0.00149509,8.53076,75.8286,50000,,-6.20342628619,2.62222,16.1473701751,-6.20342628619,47.812,-6.20342628619,70.9605,1,100,16.1473701751,-3.8975
nan,nan,6.90336e-16,0.4,500.0,1.33951251423,100,1.14542e-08,5.52486e-05,0.000919535,-357.39,35.6956,50000,2.13896e-11,-6.08400043826,1.71184,15.4264904443,-6.08400043826,10.9964,-6.08400043826,28.4912,1,100,15.4264904443,-5.33223
nan,nan,6.60507e-39,0.4,500.0,0.395857680086,100,3.59604e-08,5.52486e-05,0.00270574,234.095,64.9426,50000,4.73623e-34,-6.32079082649,3.96166,18.1511695055,-6.32079082649,184.9,-6.32079082649,194.018,1,100,18.1511695055,-2.42156
nan,nan,7.90583e-20,0.4,500.0,1.11860419415,100,1.67792e-08,5.52486e-05,0.00107755,-134.594,34.019,50000,3.05721e-15,-5.91331120776,2.13649,18.24166524,-5.91331120776,25.0916,-5.91331120776,41.6694,1,100,18.24166524,-4.27641
nan,nan,,0.4,500.0,1.81135330064,100,9.24606e-08,5.52486e-05,0.00952087,586.314,83.0634,50000,,-6.25158297136,8.06358,20.966546006,-6.25158297136,1969.56,-6.25158297136,1389.58,1,100,20.966546006,-2.10106
nan,nan,1.16383e-25,0.4,500.0,0.702254409931,100,2.33501e-08,5.52486e-05,0.0013329,289.799,45.5205,50000,7.84901e-21,-4.90635231966,3.72604,19.8978918776,-4.90635231966,106.204,-4.90635231966,89.8922,1,100,19.8978918776,-2.14478
nan,nan,5.76326e-20,0.4,500.0,1.36014104487,100,3.58255e-08,5.52486e-05,0.00675856,165.714,103.968,50000,2.79616e-15,-5.8664248201,2.6805,19.4181020869,-5.8664248201,84.3298,-5.8664248201,327.905,1,100,19.4181020869,-3.48728
nan,nan,,0.4,500.0,0.651629991983,100,2.02987e-08,5.52486e-05,0.00125378,134.532,63.7438,50000,,-5.47415144815,2.84135,20.4010959666,-5.47415144815,53.6875,-5.47415144815,64.4798,1,100,20.4010959666,-3.23668
nan,nan,,0.4,500.0,0.3703172185,100,2.54295e-07,5.52486e-05,0.0196073,868.431,175.544,50000,,-5.40045861617,7.92907,18.4104423057,-5.40045861617,5237.7,-5.40045861617,2813.97,1,100,18.4104423057,-1.17981
nan,nan,1.96187e-20,0.4,500.0,0.572391456424,100,1.70155e-08,5.52486e-05,0.00116873,-176.513,63.1083,50000,7.34269e-16,-6.76972584153,2.06779,17.4138731955,-6.76972584153,23.8348,-6.76972584153,43.7418,1,100,17.4138731955,-4.59074
