ESSClassic,J,VarNormIw,VarRet,IterType,VarJ,VarDiscRet,AvgDiscRet,AvgRet,EpsThisIter,SamplesThisIter,BatchSize,AvgNormIw,MaxNormIw,MinNormIw,MinVanillaIw,Bound,renyi2,VarVanillaIw,MaxVanillaIw,AvgEpLen,delta,AvgVanillaIw,ESSRenyi,VanillaAvgRet
23.4176649902,258.785,1.317e-07,81.4423387725,1,18.1171,81.4423387725,-6.98253429822,-6.98253429822,100,50000,100,5.52486e-05,0.00718292,3.18174e-35,1.81275e-29,-2.0655,nan,42749.7,4092.37,500.0,0.5,31.4771,nan,-6.98253429822
22.0000141853,nan,2.50839e-06,9.70526058908,1,nan,9.70526058908,-3.09177738376,-3.09177738376,100,50000,100,5.52486e-05,0.0454545,,,nan,nan,1145.42,971.321,500.0,0.5,1.18061,nan,-3.09177738376
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
nan,nan,nan,nan,1,nan,nan,nan,nan,100,50000,100,nan,nan,nan,nan,nan,nan,nan,nan,500.0,0.5,nan,nan,nan
