IterType,MaxNormIw,AvgNormIw,AvgRet,Bound,renyi2,VanillaAvgRet,VarJ,ESSClassic,MinNormIw,VarDiscRet,delta,J,AvgEpLen,MinVanillaIw,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,VarRet,VarVanillaIw,AvgVanillaIw,BatchSize,MaxVanillaIw,SamplesThisIter
1,0.332988,5.52486e-05,-3.81629594252,nan,nan,-3.81629594252,nan,2.99999873407,,72.4077300872,0.8,nan,500.0,,nan,1.8376e-05,100,-3.81629594252,72.4077300872,4.97937e+33,9.09459e+14,100,5.48138e+18,50000
1,0.275866,5.52486e-05,-3.67774313174,7.57824,nan,-3.67774313174,18.1895,2.92650681838,,47.2664941492,0.8,2399.42,500.0,,nan,1.2928e-05,100,-3.67774313174,47.2664941492,inf,1.54056e+19,100,7.69229e+22,50000
1,0.333295,5.52486e-05,-5.49144272118,0.475578,nan,-5.49144272118,72.1081,3.00000025872,,55.70877971,0.8,1523.57,500.0,,nan,1.841e-05,100,-5.49144272118,55.70877971,5.94327e+28,3.13912e+12,100,1.89372e+16,50000
1,0.231318,5.52486e-05,-3.48948760887,12.2941,nan,-3.48948760887,19.9492,2.52647648597,,48.845913148,0.8,2865.96,500.0,,nan,1.05285e-05,100,-3.48948760887,48.845913148,inf,2.67831e+18,100,1.12137e+22,50000
1,0.175817,5.52486e-05,-1.78066346699,9.16643,nan,-1.78066346699,30.5494,2.27111334712,,46.7930251779,0.8,2316.9,500.0,,nan,6.7651e-06,100,-1.78066346699,46.7930251779,2.30101e+22,3.22213e+09,100,1.02537e+13,50000
1,0.332525,5.52486e-05,-5.38502220814,5.01957,nan,-5.38502220814,59.99,2.99998346952,,60.357523514,0.8,1989.25,500.0,,nan,1.8325e-05,100,-5.38502220814,60.357523514,inf,1.93476e+16,100,1.16447e+20,50000
1,0.251285,5.52486e-05,-0.603125025535,9.6291,nan,-0.603125025535,31.4614,2.89797059268,,35.907237648,0.8,2236.06,500.0,,nan,1.08319e-05,100,-0.603125025535,35.907237648,inf,3.47998e+16,100,1.58278e+20,50000
1,0.485527,5.52486e-05,-2.65002995709,8.85194,nan,-2.65002995709,34.5351,1.99822888648,,49.5713290329,0.8,2192.49,500.0,,nan,2.60697e-05,100,-2.65002995709,49.5713290329,inf,4.06184e+15,100,3.56957e+19,50000
1,0.29909,5.52486e-05,-4.85669126464,13.707,nan,-4.85669126464,30.5225,2.97619131836,,65.1124665668,0.8,3438.04,500.0,,nan,1.49431e-05,100,-4.85669126464,65.1124665668,inf,1.32146e+16,100,7.15373e+19,50000
1,0.19518,5.52486e-05,-4.28615597377,7.83085,nan,-4.28615597377,70.6461,2.14062203817,,71.9902671559,0.8,1920.63,500.0,,nan,8.84954e-06,100,-4.28615597377,71.9902671559,6.36129e+17,1.48127e+07,100,5.23296e+10,50000
1,0.300776,5.52486e-05,-2.47920924571,5.13575,nan,-2.47920924571,47.0971,2.99977402419,,32.4701368755,0.8,1459.33,500.0,,nan,1.51015e-05,100,-2.47920924571,32.4701368755,6.96491e+11,11865.0,100,6.45937e+07,50000
1,0.228026,5.52486e-05,-0.599271620195,20.896,nan,-0.599271620195,31.0876,2.61248718454,,89.4528606868,0.8,4933.92,500.0,,nan,9.89392e-06,100,-0.599271620195,89.4528606868,2.47347e+20,2.76242e+08,100,1.14013e+12,50000
1,0.294302,5.52486e-05,-3.37039217631,4.70052,nan,-3.37039217631,27.8623,2.95206840118,,30.4135963396,0.8,1583.79,500.0,,nan,1.45867e-05,100,-3.37039217631,30.4135963396,4.18089e+33,9.35356e+14,100,4.98252e+18,50000
1,0.48353,5.52486e-05,-1.32727279944,18.9638,nan,-1.32727279944,30.2873,1.99829325253,,74.1065357892,0.8,4495.95,500.0,,nan,2.58549e-05,100,-1.32727279944,74.1065357892,1.91552e+32,1.50381e+14,100,1.31612e+18,50000
1,0.879312,5.52486e-05,2.34346342446,nan,nan,2.34346342446,nan,0.98153817034,,117.230915495,0.8,nan,500.0,,nan,4.35205e-05,100,2.34346342446,117.230915495,inf,7.56902e+15,100,1.20465e+20,50000
1,0.499999,5.52486e-05,1.14765895666,18.8647,nan,1.14765895666,99.9712,1.99999989987,,86.1275736806,0.8,4453.32,500.0,,nan,2.76227e-05,100,1.14765895666,86.1275736806,inf,1.17702e+16,100,1.0652e+20,50000
1,0.999895,5.52486e-05,0.814206819903,18.8369,nan,0.814206819903,61.3949,1.0,,59.8407084234,0.8,5398.59,500.0,,nan,5.5237e-05,100,0.814206819903,59.8407084234,inf,1.23381e+18,100,2.23295e+22,50000
1,0.497847,5.52486e-05,2.29999320775,16.6458,nan,2.29999320775,94.2419,1.9999787682,,59.9205154395,0.8,4058.1,500.0,,nan,2.73856e-05,100,2.29999320775,59.9205154395,8.49587e+25,9.73115e+10,100,8.76876e+14,50000
1,0.993992,5.52486e-05,1.54005448752,29.2306,nan,1.54005448752,131.308,0.99996595583,,87.3515830446,0.8,8571.68,500.0,,nan,5.45886e-05,100,1.54005448752,87.3515830446,inf,1.86114e+16,100,3.34843e+20,50000
1,0.293523,5.52486e-05,1.18428140323,16.3066,nan,1.18428140323,79.2378,1.34627361875,,82.3358476473,0.8,3957.78,500.0,,nan,1.41404e-05,100,1.18428140323,82.3358476473,6.65227e+23,1.19833e+10,100,6.36643e+13,50000
1,0.448339,5.52486e-05,0.52563059889,25.7733,nan,0.52563059889,121.477,1.98712804151,,115.51530218,0.8,6023.98,500.0,,nan,2.23529e-05,100,0.52563059889,115.51530218,inf,2.49261e+17,100,2.02274e+21,50000
1,0.091206,5.52486e-05,5.27525875666,24.6534,nan,5.27525875666,73.0932,1.3756512774,,149.144407316,0.8,5396.58,500.0,,nan,3.02984e-06,100,5.27525875666,149.144407316,1.35022e+08,368.819,100,608858.0,50000
1,0.3302,5.52486e-05,6.4530795072,22.6149,nan,6.4530795072,90.9019,2.99981397525,,100.897747639,0.8,5188.05,500.0,,nan,1.80707e-05,100,6.4530795072,100.897747639,2.19053e+30,1.92357e+13,100,1.14965e+17,50000
1,0.49995,5.52486e-05,4.09765627146,19.8536,nan,4.09765627146,106.057,2.00000008678,,91.7431775347,0.8,4523.26,500.0,,nan,2.76172e-05,100,4.09765627146,91.7431775347,2.12945e+24,1.53414e+10,100,1.38826e+14,50000
1,0.178057,5.52486e-05,10.7566013107,37.8709,nan,10.7566013107,69.6267,1.7339511888,,205.412218773,0.8,9064.55,500.0,,nan,9.0892e-06,100,10.7566013107,205.412218773,2.672e+32,2.99555e+14,100,9.65419e+17,50000
1,0.499981,5.52486e-05,4.58881962723,28.1438,nan,4.58881962723,153.366,1.99999997198,,165.109071159,0.8,7024.9,500.0,,nan,2.76207e-05,100,4.58881962723,165.109071159,3.18152e+31,5.92954e+13,100,5.36603e+17,50000
1,0.49967,5.52486e-05,8.61557416663,33.674,nan,8.61557416663,182.954,1.99999905625,,275.945629121,0.8,8287.43,500.0,,nan,2.75863e-05,100,8.61557416663,275.945629121,7.74831e+28,2.92805e+12,100,2.64813e+16,50000
1,0.499076,5.52486e-05,10.5012459252,26.1275,nan,10.5012459252,204.596,2.00000045223,,125.513359975,0.8,6088.21,500.0,,nan,2.75208e-05,100,10.5012459252,125.513359975,1.87927e+12,14437.3,100,1.30416e+08,50000
1,0.779578,5.52486e-05,13.8894729767,34.9034,nan,13.8894729767,484.341,0.994251013393,1.31582e-42,245.740054522,0.8,8140.63,500.0,1.20995e-36,nan,3.37737e-05,100,13.8894729767,245.740054522,2.85449e+07,50.7921,100,716696.0,50000
1,0.172324,5.52486e-05,17.4491815172,45.5093,nan,17.4491815172,121.244,1.62197049674,,258.370648781,0.8,10907.2,500.0,,nan,9.10101e-06,100,17.4491815172,258.370648781,1.36606e+19,6.7688e+07,100,2.11123e+11,50000
1,0.136441,5.52486e-05,13.6350784938,31.5754,nan,13.6350784938,214.507,3.56449450718,,195.140588123,0.8,7142.54,500.0,,nan,2.64732e-06,100,13.6350784938,195.140588123,1.38857e+06,40.013,100,98815.2,50000
1,0.055788,5.52486e-05,16.5280178429,34.486,nan,16.5280178429,285.122,1.71563860241,2.74543e-36,164.767741106,0.8,7577.09,500.0,5.18576e-31,nan,4.58728e-07,100,16.5280178429,164.767741106,16366.6,10.4357,100,10537.6,50000
1,0.0489536,5.52486e-05,17.2530260159,38.7313,nan,17.2530260159,199.396,0.76745025651,,219.717830819,0.8,8598.79,500.0,,nan,7.54083e-07,100,17.2530260159,219.717830819,232017.0,30.6458,100,27154.1,50000
