#{"t_start": 1518538551.8952036, "env_id": "LQG1D-v0"}
r,l,t
-129.684509,10,0.659004
-111.650008,10,0.662296
-75.680846,10,0.66551
-71.914175,10,0.669208
-43.464087,10,0.674124
-49.065762,10,0.677388
-50.54302,10,0.681479
-37.254313,10,0.685843
-30.686671,10,0.689261
-66.545488,10,0.692537
-18.072236,10,0.695754
-88.262274,10,0.698768
-30.717276,10,0.701761
-18.215802,10,0.704745
-90.267465,10,0.707697
-52.331665,10,0.710622
-50.133348,10,0.714345
-50.212792,10,0.717614
-16.10203,10,0.720663
-43.382865,10,0.723811
-32.363968,10,0.726972
-122.972301,10,0.729936
-81.50246,10,0.732874
-82.362254,10,0.73575
-103.7252,10,0.738661
-30.816848,10,0.741361
-58.252935,10,0.744321
-111.561301,10,0.747213
-43.042427,10,0.750174
-39.385899,10,0.753125
-86.630087,10,0.756039
-40.476,10,0.758977
-24.395037,10,0.761931
-27.429549,10,0.764984
-52.324806,10,0.76806
-90.926624,10,0.771134
-76.751098,10,0.774284
-117.700986,10,0.777383
-16.529747,10,0.780467
-123.820686,10,0.783452
-44.464144,10,0.786483
-125.128786,10,0.789585
-31.912501,10,0.792677
-62.319736,10,0.795884
-73.079937,10,0.798896
-93.87338,10,0.801926
-60.244246,10,0.804989
-51.665044,10,0.808019
-12.065261,10,0.81109
-62.204938,10,0.814123
-17.507791,10,0.817292
-132.96404,10,0.820422
-50.486672,10,0.823451
-81.218561,10,0.826583
-116.602232,10,0.829686
-64.525904,10,0.832783
-70.977522,10,0.835856
-38.886213,10,0.839038
-26.914952,10,0.842117
-22.04994,10,0.846234
-96.807994,10,0.850965
-36.034792,10,0.854353
-116.341382,10,0.857813
-84.303433,10,0.862018
-83.953599,10,0.865335
-9.742459,10,0.86945
-60.556054,10,0.87253
-61.352103,10,0.875552
-31.219661,10,0.878536
-82.403595,10,0.881536
-126.284151,10,0.884524
-19.565115,10,0.887559
-26.716576,10,0.890543
-19.975514,10,0.893559
-50.834992,10,0.896626
-101.037409,10,0.899577
-55.097946,10,0.902546
-52.512258,10,0.905525
-89.200812,10,0.908493
-115.963246,10,0.911445
-9.959104,10,0.91434
-136.150617,10,0.917278
-32.982387,10,0.920222
-18.634254,10,0.923209
-110.440841,10,0.926102
-14.569968,10,0.929055
-30.828334,10,0.931996
-132.65065,10,0.934945
-48.389133,10,0.937879
-65.890776,10,0.940874
-106.211872,10,0.943869
-13.880611,10,0.9468
-62.059455,10,0.949713
-67.312257,10,0.952734
-14.14254,10,0.955929
-12.605992,10,0.958943
-16.346655,10,0.961927
-98.298658,10,0.964868
-109.967981,10,0.967956
-27.182819,10,0.970943
-21.658174,10,0.973893
-92.78555,10,0.976878
-24.153998,10,0.979944
-72.278642,10,0.982926
-25.474592,10,0.985827
-33.614009,10,0.988808
-35.099127,10,0.991988
-38.285057,10,0.995053
-114.082483,10,0.997972
-29.832869,10,1.000961
-111.462036,10,1.003947
-91.216308,10,1.006884
-116.759933,10,1.009909
-38.758328,10,1.01291
-50.025556,10,1.01585
-84.540551,10,1.018744
-119.249734,10,1.021745
-20.774658,10,1.024849
-27.084121,10,1.027891
-42.512907,10,1.030824
-36.686442,10,1.033808
-76.688131,10,1.036796
-12.838879,10,1.039747
-106.395112,10,1.042789
-108.647442,10,1.045925
-63.412982,10,1.049015
-97.405435,10,1.052014
-71.702099,10,1.055006
-130.931302,10,1.057968
-39.175972,10,1.061031
-91.985256,10,1.06403
-70.198948,10,1.066982
-60.211969,10,1.069925
-69.942636,10,1.072936
-26.054283,10,1.075887
-38.675786,10,1.078873
-117.416396,10,1.081869
-99.626381,10,1.084865
-68.743255,10,1.087852
-28.284642,10,1.090826
-83.97992,10,1.093773
-27.628785,10,1.096751
-28.05383,10,1.099856
-116.068026,10,1.102837
-48.018174,10,1.105751
-53.412366,10,1.10885
-32.860588,10,1.111792
-119.188273,10,1.114693
-37.495843,10,1.117634
-24.542832,10,1.120581
-44.345825,10,1.123518
-64.821762,10,1.126458
-36.318112,10,1.129505
-136.84163,10,1.132455
-56.289763,10,1.135444
-119.074959,10,1.138346
-43.082561,10,1.141303
-114.218051,10,1.144403
-95.526218,10,1.147342
-101.612249,10,1.150312
-31.51371,10,1.153329
-51.529738,10,1.156369
-35.152009,10,1.159462
-76.893674,10,1.162504
-20.842529,10,1.165523
-33.670972,10,1.168621
-30.899597,10,1.17156
-125.514073,10,1.174552
-48.951141,10,1.177483
-11.726961,10,1.180445
-54.858725,10,1.183491
-130.375984,10,1.186472
-91.630912,10,1.189465
-12.672022,10,1.192458
-89.993448,10,1.195413
-82.165832,10,1.198317
-96.400536,10,1.201268
