MinIW,MeanEntropy,InitialBound,Iteration,MaxD2w0t,J_sample_variance,EpisodesSoFar,StdIW,TimeElapsed,InitialReturnStd,ReturnMeanIW,EmpiricalD2,EpLenMean,TimestepsSoFar,EpRewMean,MaxIW,Bound,InitialReturnMax,ReturnStepMaxmin,InitialReturnMin,ReturnStepMax,EpThisIter,InitialReturnMean,MeanD2w0t,StdD2w0t,MinD2w0t,MeanIW
0.9628434,1.4195613,-1194.9471,1,1.0004544,10.235187,100,0.013116038,1.2206525802612305,3.000914,-92.723045,1.0002108,16.8,1680,-107.80827191279973,1.0322199,-1194.8971,-79.95533,99.31911,-97.37186,100.0,100,-92.81997,0.033601876,0.18020746,,0.9989475
0.89133924,1.4183288,-1232.523,2,1.0007218,17.831614,200,0.02397432,4.607982635498047,3.7295814,-92.19313,1.0004424,16.81,3361,-107.4836626436816,1.0473249,-1232.3064,-75.22072,99.10445,-97.012695,100.0,100,-92.55046,0.03362507,0.18027294,,0.9958883
0.963259,1.419578,-1214.5356,3,1.0005295,16.095934,300,0.013530397,6.673544645309448,3.5934606,-92.6555,1.0002221,17.22,5083,-108.3283896211042,1.0377152,-1214.3319,-77.72111,99.33102,-97.4413,100.0,100,-92.9441,0.034443405,0.1823751,,0.996608
0.94712454,1.4199289,-1241.6394,4,1.0006332,15.730369,400,0.017444398,8.66558051109314,3.299201,-92.60729,1.00029,16.99,6782,-108.01033164286677,1.0428158,-1241.4932,-74.182335,99.314255,-97.05225,100.0,100,-92.85718,0.033984613,0.18120503,,0.99695534
0.9658519,1.4229639,-1034.8152,5,1.0005862,8.827591,500,0.019310262,11.01891541481018,2.482637,-93.03787,1.0003769,16.63,8445,-108.2169576615729,1.0914162,-1034.6606,-86.583755,99.354355,-96.99238,100.0,100,-93.31742,0.033266842,0.17935778,,0.996843
0.9356777,1.4241707,-1141.0817,6,1.0013614,14.590943,600,0.026305048,13.348780632019043,2.8786576,-92.60112,1.000819,16.59,10104,-107.78083426022488,1.0597119,-1140.8889,-83.83928,99.390686,-97.34317,100.0,100,-92.98402,0.033188533,0.17914753,,0.9957865
0.9769937,1.4231888,-1241.669,7,1.0001489,16.74373,700,0.0076331925,15.311924934387207,4.095165,-92.81654,1.0000563,17.32,11836,-108.33862094733455,1.0144212,-1241.6322,-73.29655,99.15169,-97.333145,100.0,100,-92.88674,0.034641035,0.1828766,,0.9992561
0.9108541,1.4238507,-1104.1294,8,1.0019734,16.805872,800,0.030635757,17.337939977645874,2.7942142,-92.291176,1.0010693,16.83,13519,-107.71747086745076,1.0663413,-1103.9208,-80.92322,99.02584,-97.74951,100.0,100,-92.71443,0.03366959,0.18040182,,0.9950872
0.8189327,1.4253323,-1003.11017,9,1.0079187,38.260483,900,0.06681424,19.449763536453247,2.9819243,-91.85219,1.0045626,16.49,15168,-108.02961758083757,1.1410744,-1002.3935,-84.63886,99.218864,-97.5149,100.0,100,-93.26186,0.03301573,0.17877248,,0.9843645
0.94351125,1.4248315,-1266.5344,10,1.0005473,26.480083,1000,0.019160533,21.86579442024231,4.527733,-92.51183,1.0003209,17.06,16874,-107.9383374382836,1.0426847,-1266.3912,-66.99573,99.29959,-97.642395,100.0,100,-92.73569,0.034124482,0.18155903,,0.99729013
0.97776294,1.4257883,-1174.4615,11,1.0001649,9.064941,1100,0.007528967,24.51174283027649,2.7991788,-92.89129,1.0000684,16.6,18534,-107.79464027661224,1.0227433,-1174.4202,-82.61035,99.31085,-97.35499,100.0,100,-92.973236,0.033201396,0.17915934,,0.9990511
0.93636364,1.4262072,-1116.8971,12,1.0011109,11.600759,1200,0.01310077,27.23587942123413,3.010819,-92.658005,1.0001802,16.95,20229,-108.01311756088269,1.0335704,-1116.7943,-86.14058,99.35331,-97.44743,100.0,100,-92.859505,0.033903107,0.18098529,,0.99763435
